summoner_name,played_with,won_with,played_against,lost_against,date,last_played
impreg the keg,9.0,5,5,4,9-2-2024 11:20,Vi
Gopnik 7,2.0,1,0,0,9-2-2024 11:20,LeeSin
wazdur,1.0,1,0,0,9-2-2024 11:20,Briar
thetrue1,1.0,1,0,0,9-2-2024 11:20,MasterYi
krillzzzzor,1.0,1,0,0,9-2-2024 11:20,Nami
ioooopolis2,1.0,1,0,0,9-2-2024 11:20,Leona
fawnturtle,1.0,1,0,0,9-2-2024 11:20,Syndra
bordensarme2,1.0,1,0,0,9-2-2024 11:20,Morgana
Xohho,1.0,1,0,0,9-2-2024 11:20,Seraphine
Wwooolf,1.0,1,0,0,9-2-2024 11:20,Jayce
TrixieTheMammut,1.0,1,0,0,9-2-2024 11:20,Rakan
Toby The Dwarf,1.0,1,0,0,9-2-2024 11:20,Graves
Thunderdome,1.0,1,0,0,9-2-2024 11:20,Veigar
Sticks n Stones,1.0,1,0,0,9-2-2024 11:20,Nidalee
Shoxbad,1.0,1,0,0,9-2-2024 11:20,Naafiri
S959C,1.0,1,0,0,9-2-2024 11:20,Teemo
Noble Sávage,1.0,1,0,0,9-2-2024 11:20,Orianna
Mystró,1.0,1,0,0,9-2-2024 11:20,Braum
LiNkAdOp,1.0,1,0,0,9-2-2024 11:20,Annie
LOU4Y,1.0,1,0,0,9-2-2024 11:20,Velkoz
IronNippelz,1.0,1,0,0,9-2-2024 11:20,Yasuo
Gallokz,1.0,1,0,0,9-2-2024 11:20,Tryndamere
Fraces x,1.0,1,0,0,9-2-2024 11:20,Maokai
DanichOrizillo,1.0,1,0,0,9-2-2024 11:20,Jhin
BenchwigTheTank,1.0,1,0,0,9-2-2024 11:20,Vladimir
865490,1.0,1,0,0,9-2-2024 11:20,Varus
éollas,1.0,0,0,0,9-2-2024 11:20,Karma
superabing,1.0,0,0,0,9-2-2024 11:20,Quinn
style6of6burning,1.0,0,0,0,9-2-2024 11:20,Shyvana
stekelfodi,1.0,0,0,0,9-2-2024 11:20,Hwei
she was not 14,1.0,0,0,0,9-2-2024 11:20,Corki
shaulderpress,1.0,0,0,0,9-2-2024 11:20,Ziggs
