champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,cc_score,winrate
61,Orianna,1.0,1,12,7,41,38792,22250,16542,1,0,0,0,0,2529,43,100
147,Seraphine,1.0,1,15,12,21,33313,24094,9219,4,2,0,0,0,725,60,100
497,Rakan,1.0,1,17,12,9,28415,25472,2943,2,1,0,0,0,428,7,100
233,Briar,1.0,1,12,11,16,24160,23362,798,2,0,0,0,0,2258,3,100
110,Varus,1.0,1,11,11,10,25008,24442,566,3,0,0,0,0,3005,3,100
76,Nidalee,1.0,1,10,10,20,33497,56972,-23475,2,0,0,0,0,17977,16,100
102,Shyvana,1.0,0,15,7,22,45387,19215,26172,4,0,0,0,0,3649,27,0
43,Karma,1.0,0,30,15,19,45348,25933,19415,5,1,0,0,0,1394,9,0
420,Illaoi,1.0,0,10,10,26,37071,25558,11513,1,0,0,0,0,3289,2,0
432,Bard,1.0,0,13,7,22,19714,17752,1962,5,1,0,0,0,4554,0,0
86,Garen,1.0,0,9,6,20,17408,17220,188,1,1,0,0,0,4521,38,0
901,Smolder,1.0,0,9,10,13,17193,17382,-189,2,0,0,0,0,1821,17,0
245,Ekko,1.0,0,5,12,52,16289,34019,-17730,0,0,0,0,0,11853,49,0
92,Riven,1.0,0,6,13,33,33304,56608,-23304,0,0,0,0,0,9040,23,0
