champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
235,Senna,0.0,0,2,2,100,2
86,Garen,1.0,1,1,1,100,2
360,Samira,1.0,1,1,1,100,2
412,Thresh,0.0,0,2,2,100,2
902,Milio,0.0,0,1,1,100,1
55,Katarina,1.0,1,0,0,100,1
245,Ekko,1.0,1,0,0,100,1
233,Briar,1.0,1,0,0,100,1
142,Zoe,0.0,0,1,1,100,1
62,MonkeyKing,0.0,0,1,1,100,1
157,Yasuo,0.0,0,1,1,100,1
134,Syndra,0.0,0,1,1,100,1
14,Sion,0.0,0,1,1,100,1
58,Renekton,0.0,0,1,1,100,1
48,Trundle,1.0,1,0,0,100,1
42,Corki,1.0,1,0,0,100,1
34,Anivia,1.0,1,0,0,100,1
11,MasterYi,1.0,1,0,0,100,1
35,Shaco,1.0,1,0,0,100,1
236,Lucian,1.0,1,0,0,100,1
126,Jayce,0.0,0,1,1,100,1
166,Akshan,0.0,0,1,1,100,1
53,Blitzcrank,0.0,0,1,1,100,1
238,Zed,1.0,1,0,0,100,1
267,Nami,1.0,1,0,0,100,1
910,Hwei,1.0,1,0,0,100,1
59,JarvanIV,1.0,1,0,0,100,1
31,Chogath,1.0,1,0,0,100,1
202,Jhin,1.0,1,0,0,100,1
41,Gangplank,1.0,1,2,1,66,3
90,Malzahar,0.0,0,2,1,50,2
110,Varus,1.0,1,1,0,50,2
163,Taliyah,0.0,0,2,1,50,2
104,Graves,0.0,0,2,1,50,2
98,Shen,1.0,0,1,1,50,2
57,Maokai,1.0,0,1,1,50,2
875,Sett,2.0,1,0,0,50,2
61,Orianna,0.0,0,2,1,50,2
25,Morgana,2.0,1,0,0,50,2
45,Veigar,1.0,1,1,0,50,2
85,Kennen,1.0,1,1,0,50,2
21,MissFortune,2.0,1,0,0,50,2
76,Nidalee,1.0,1,1,0,50,2
222,Jinx,0.0,0,3,1,33,3
64,LeeSin,0.0,0,3,1,33,3
136,AurelionSol,2.0,0,1,0,0,3
161,Velkoz,1.0,0,1,0,0,2
15,Sivir,1.0,0,0,0,0,1
897,KSante,1.0,0,0,0,0,1
99,Lux,0.0,0,1,0,0,1
901,Smolder,1.0,0,0,0,0,1
223,TahmKench,1.0,0,0,0,0,1
50,Swain,1.0,0,0,0,0,1
82,Mordekaiser,1.0,0,0,0,0,1
40,Janna,1.0,0,0,0,0,1
103,Ahri,1.0,0,0,0,0,1
150,Gnar,1.0,0,0,0,0,1
420,Illaoi,1.0,0,0,0,0,1
10,Kayle,1.0,0,0,0,0,1
63,Brand,1.0,0,0,0,0,1
141,Kayn,1.0,0,0,0,0,1
30,Karthus,0.0,0,1,0,0,1
895,Nilah,0.0,0,1,0,0,1
555,Pyke,0.0,0,1,0,0,1
115,Ziggs,0.0,0,1,0,0,1
67,Vayne,0.0,0,1,0,0,1
17,Teemo,0.0,0,1,0,0,1
950,Naafiri,1.0,0,0,0,0,1
16,Soraka,1.0,0,0,0,0,1
498,Xayah,1.0,0,0,0,0,1
79,Gragas,1.0,0,0,0,0,1
84,Akali,0.0,0,1,0,0,1
51,Caitlyn,0.0,0,1,0,0,1
22,Ashe,0.0,0,1,0,0,1
