summoner_name,played_with,won_with,played_against,lost_against,date,last_played
yvan i am,4.0,3,0,0,5-2-2024 13:36,JarvanIV
ironsuperhulk,4.0,3,0,0,5-2-2024 13:36,Rumble
Hikaru Rose,4.0,3,0,0,5-2-2024 13:36,Twitch
BluezamX,4.0,3,0,0,5-2-2024 13:36,Nasus
likeatombomb,1.0,1,0,0,5-2-2024 13:36,Sylas
iUn1corn,1.0,1,0,0,5-2-2024 13:36,Lulu
SneakyNstuff,1.0,1,0,0,5-2-2024 13:36,Velkoz
Splatch,1.0,0,0,0,5-2-2024 13:36,Fizz
z Ryan o,0.0,0,1,0,5-2-2024 13:36,Vayne
xArcherry,0.0,0,1,1,5-2-2024 13:36,Veigar
semooooo,0.0,0,1,1,5-2-2024 13:36,Karthus
oldroad,0.0,0,1,0,5-2-2024 13:36,Tryndamere
minkythecat,0.0,0,1,1,5-2-2024 13:36,Tristana
kamiaar68,0.0,0,1,0,5-2-2024 13:36,Fizz
jimmybobben,0.0,0,1,1,5-2-2024 13:36,Ekko
gladiado,0.0,0,1,0,5-2-2024 13:36,Renekton
Zikke07,0.0,0,1,0,5-2-2024 13:36,Aatrox
Todomo,0.0,0,1,1,5-2-2024 13:36,Zilean
RobShot,0.0,0,1,0,5-2-2024 13:36,Heimerdinger
Pan2002,0.0,0,1,0,5-2-2024 13:36,Sivir
Loopwick,0.0,0,1,0,5-2-2024 13:36,Akshan
HookschnerSepp,0.0,0,1,0,5-2-2024 13:36,Fizz
Happyƒeet,0.0,0,1,0,5-2-2024 13:36,Pyke
FRlSTl,0.0,0,1,0,5-2-2024 13:36,Varus
Ercetti,0.0,0,1,0,5-2-2024 13:36,Malphite
Cdoc,0.0,0,1,0,5-2-2024 13:36,Zilean
Beta Teemo,0.0,0,1,0,5-2-2024 13:36,Elise
Andeee,0.0,0,1,0,5-2-2024 13:36,Karthus
