champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
86,Garen,3.0,3,1,1,100,4
50,Swain,1.0,1,1,1,100,2
141,Kayn,0.0,0,2,2,100,2
111,Nautilus,2.0,2,0,0,100,2
5,XinZhao,0.0,0,1,1,100,1
68,Rumble,0.0,0,1,1,100,1
91,Talon,0.0,0,1,1,100,1
421,RekSai,0.0,0,1,1,100,1
78,Poppy,0.0,0,1,1,100,1
110,Varus,0.0,0,1,1,100,1
85,Kennen,0.0,0,1,1,100,1
897,KSante,1.0,1,0,0,100,1
79,Gragas,0.0,0,1,1,100,1
121,Khazix,0.0,0,1,1,100,1
235,Senna,1.0,1,0,0,100,1
103,Ahri,1.0,1,0,0,100,1
74,Heimerdinger,0.0,0,1,1,100,1
67,Vayne,0.0,0,1,1,100,1
64,LeeSin,1.0,1,0,0,100,1
60,Elise,1.0,1,0,0,100,1
10,Kayle,0.0,0,1,1,100,1
517,Sylas,0.0,0,1,1,100,1
122,Darius,3.0,3,3,1,66,6
106,Volibear,2.0,1,1,1,66,3
555,Pyke,1.0,0,2,2,66,3
145,Kaisa,2.0,1,1,1,66,3
81,Ezreal,1.0,0,1,1,50,2
14,Sion,1.0,0,1,1,50,2
887,Gwen,1.0,0,1,1,50,2
82,Mordekaiser,1.0,1,1,0,50,2
54,Malphite,2.0,1,0,0,50,2
99,Lux,2.0,1,0,0,50,2
84,Akali,0.0,0,2,1,50,2
202,Jhin,0.0,0,2,1,50,2
3,Galio,0.0,0,2,1,50,2
114,Fiora,3.0,1,0,0,33,3
17,Teemo,1.0,0,2,1,33,3
37,Sona,1.0,0,2,1,33,3
12,Alistar,2.0,0,1,1,33,3
875,Sett,1.0,0,2,1,33,3
35,Shaco,0.0,0,2,0,0,2
32,Amumu,2.0,0,0,0,0,2
223,TahmKench,1.0,0,1,0,0,2
876,Lillia,1.0,0,1,0,0,2
27,Singed,1.0,0,1,0,0,2
59,JarvanIV,2.0,0,0,0,0,2
238,Zed,2.0,0,0,0,0,2
25,Morgana,1.0,0,0,0,0,1
15,Sivir,1.0,0,0,0,0,1
120,Hecarim,1.0,0,0,0,0,1
131,Diana,1.0,0,0,0,0,1
58,Renekton,0.0,0,1,0,0,1
246,Qiyana,0.0,0,1,0,0,1
98,Shen,0.0,0,1,0,0,1
143,Zyra,1.0,0,0,0,0,1
63,Brand,1.0,0,0,0,0,1
33,Rammus,1.0,0,0,0,0,1
51,Caitlyn,0.0,0,1,0,0,1
39,Irelia,0.0,0,1,0,0,1
236,Lucian,0.0,0,1,0,0,1
412,Thresh,1.0,0,0,0,0,1
