summoner_name,played_with,won_with,played_against,lost_against,date,last_played
BluezamX,13.0,5,0,0,5-2-2024 13:37,Teemo
yvan i am,7.0,1,0,0,5-2-2024 13:37,Fiora
pozeracz karlow,1.0,1,0,0,5-2-2024 13:36,Nautilus
Zarocher,1.0,1,0,0,5-2-2024 13:37,Lux
XO T0UR LIif3,1.0,1,0,0,5-2-2024 13:37,Senna
Velani,1.0,1,0,0,5-2-2024 13:37,Fiora
Vamp Story,1.0,1,0,0,5-2-2024 13:36,Darius
Tuturgentiste,1.0,1,0,0,5-2-2024 13:36,Garen
True King Viego,1.0,1,0,0,5-2-2024 13:37,Ahri
Rebabrian,1.0,1,0,0,5-2-2024 13:37,Kaisa
Ravengeur,1.0,1,0,0,5-2-2024 13:37,Elise
Ordblind Ivern,1.0,1,0,0,5-2-2024 13:36,KSante
ORNNHUB23,1.0,1,0,0,5-2-2024 13:37,LeeSin
Frieck,1.0,1,0,0,5-2-2024 13:37,Nautilus
El Tounsito,1.0,1,0,0,5-2-2024 13:36,Mordekaiser
Canc3r Jungler,1.0,1,0,0,5-2-2024 13:37,Volibear
pêch,1.0,0,0,0,5-2-2024 13:36,Alistar
cine,1.0,0,0,0,5-2-2024 13:36,Pyke
Yùme,1.0,0,0,0,5-2-2024 13:37,Zyra
SpanishBarbacoa,1.0,0,0,0,5-2-2024 13:36,Diana
Sett On Ma Face,1.0,0,0,0,5-2-2024 13:37,Zed
ReaI Human Bean,1.0,0,0,0,5-2-2024 13:37,Brand
Praimefaya,1.0,0,0,0,5-2-2024 13:36,Lillia
Oxyplehorn,1.0,0,0,0,5-2-2024 13:36,Lux
Nidalee v2,1.0,0,0,0,5-2-2024 13:37,Sett
LB PartTimeJesus,1.0,0,0,0,5-2-2024 13:36,Alistar
I Love T3t4s,1.0,0,0,0,5-2-2024 13:37,Sion
Graflado v2,1.0,0,0,0,5-2-2024 13:36,Gwen
Drac D Ferralla,1.0,0,0,0,5-2-2024 13:36,Kaisa
Cricketic,1.0,0,0,0,5-2-2024 13:37,Ezreal
Cocoettiti,1.0,0,0,0,5-2-2024 13:37,Thresh
Babekinho,1.0,0,0,0,5-2-2024 13:37,Zed
Aurnie420,1.0,0,0,0,5-2-2024 13:37,Sona
Acquarius96,1.0,0,0,0,5-2-2024 13:37,Volibear
zHoneYY,0.0,0,1,0,5-2-2024 13:37,Caitlyn
xPeté ,0.0,0,1,1,5-2-2024 13:36,XinZhao
pacarde66,0.0,0,1,1,5-2-2024 13:36,Varus
mskwara,0.0,0,1,0,5-2-2024 13:37,Lucian
gamingkillerG8,0.0,0,1,1,5-2-2024 13:37,Gragas
fatale cuillère,0.0,0,1,0,5-2-2024 13:37,Lillia
dl123,0.0,0,1,1,5-2-2024 13:37,Khazix
Zaephyrain,0.0,0,1,0,5-2-2024 13:36,Sona
ZA  BAARUDO,0.0,0,1,0,5-2-2024 13:36,Shen
Volkyrian,0.0,0,1,0,5-2-2024 13:36,Mordekaiser
Unkillable Devil,0.0,0,1,1,5-2-2024 13:37,Jhin
TTriforce,0.0,0,1,1,5-2-2024 13:36,Swain
Space Gojira,0.0,0,1,1,5-2-2024 13:36,RekSai
SnipunK,0.0,0,1,0,5-2-2024 13:37,Darius
SHØWMAKÊR,0.0,0,1,1,5-2-2024 13:37,Vayne
Ritchie Valens,0.0,0,1,0,5-2-2024 13:36,Shaco
Qyouter,0.0,0,1,1,5-2-2024 13:37,Pyke
Punch Of Justice,0.0,0,1,0,5-2-2024 13:36,Renekton
Poulsen,0.0,0,1,1,5-2-2024 13:37,Galio
Pawn is excited,0.0,0,1,1,5-2-2024 13:37,Sion
NoDemtsu,0.0,0,1,0,5-2-2024 13:37,Singed
Nakyuto,0.0,0,1,1,5-2-2024 13:36,Darius
Mαuríce,0.0,0,1,1,5-2-2024 13:37,Sett
Mostacholo,0.0,0,1,1,5-2-2024 13:37,Kaisa
Milio IRL,0.0,0,1,1,5-2-2024 13:36,Ezreal
Manoesama,0.0,0,1,1,5-2-2024 13:37,Kayn
LorDurakalon,0.0,0,1,0,5-2-2024 13:37,Sett
Le Pan Plemousse,0.0,0,1,1,5-2-2024 13:37,Alistar
Krexate,0.0,0,1,1,5-2-2024 13:36,Kayn
K0mi,0.0,0,1,0,5-2-2024 13:37,Darius
Jácκ,0.0,0,1,1,5-2-2024 13:37,Akali
