champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
236,Lucian,1.0,1,0,0,100,1
31,Chogath,1.0,1,0,0,100,1
89,Leona,1.0,1,0,0,100,1
516,Ornn,1.0,1,0,0,100,1
55,Katarina,1.0,1,0,0,100,1
98,Shen,0.0,0,1,1,100,1
45,Veigar,0.0,0,1,1,100,1
84,Akali,0.0,0,1,1,100,1
112,Viktor,0.0,0,1,1,100,1
141,Kayn,0.0,0,1,1,100,1
9,Fiddlesticks,0.0,0,1,1,100,1
23,Tryndamere,0.0,0,1,1,100,1
44,Taric,0.0,0,1,1,100,1
29,Twitch,0.0,0,1,1,100,1
30,Karthus,1.0,0,1,1,50,2
17,Teemo,1.0,0,1,0,0,2
21,MissFortune,0.0,0,1,0,0,1
85,Kennen,0.0,0,1,0,0,1
910,Hwei,0.0,0,1,0,0,1
67,Vayne,0.0,0,1,0,0,1
121,Khazix,1.0,0,0,0,0,1
350,Yuumi,1.0,0,0,0,0,1
39,Irelia,1.0,0,0,0,0,1
81,Ezreal,1.0,0,0,0,0,1
134,Syndra,1.0,0,0,0,0,1
145,Kaisa,1.0,0,0,0,0,1
25,Morgana,1.0,0,0,0,0,1
517,Sylas,1.0,0,0,0,0,1
