champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
203,Kindred,2.0,2,1,1,100.0,3
518,Neeko,3.0,3,6,5,88.89,9
63,Brand,15.0,12,9,8,83.33,24
48,Trundle,5.0,4,1,1,83.33,6
59,JarvanIV,8.0,6,3,3,81.82,11
268,Azir,2.0,2,3,2,80.0,5
107,Rengar,2.0,1,3,3,80.0,0
3,Galio,7.0,5,2,2,77.78,9
45,Veigar,3.0,2,9,7,75.0,12
432,Bard,4.0,3,4,3,75.0,8
266,Aatrox,1.0,1,3,2,75.0,4
29,Twitch,11.0,9,8,5,73.68,19
875,Sett,2.0,1,5,4,71.43,7
2,Olaf,6.0,4,1,1,71.43,7
154,Zac,4.0,3,3,2,71.43,7
21,MissFortune,6.0,6,11,6,70.59,17
112,Viktor,7.0,4,3,3,70.0,10
84,Akali,3.0,3,7,4,70.0,10
412,Thresh,7.0,4,3,3,70.0,10
117,Lulu,13.0,10,9,5,68.18,22
222,Jinx,19.0,13,8,5,66.67,27
43,Karma,7.0,6,5,2,66.67,12
777,Yone,4.0,3,8,5,66.67,12
157,Yasuo,6.0,5,3,1,66.67,9
133,Quinn,3.0,2,3,2,66.67,6
42,Corki,2.0,2,4,2,66.67,6
141,Kayn,0.0,0,3,2,66.67,3
163,Taliyah,0.0,0,3,2,66.67,3
127,Lissandra,3.0,2,0,0,66.67,3
28,Evelynn,2.0,2,1,0,66.67,0
83,Yorick,2.0,1,1,1,66.67,0
202,Jhin,8.0,5,9,6,64.71,17
54,Malphite,8.0,4,6,5,64.29,14
37,Sona,7.0,5,7,4,64.29,14
25,Morgana,6.0,4,5,3,63.64,11
8,Vladimir,4.0,4,4,1,62.5,8
104,Graves,2.0,2,6,3,62.5,8
14,Sion,14.0,8,6,4,60.0,20
498,Xayah,5.0,3,10,6,60.0,15
4,TwistedFate,5.0,4,5,2,60.0,10
78,Poppy,3.0,2,2,1,60.0,5
99,Lux,13.0,9,11,5,58.33,24
236,Lucian,8.0,5,4,2,58.33,12
15,Sivir,11.0,6,8,5,57.89,19
33,Rammus,3.0,2,4,2,57.14,7
91,Talon,2.0,1,5,3,57.14,7
23,Tryndamere,3.0,2,4,2,57.14,7
41,Gangplank,4.0,2,5,3,55.56,9
201,Braum,6.0,3,3,2,55.56,9
75,Nasus,4.0,3,5,2,55.56,9
96,KogMaw,4.0,3,5,2,55.56,9
51,Caitlyn,14.0,8,8,4,54.55,22
267,Nami,6.0,4,5,2,54.55,11
10,Kayle,6.0,4,7,3,53.85,13
9,Fiddlesticks,8.0,5,9,4,52.94,17
86,Garen,13.0,7,4,2,52.94,17
53,Blitzcrank,15.0,8,6,3,52.38,21
103,Ahri,10.0,5,10,5,50.0,20
101,Xerath,8.0,4,8,4,50.0,16
18,Tristana,8.0,3,8,5,50.0,16
145,Kaisa,6.0,5,10,3,50.0,16
111,Nautilus,10.0,6,6,2,50.0,16
122,Darius,13.0,6,3,2,50.0,16
16,Soraka,6.0,3,8,4,50.0,14
89,Leona,6.0,4,6,2,50.0,12
235,Senna,7.0,4,5,2,50.0,12
82,Mordekaiser,4.0,2,8,4,50.0,12
17,Teemo,5.0,2,5,3,50.0,10
68,Rumble,3.0,2,7,3,50.0,10
30,Karthus,4.0,1,6,4,50.0,10
105,Fizz,3.0,1,7,4,50.0,10
420,Illaoi,2.0,1,6,3,50.0,8
44,Taric,6.0,4,2,0,50.0,8
147,Seraphine,4.0,3,4,1,50.0,8
40,Janna,4.0,2,4,2,50.0,8
142,Zoe,2.0,2,6,2,50.0,8
69,Cassiopeia,4.0,2,4,2,50.0,8
245,Ekko,2.0,0,4,3,50.0,6
429,Kalista,1.0,1,3,1,50.0,4
526,Rell,1.0,0,3,2,50.0,4
114,Fiora,2.0,1,2,1,50.0,4
427,Ivern,0.0,0,2,1,50.0,2
98,Shen,1.0,1,1,0,50.0,2
164,Camille,1.0,1,1,0,50.0,2
246,Qiyana,1.0,0,1,1,50.0,2
19,Warwick,9.0,4,3,2,50.0,0
254,Vi,5.0,3,5,2,50.0,0
79,Gragas,5.0,3,3,1,50.0,0
77,Udyr,2.0,1,0,0,50.0,0
876,Lillia,1.0,0,1,1,50.0,0
72,Skarner,1.0,0,1,1,50.0,0
136,AurelionSol,0.0,0,2,1,50.0,0
115,Ziggs,7.0,4,14,6,47.62,21
555,Pyke,12.0,6,7,3,47.37,19
27,Singed,5.0,0,8,6,46.15,13
161,Velkoz,6.0,5,7,1,46.15,13
31,Chogath,5.0,4,8,2,46.15,0
121,Khazix,6.0,1,5,4,45.45,11
134,Syndra,4.0,2,5,2,44.44,9
50,Swain,6.0,3,3,1,44.44,9
62,MonkeyKing,1.0,1,8,3,44.44,9
120,Hecarim,5.0,2,2,1,42.86,7
350,Yuumi,2.0,1,5,2,42.86,7
516,Ornn,2.0,1,5,2,42.86,7
26,Zilean,2.0,2,10,3,41.67,12
13,Ryze,4.0,1,8,4,41.67,12
81,Ezreal,5.0,4,7,1,41.67,12
57,Maokai,12.0,6,5,1,41.18,17
