summoner_name,played_with,won_with,played_against,lost_against,last_played
Japsert,152.0,83,0,0,Malphite
Statik v1,125.0,74,0,0,Lulu
ironsuperhulk,18.0,10,0,0,Maokai
ThatsATortoise,9.0,3,0,0,Jax
ohyoufail,2.0,1,0,0,MonkeyKing
PaladinRYii,2.0,1,0,0,Nami
Ban Dao Tie He,2.0,1,0,0,Elise
Ionix7,2.0,0,0,0,Garen
El langui,2.0,0,0,0,KogMaw
öTenshi,1.0,1,0,0,Renekton
zivko24,1.0,1,0,0,Jinx
zacksoldier01,1.0,1,0,0,Lulu
xXBladeNightXx,1.0,1,0,0,Zilean
worsak,1.0,1,0,0,Brand
wiliwonki,1.0,1,0,0,Camille
warzoneymaster,1.0,1,0,0,Khazix
votrixHD,1.0,1,0,0,Ahri
thedeath1023,1.0,1,0,0,Yone
tempbxvnvnmywjea,1.0,1,0,0,Rakan
sabernash,1.0,1,0,0,MissFortune
raita,1.0,1,0,0,MissFortune
quadrapiet,1.0,1,0,0,Vayne
pusha yardım,1.0,1,0,0,Trundle
pnworld,1.0,1,0,0,Lissandra
pimpo sheesh,1.0,1,0,0,KogMaw
ostiaya,1.0,1,0,0,Renekton
oOUsedOo,1.0,1,0,0,MissFortune
oOFugelKischOo,1.0,1,0,0,Velkoz
newz1337,1.0,1,0,0,Viktor
muniiaa,1.0,1,0,0,Velkoz
moimies,1.0,1,0,0,Veigar
mfalasi,1.0,1,0,0,Nidalee
menbet,1.0,1,0,0,Amumu
mdssfla2009,1.0,1,0,0,Fiddlesticks
mallefighter,1.0,1,0,0,MissFortune
lucalebanni,1.0,1,0,0,Caitlyn
level100metapod,1.0,1,0,0,Nidalee
invivable,1.0,1,0,0,Mordekaiser
huntsman jhin,1.0,1,0,0,Sion
fujuqu,1.0,1,0,0,Ziggs
flyin blades,1.0,1,0,0,Gangplank
flamer girl,1.0,1,0,0,Akali
filinator,1.0,1,0,0,Leona
fiddlë master,1.0,1,0,0,Leblanc
f 2 pay respect,1.0,1,0,0,Yone
edjebaria,1.0,1,0,0,Lissandra
dendbz,1.0,1,0,0,Jhin
cfxdrakul,1.0,1,0,0,Kaisa
buying all souls,1.0,1,0,0,Brand
boomomat,1.0,1,0,0,Rammus
bigishburger,1.0,1,0,0,Rumble
are u too tired,1.0,1,0,0,Volibear
animeboi,1.0,1,0,0,Katarina
alex975513,1.0,1,0,0,Darius
ZzLNico,1.0,1,0,0,Brand
Zypheringer,1.0,1,0,0,Ezreal
Zwuni,1.0,1,0,0,Anivia
Zouziak,1.0,1,0,0,Janna
Zippo0337,1.0,1,0,0,Azir
Zhong Hùi,1.0,1,0,0,Twitch
Zakkdruff,1.0,1,0,0,Yuumi
Yuffiena,1.0,1,0,0,Neeko
Yamaj,1.0,1,0,0,Akali
Windrake,1.0,1,0,0,Rumble
WazzarLord,1.0,1,0,0,Lulu
WILLY WESTPHAL,1.0,1,0,0,Pyke
WARAS,1.0,1,0,0,Xerath
W Zevon,1.0,1,0,0,Jinx
VoldemarHakari,1.0,1,0,0,Rakan
Vastaya Rengar,1.0,1,0,0,Lucian
VanHD,1.0,1,0,0,Brand
Umbra232,1.0,1,0,0,Kaisa
