champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,winrate,cc_score
154,Zac,3.0,3,15,14,76,16399,30251,-13852,2,0,0,0,0,20251,100.0,6
10,Kayle,2.0,2,24,17,58,24851,33770,-8918,3,0,0,0,0,17494,100.0,7
254,Vi,2.0,2,17,13,15,9347,18978,-9631,1,0,0,0,0,2690,100.0,0
59,JarvanIV,2.0,2,7,13,50,10008,19871,-9863,1,0,0,0,0,4442,100.0,0
78,Poppy,2.0,2,6,17,60,15712,27547,-11835,0,0,0,0,0,4462,100.0,25
13,Ryze,1.0,1,7,5,17,21655,16014,5641,1,0,0,0,0,4793,100.0,0
23,Tryndamere,1.0,1,27,18,29,64116,63642,474,3,2,0,0,0,18888,100.0,0
104,Graves,1.0,1,8,4,19,10923,11217,-294,2,0,0,0,0,1963,100.0,0
76,Nidalee,1.0,1,6,5,15,12600,14151,-1551,1,0,0,0,0,6722,100.0,0
21,MissFortune,1.0,1,10,11,31,30356,33380,-3024,1,0,0,0,0,7136,100.0,0
37,Sona,1.0,1,1,3,41,4278,8380,-4102,0,0,0,0,0,10688,100.0,0
40,Janna,1.0,1,2,5,33,4676,11278,-6602,0,0,0,0,0,10109,100.0,0
31,Chogath,1.0,1,5,7,21,11335,19740,-8405,0,0,0,0,0,2221,100.0,0
33,Rammus,1.0,1,4,7,14,5841,15761,-9920,1,0,0,0,0,1226,100.0,17
98,Shen,1.0,1,6,9,26,9696,25299,-15603,0,0,0,0,0,1678,100.0,0
38,Kassadin,1.0,1,8,14,9,13111,29408,-16297,1,1,0,0,0,2522,100.0,14
75,Nasus,1.0,1,3,15,34,18490,61556,-43066,0,0,0,0,0,3651,100.0,0
57,Maokai,5.0,4,28,51,162,16353,38832,-22478,3,0,0,0,0,12410,80.0,9
267,Nami,4.0,3,10,23,152,11515,15840,-4325,1,0,0,0,0,14279,75.0,10
99,Lux,7.0,5,64,38,197,21350,12986,8361,6,2,0,0,0,1333,71.43,17
3,Galio,7.0,5,54,68,237,20618,26238,-5619,7,0,0,0,0,2176,71.43,30
15,Sivir,3.0,2,20,21,82,19767,19045,722,2,0,0,0,0,4513,66.67,0
16,Soraka,3.0,2,1,14,81,4919,10127,-5207,0,0,0,0,0,18708,66.67,9
44,Taric,3.0,2,0,12,75,2019,16170,-14151,0,0,0,0,0,9314,66.67,11
32,Amumu,5.0,3,37,59,129,18195,32448,-14252,2,0,0,0,0,2118,60.0,29
53,Blitzcrank,5.0,3,25,56,108,15950,31750,-15799,2,0,0,0,0,2257,60.0,16
117,Lulu,7.0,4,10,33,223,3477,11809,-8330,0,0,0,0,0,4902,57.14,14
111,Nautilus,7.0,4,27,62,154,9963,24915,-14951,2,0,0,0,0,2069,57.14,26
25,Morgana,2.0,1,14,12,35,15605,15503,102,2,1,0,0,0,3061,50.0,24
1,Annie,2.0,1,13,19,48,17067,17940,-872,3,2,0,0,0,2826,50.0,23
54,Malphite,2.0,1,14,18,41,17050,18927,-1877,1,0,0,0,0,393,50.0,16
89,Leona,2.0,1,8,24,57,15294,34802,-19508,0,0,0,0,0,1322,50.0,23
122,Darius,2.0,1,14,27,39,23937,47271,-23334,1,1,0,0,0,13907,50.0,0
20,Nunu,2.0,1,16,19,59,17612,45848,-28236,0,0,0,0,0,19662,50.0,0
516,Ornn,2.0,1,21,29,66,28699,65180,-36480,2,0,0,0,0,3671,50.0,0
19,Warwick,9.0,4,68,96,153,14728,35306,-20575,7,1,0,0,0,10390,44.44,0
126,Jayce,7.0,3,77,59,144,28030,22035,5994,13,4,1,0,0,5761,42.86,3
14,Sion,7.0,3,53,80,209,23834,53864,-30029,3,0,0,0,0,5714,42.86,26
80,Pantheon,3.0,1,22,18,38,12903,15075,-2172,1,0,0,0,0,3487,33.33,6
201,Braum,3.0,1,8,18,54,7610,16015,-8404,1,0,0,0,0,2218,33.33,7
34,Anivia,3.0,1,16,26,37,11931,22645,-10714,2,0,0,0,0,1529,33.33,0
86,Garen,4.0,1,46,48,74,23711,40235,-16524,4,0,0,0,0,4310,25.0,17
36,DrMundo,4.0,1,44,37,105,32436,51285,-18848,3,1,0,0,0,9927,25.0,10
120,Hecarim,4.0,1,40,45,98,21190,44013,-22822,6,2,0,0,0,11466,25.0,0
12,Alistar,4.0,0,25,46,117,16320,41371,-25051,2,0,0,0,0,14786,0.0,0
30,Karthus,2.0,0,29,25,33,31090,20267,10822,6,2,1,0,0,455,0.0,4
18,Tristana,2.0,0,7,19,18,11893,19294,-7400,1,0,0,0,0,2503,0.0,0
105,Fizz,2.0,0,18,25,19,16633,26080,-9446,5,1,0,0,0,1818,0.0,0
103,Ahri,1.0,0,5,8,21,23916,19751,4165,0,0,0,0,0,5584,0.0,0
56,Nocturne,1.0,0,16,11,14,22309,20857,1452,3,1,1,1,0,1516,0.0,124
51,Caitlyn,1.0,0,4,7,8,10652,12355,-1703,0,0,0,0,0,632,0.0,0
5,XinZhao,1.0,0,6,11,8,13705,19367,-5662,0,0,0,0,0,3306,0.0,12
102,Shyvana,1.0,0,7,12,16,23101,31927,-8826,1,0,0,0,0,2213,0.0,0
