champion_id,champion_name,champion_level,champion_points,tokens_earned,chest_granted
154,Zac,5.0,23635,0,yes
19,Warwick,2.0,4031,0,yes
254,Vi,3.0,9459,0,yes
44,Taric,3.0,6835,0,yes
37,Sona,2.0,2858,0,yes
516,Ornn,2.0,2936,0,yes
111,Nautilus,3.0,10400,0,yes
267,Nami,4.0,14579,0,yes
99,Lux,2.0,4798,0,yes
117,Lulu,2.0,4290,0,yes
89,Leona,3.0,8354,0,yes
126,Jayce,3.0,6795,0,yes
24,Jax,1.0,1223,0,yes
59,JarvanIV,3.0,10166,0,yes
40,Janna,2.0,2710,0,yes
86,Garen,2.0,3638,0,yes
3,Galio,2.0,5139,0,yes
36,DrMundo,3.0,6034,0,yes
32,Amumu,4.0,15577,0,yes
143,Zyra,2.0,2908,0,no
115,Ziggs,1.0,274,0,no
238,Zed,1.0,140,0,no
157,Yasuo,1.0,589,0,no
5,XinZhao,2.0,2958,0,no
101,Xerath,1.0,101,0,no
8,Vladimir,1.0,891,0,no
112,Viktor,1.0,108,0,no
45,Veigar,2.0,4095,0,no
4,TwistedFate,1.0,739,0,no
23,Tryndamere,2.0,3215,0,no
18,Tristana,3.0,7466,0,no
412,Thresh,2.0,3114,0,no
91,Talon,1.0,727,0,no
163,Taliyah,1.0,753,0,no
223,TahmKench,1.0,84,0,no
16,Soraka,2.0,5403,0,no
15,Sivir,3.0,6449,0,no
14,Sion,3.0,6474,0,no
102,Shyvana,2.0,2535,0,no
98,Shen,2.0,3615,0,no
13,Ryze,2.0,5082,0,no
58,Renekton,1.0,96,0,no
33,Rammus,3.0,6497,0,no
78,Poppy,2.0,2649,0,no
80,Pantheon,2.0,3148,0,no
20,Nunu,3.0,6014,0,no
56,Nocturne,2.0,2703,0,no
76,Nidalee,2.0,3546,0,no
75,Nasus,2.0,2719,0,no
25,Morgana,3.0,6520,0,no
62,MonkeyKing,1.0,89,0,no
21,MissFortune,2.0,2329,0,no
11,MasterYi,1.0,70,0,no
57,Maokai,3.0,8166,0,no
54,Malphite,2.0,4647,0,no
96,KogMaw,1.0,649,0,no
85,Kennen,1.0,1256,0,no
10,Kayle,2.0,3767,0,no
38,Kassadin,2.0,2061,0,no
30,Karthus,2.0,2609,0,no
43,Karma,1.0,169,0,no
429,Kalista,1.0,144,0,no
120,Hecarim,3.0,8419,0,no
104,Graves,2.0,2547,0,no
79,Gragas,1.0,96,0,no
105,Fizz,1.0,1249,0,no
9,Fiddlesticks,1.0,1543,0,no
122,Darius,2.0,3797,0,no
42,Corki,1.0,112,0,no
31,Chogath,2.0,4237,0,no
51,Caitlyn,2.0,4374,0,no
201,Braum,5.0,38720,2,no
53,Blitzcrank,3.0,9147,0,no
432,Bard,1.0,93,0,no
22,Ashe,2.0,1926,0,no
1,Annie,2.0,2113,0,no
34,Anivia,1.0,1098,0,no
12,Alistar,3.0,8002,0,no
103,Ahri,1.0,1231,0,no
266,Aatrox,1.0,115,0,no
