champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
518,Neeko,0.0,0,3,3,100.0,3
119,Draven,0.0,0,3,3,100.0,3
36,DrMundo,2.0,2,1,1,100.0,3
164,Camille,1.0,1,2,2,100.0,3
57,Maokai,1.0,1,1,1,100.0,2
98,Shen,1.0,1,1,1,100.0,2
238,Zed,1.0,1,1,1,100.0,2
875,Sett,0.0,0,2,2,100.0,2
517,Sylas,1.0,1,1,1,100.0,2
96,KogMaw,0.0,0,2,2,100.0,2
79,Gragas,1.0,1,0,0,100.0,1
888,Renata,1.0,1,0,0,100.0,1
240,Kled,0.0,0,1,1,100.0,1
421,RekSai,0.0,0,1,1,100.0,1
154,Zac,1.0,1,0,0,100.0,1
84,Akali,1.0,1,0,0,100.0,0
77,Udyr,1.0,1,0,0,100.0,0
83,Yorick,1.0,1,0,0,100.0,0
5,XinZhao,0.0,0,1,1,100.0,0
163,Taliyah,0.0,0,1,1,100.0,0
127,Lissandra,0.0,0,1,1,100.0,0
1,Annie,5.0,5,2,1,85.71,7
107,Rengar,3.0,2,2,2,80.0,5
53,Blitzcrank,5.0,4,0,0,80.0,5
45,Veigar,2.0,2,3,2,80.0,5
41,Gangplank,3.0,2,2,2,80.0,5
99,Lux,5.0,4,3,2,75.0,8
111,Nautilus,6.0,5,2,1,75.0,8
157,Yasuo,7.0,5,1,1,75.0,8
74,Heimerdinger,4.0,3,0,0,75.0,4
14,Sion,3.0,2,1,1,75.0,4
59,JarvanIV,4.0,3,0,0,75.0,4
18,Tristana,1.0,1,3,2,75.0,4
40,Janna,2.0,1,2,2,75.0,4
131,Diana,2.0,2,2,1,75.0,4
4,TwistedFate,3.0,2,1,1,75.0,4
134,Syndra,3.0,2,1,1,75.0,4
222,Jinx,4.0,3,3,2,71.43,7
22,Ashe,3.0,2,4,3,71.43,7
202,Jhin,3.0,3,4,2,71.43,7
236,Lucian,3.0,3,3,1,66.67,6
150,Gnar,2.0,1,1,1,66.67,3
112,Viktor,2.0,2,1,0,66.67,3
13,Ryze,0.0,0,3,2,66.67,3
350,Yuumi,1.0,0,2,2,66.67,3
27,Singed,2.0,2,1,0,66.67,3
145,Kaisa,1.0,1,2,1,66.67,3
64,LeeSin,2.0,1,1,1,66.67,3
115,Ziggs,1.0,1,2,1,66.67,3
523,Aphelios,0.0,0,3,2,66.67,3
876,Lillia,0.0,0,3,2,66.67,3
86,Garen,3.0,2,0,0,66.67,3
29,Twitch,6.0,3,2,2,62.5,8
103,Ahri,3.0,2,2,1,60.0,5
23,Tryndamere,4.0,2,1,1,60.0,5
117,Lulu,1.0,1,4,2,60.0,5
43,Karma,2.0,2,3,1,60.0,5
76,Nidalee,1.0,0,4,3,60.0,5
142,Zoe,2.0,1,3,2,60.0,0
555,Pyke,5.0,3,2,1,57.14,7
235,Senna,2.0,1,2,1,50.0,4
67,Vayne,2.0,2,2,0,50.0,4
126,Jayce,3.0,2,1,0,50.0,4
143,Zyra,2.0,2,2,0,50.0,4
55,Katarina,2.0,0,2,2,50.0,4
498,Xayah,2.0,2,2,0,50.0,4
201,Braum,2.0,1,2,1,50.0,4
24,Jax,3.0,1,1,1,50.0,4
246,Qiyana,1.0,1,3,1,50.0,4
203,Kindred,3.0,2,1,0,50.0,4
