summoner_name,played_with,won_with,played_against,lost_against,last_played,date
Jeeveezee,69.0,34,0,0,Xayah,19-5-2023 22:33
yvan i am,31.0,14,0,0,JarvanIV,19-5-2023 22:33
ironsuperhulk,28.0,10,0,0,Xerath,19-5-2023 22:33
BluezamX,12.0,4,0,0,Sion,19-5-2023 22:33
jeanpaul99,4.0,2,0,0,Jax,20-3-2022 15:16
MCB Sensific,3.0,0,0,0,Sivir,0
Dr Aven Clinic,2.0,2,0,0,Singed,20-3-2022 15:16
winterbutty,1.0,1,0,0,Kindred,4-8-2022 22:8
toplane impakt,1.0,1,0,0,Illaoi,0
tommychies,1.0,1,0,0,Malphite,20-3-2022 15:16
seufilho12,1.0,1,0,0,Seraphine,20-3-2022 15:16
randomua,1.0,1,0,0,Tryndamere,0
milobi,1.0,1,0,0,Heimerdinger,20-3-2022 15:17
marilyn13,1.0,1,0,0,Karma,20-3-2022 15:16
koment,1.0,1,0,0,DrMundo,20-3-2022 15:16
kastrana,1.0,1,0,0,TwistedFate,0
kakreth,1.0,1,0,0,Malphite,20-3-2022 15:17
iZeuS,1.0,1,0,0,Twitch,0
i am potato,1.0,1,0,0,Pyke,0
girlsdontpee,1.0,1,0,0,Nautilus,20-3-2022 15:16
freeshzor,1.0,1,0,0,Yasuo,4-8-2022 22:8
darkconfidant13,1.0,1,0,0,Gangplank,0
ccGiselle,1.0,1,0,0,Lux,20-3-2022 15:16
berechiah,1.0,1,0,0,Viktor,19-5-2023 22:32
aZheertu,1.0,1,0,0,Nautilus,20-3-2022 15:15
Wuchuweler,1.0,1,0,0,Yorick,0
WarpSquirrel,1.0,1,0,0,Thresh,19-5-2023 22:32
WSXB,1.0,1,0,0,Brand,19-5-2023 22:32
Véreux,1.0,1,0,0,Khazix,20-3-2022 15:16
VolterVoid,1.0,1,0,0,Ahri,0
Vladventure,1.0,1,0,0,Rengar,0
VividWaters,1.0,1,0,0,Varus,0
ViroQ,1.0,1,0,0,Zyra,20-3-2022 15:16
VictorLirolaFan,1.0,1,0,0,Samira,19-5-2023 22:32
Ursvamp,1.0,1,0,0,Karma,0
TurtleInTheHööD,1.0,1,0,0,Gangplank,20-3-2022 15:16
Torval III,1.0,1,0,0,Nautilus,19-5-2023 22:32
Topšn,1.0,1,0,0,Garen,4-8-2022 22:8
Tinganes,1.0,1,0,0,Zeri,19-5-2023 22:32
TheEndMyFriend,1.0,1,0,0,Orianna,19-5-2023 22:32
SukCius666,1.0,1,0,0,Ziggs,0
Soloq ZooManager,1.0,1,0,0,Lulu,20-3-2022 15:15
Slangen A,1.0,1,0,0,Graves,0
Skwirel,1.0,1,0,0,Cassiopeia,20-3-2022 15:16
Sjabatta,1.0,1,0,0,Sejuani,19-5-2023 22:32
Screeam,1.0,1,0,0,Blitzcrank,0
SaltBoy 1v9,1.0,1,0,0,Quinn,0
