champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
23,Tryndamere,2.0,2,1,1,100.0,3
68,Rumble,1.0,1,0,0,100.0,1
163,Taliyah,0.0,0,1,1,100.0,1
104,Graves,0.0,0,1,1,100.0,1
12,Alistar,3.0,3,1,1,100.0,0
30,Karthus,1.0,1,0,0,100.0,0
201,Braum,1.0,1,0,0,100.0,0
516,Ornn,0.0,0,2,2,100.0,0
72,Skarner,0.0,0,1,1,100.0,0
21,MissFortune,0.0,0,1,1,100.0,0
61,Orianna,3.0,3,5,4,87.5,8
25,Morgana,3.0,3,3,2,83.33,6
86,Garen,4.0,3,2,2,83.33,6
102,Shyvana,2.0,2,4,3,83.33,6
48,Trundle,1.0,1,4,3,80.0,5
80,Pantheon,1.0,1,4,3,80.0,5
105,Fizz,3.0,3,2,1,80.0,0
254,Vi,4.0,3,0,0,75.0,4
101,Xerath,2.0,1,2,2,75.0,4
120,Hecarim,2.0,1,2,2,75.0,0
18,Tristana,2.0,2,5,3,71.43,7
131,Diana,3.0,1,4,4,71.43,7
83,Yorick,3.0,2,4,3,71.43,0
238,Zed,0.0,0,7,5,71.43,0
106,Volibear,5.0,3,5,4,70.0,10
51,Caitlyn,8.0,6,5,3,69.23,13
103,Ahri,4.0,3,5,3,66.67,9
84,Akali,4.0,3,5,3,66.67,9
157,Yasuo,2.0,0,4,4,66.67,6
203,Kindred,2.0,1,1,1,66.67,3
32,Amumu,2.0,2,1,0,66.67,3
240,Kled,1.0,1,2,1,66.67,3
38,Kassadin,2.0,2,1,0,66.67,3
40,Janna,1.0,0,2,2,66.67,3
79,Gragas,3.0,2,0,0,66.67,3
412,Thresh,7.0,4,2,2,66.67,0
121,Khazix,2.0,2,7,4,66.67,0
60,Elise,1.0,1,2,1,66.67,0
523,Aphelios,0.0,0,3,2,66.67,0
67,Vayne,6.0,3,5,4,63.64,11
6,Urgot,4.0,2,4,3,62.5,8
99,Lux,3.0,3,5,2,62.5,8
36,DrMundo,4.0,3,4,2,62.5,0
887,Gwen,9.0,5,4,3,61.54,13
62,MonkeyKing,14.0,8,1,1,60.0,15
15,Sivir,2.0,2,8,4,60.0,10
164,Camille,3.0,2,2,1,60.0,5
45,Veigar,4.0,2,1,1,60.0,5
26,Zilean,2.0,1,3,2,60.0,5
117,Lulu,5.0,2,5,4,60.0,0
31,Chogath,10.0,6,2,1,58.33,12
17,Teemo,4.0,3,3,1,57.14,7
111,Nautilus,4.0,2,3,2,57.14,7
35,Shaco,6.0,4,3,1,55.56,9
50,Swain,7.0,4,4,2,54.55,11
53,Blitzcrank,7.0,4,4,2,54.55,11
145,Kaisa,9.0,5,11,5,50.0,20
222,Jinx,8.0,3,8,5,50.0,16
202,Jhin,7.0,4,7,3,50.0,14
777,Yone,5.0,3,5,2,50.0,10
19,Warwick,6.0,3,2,1,50.0,8
134,Syndra,5.0,2,1,1,50.0,6
10,Kayle,1.0,0,3,2,50.0,4
29,Twitch,2.0,0,2,2,50.0,4
1,Annie,3.0,1,1,1,50.0,4
9,Fiddlesticks,1.0,0,3,2,50.0,4
33,Rammus,2.0,1,2,1,50.0,4
75,Nasus,1.0,0,3,2,50.0,4
115,Ziggs,1.0,0,3,2,50.0,4
91,Talon,1.0,0,1,1,50.0,2
518,Neeko,2.0,1,0,0,50.0,2
126,Jayce,1.0,0,1,1,50.0,2
432,Bard,1.0,1,1,0,50.0,2
127,Lissandra,0.0,0,2,1,50.0,2
154,Zac,2.0,1,0,0,50.0,2
4,TwistedFate,2.0,2,2,0,50.0,0
114,Fiora,2.0,1,0,0,50.0,0
8,Vladimir,2.0,1,0,0,50.0,0
5,XinZhao,2.0,1,2,1,50.0,0
39,Irelia,1.0,1,1,0,50.0,0
875,Sett,1.0,1,3,1,50.0,0
89,Leona,1.0,0,3,2,50.0,0
76,Nidalee,1.0,0,1,1,50.0,0
421,RekSai,1.0,0,1,1,50.0,0
119,Draven,0.0,0,2,1,50.0,0
497,Rakan,0.0,0,4,2,50.0,0
14,Sion,0.0,0,2,1,50.0,0
235,Senna,12.0,6,10,4,45.45,22
