champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,winrate,cc_score
103,Ahri,2.0,2,11,8,11,14865,14378,487,0,0,0,0,0,3217,100.0,0
22,Ashe,2.0,2,5,4,10,8355,7974,380,0,0,0,0,0,1212,100.0,0
4,TwistedFate,2.0,2,17,22,26,26994,32871,-5877,1,0,0,0,0,6426,100.0,0
45,Veigar,1.0,1,12,7,23,35118,23026,12092,1,0,0,0,0,5224,100.0,0
15,Sivir,1.0,1,2,5,21,30396,22609,7787,0,0,0,0,0,11514,100.0,0
61,Orianna,1.0,1,7,9,11,20540,21072,-532,2,0,0,0,0,1552,100.0,0
121,Khazix,1.0,1,10,4,5,15409,18130,-2721,1,1,0,0,0,7598,100.0,4
84,Akali,1.0,1,15,8,5,22861,28812,-5951,2,0,0,0,0,6301,100.0,0
53,Blitzcrank,1.0,1,5,8,22,13312,22893,-9581,0,0,0,0,0,2176,100.0,0
412,Thresh,1.0,1,4,5,12,9036,19693,-10657,0,0,0,0,0,2487,100.0,0
51,Caitlyn,8.0,6,63,37,66,19540,14446,5093,4,1,1,0,0,3172,75.0,0
67,Vayne,3.0,2,35,24,25,33120,28096,5024,3,1,0,0,0,7388,66.67,4
887,Gwen,5.0,3,60,28,47,30382,34282,-3898,11,2,0,0,0,12620,60.0,0
145,Kaisa,8.0,4,61,36,36,15231,14804,427,9,1,0,0,0,4007,50.0,0
236,Lucian,6.0,3,51,45,42,22013,22848,-834,5,1,0,0,0,2657,50.0,0
202,Jhin,2.0,1,11,3,10,12092,8973,3119,1,0,0,0,0,3646,50.0,0
164,Camille,2.0,1,28,16,18,32200,40995,-8795,3,1,0,0,0,8847,50.0,0
235,Senna,6.0,2,18,31,46,13036,11292,1742,1,0,0,0,0,6718,33.33,0
222,Jinx,6.0,2,35,34,41,17764,16490,1273,2,0,0,0,0,3319,33.33,2
134,Syndra,3.0,1,10,21,28,15208,15665,-457,0,0,0,0,0,1191,33.33,0
498,Xayah,4.0,1,19,24,33,13976,16775,-2798,0,0,0,0,0,3144,25.0,0
81,Ezreal,7.0,1,46,35,48,25309,15474,9832,5,1,0,0,0,2834,14.29,1
110,Varus,3.0,0,27,16,25,32371,20425,11946,2,0,0,0,0,7891,0.0,0
221,Zeri,2.0,0,6,17,5,10348,22691,-12343,1,0,0,0,0,2923,0.0,4
131,Diana,1.0,0,1,5,5,5670,12079,-6409,0,0,0,0,0,3450,0.0,4
141,Kayn,1.0,0,3,8,4,6352,18807,-12455,0,0,0,0,0,6263,0.0,0
157,Yasuo,1.0,0,5,13,7,18033,34019,-15986,0,0,0,0,0,2693,0.0,0
