champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
43,Karma,1.0,1,1,1,100,2
121,Khazix,0.0,0,1,1,100,1
76,Nidalee,0.0,0,1,1,100,1
21,MissFortune,0.0,0,1,1,100,1
64,LeeSin,0.0,0,1,1,100,1
134,Syndra,0.0,0,1,1,100,1
82,Mordekaiser,0.0,0,1,1,100,1
51,Caitlyn,0.0,0,1,1,100,1
222,Jinx,1.0,1,0,0,100,1
950,Naafiri,1.0,1,0,0,100,1
432,Bard,1.0,1,0,0,100,1
236,Lucian,1.0,1,0,0,100,1
50,Swain,1.0,0,1,1,50,2
35,Shaco,1.0,0,2,1,33,3
104,Graves,1.0,0,0,0,0,1
254,Vi,1.0,0,0,0,0,1
202,Jhin,1.0,0,0,0,0,1
6,Urgot,1.0,0,0,0,0,1
63,Brand,1.0,0,0,0,0,1
145,Kaisa,1.0,0,0,0,0,1
81,Ezreal,1.0,0,0,0,0,1
518,Neeko,1.0,0,0,0,0,1
68,Rumble,0.0,0,1,0,0,1
711,Vex,0.0,0,1,0,0,1
555,Pyke,0.0,0,1,0,0,1
412,Thresh,0.0,0,1,0,0,1
