summoner_name,played_with,won_with,played_against,lost_against,date,last_played
ironsuperhulk,3.0,1,0,0,12-11-2023 13:43,Bard
Jeeveezee,3.0,1,0,0,12-11-2023 13:43,Lucian
Corgaz,1.0,1,0,0,12-11-2023 13:43,Jinx
Ankylo07,1.0,1,0,0,12-11-2023 13:43,Naafiri
1YA1 TaKaShi,1.0,1,0,0,12-11-2023 13:43,Karma
antilimuli,1.0,0,0,0,12-11-2023 13:42,Shaco
TechN1ck,1.0,0,0,0,12-11-2023 13:42,Graves
Lumpenwuff,1.0,0,0,0,12-11-2023 13:42,Brand
Light Of The GOD,1.0,0,0,0,12-11-2023 13:42,Neeko
Jo Carrot,1.0,0,0,0,12-11-2023 13:42,Kaisa
Jaηηe,1.0,0,0,0,12-11-2023 13:42,Vi
X4mt3m,0.0,0,1,0,12-11-2023 13:43,Thresh
Teemo Enthusiast,0.0,0,1,1,12-11-2023 13:42,Swain
Sissyreiter Alex,0.0,0,1,0,12-11-2023 13:42,Vex
Seikinir,0.0,0,1,1,12-11-2023 13:42,Mordekaiser
Premsman,0.0,0,1,1,12-11-2023 13:42,Khazix
Kon kun,0.0,0,1,1,12-11-2023 13:42,Caitlyn
HelloBoy,0.0,0,1,0,12-11-2023 13:42,Shaco
Grymms Mid,0.0,0,1,1,12-11-2023 13:42,LeeSin
Deff Tripp,0.0,0,1,0,12-11-2023 13:42,Rumble
CμmTrox,0.0,0,1,0,12-11-2023 13:42,Pyke
Crevette Gab,0.0,0,1,1,12-11-2023 13:42,Nidalee
CallMeLilith7,0.0,0,1,1,12-11-2023 13:42,Karma
AntoineCurry30,0.0,0,1,1,12-11-2023 13:42,Syndra
APAK47,0.0,0,1,1,12-11-2023 13:42,MissFortune
41heB1ac,0.0,0,1,1,12-11-2023 13:42,Shaco
