champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate
24,Jax,5.0,5,0,0,100.0
875,Sett,5.0,5,0,0,100.0
53,Blitzcrank,5.0,5,0,0,100.0
3,Galio,5.0,5,0,0,100.0
62,MonkeyKing,5.0,5,0,0,100.0
164,Camille,5.0,5,0,0,100.0
157,Yasuo,0.0,0,5,5,100.0
63,Brand,0.0,0,5,5,100.0
74,Heimerdinger,0.0,0,5,5,100.0
54,Malphite,0.0,0,5,5,100.0
58,Renekton,0.0,0,5,5,100.0
518,Neeko,0.0,0,5,5,100.0
2,Olaf,0.0,0,5,5,100.0
20,Nunu,0.0,0,5,5,100.0
145,Kaisa,10.0,5,0,0,50.0
81,Ezreal,5.0,0,5,5,50.0
79,Gragas,5.0,0,0,0,0.0
77,Udyr,5.0,0,0,0,0.0
13,Ryze,5.0,0,0,0,0.0
427,Ivern,5.0,0,0,0,0.0
777,Yone,5.0,0,0,0,0.0
154,Zac,5.0,0,0,0,0.0
33,Rammus,5.0,0,0,0,0.0
420,Illaoi,0.0,0,5,0,0.0
55,Katarina,0.0,0,5,0,0.0
29,Twitch,0.0,0,5,0,0.0
238,Zed,0.0,0,5,0,0.0
6,Urgot,0.0,0,5,0,0.0
147,Seraphine,0.0,0,5,0,0.0
202,Jhin,0.0,0,5,0,0.0
