summoner_name,played_with,won_with,played_against,lost_against,last_played
Jeeveezee,16.0,7,0,0,Rammus
MCB Sensific,15.0,6,0,0,Rammus
yvan i am,10.0,5,0,0,Rammus
ironsuperhulk,10.0,4,0,0,Ivern
BluezamX,7.0,3,0,0,Rammus
sorteslyngel69,1.0,1,0,0,Camille
elecdragon,1.0,1,0,0,Sett
Zuzuzano,1.0,1,0,0,Camille
ProblemLoco,1.0,1,0,0,Jax
Mitorisa,1.0,1,0,0,MonkeyKing
HeavenByakuren,1.0,1,0,0,Jax
HIPPOrising,1.0,1,0,0,Kaisa
Enylad,1.0,1,0,0,Jax
Baazga,1.0,1,0,0,Galio
AVince,1.0,1,0,0,Kaisa
valoitras,1.0,0,0,0,Ryze
imperdibleism,1.0,0,0,0,Kaisa
eazreal123,1.0,0,0,0,Rammus
TorkhanLunique,1.0,0,0,0,Kaisa
ShnoupSs,1.0,0,0,0,Udyr
PolakMan,1.0,0,0,0,Zac
PARTICHELA,1.0,0,0,0,Ezreal
Noastrid,1.0,0,0,0,Ezreal
Niruvia,1.0,0,0,0,Udyr
Jin àir Dràçulà,1.0,0,0,0,Gragas
ILenonn,1.0,0,0,0,Yone
Finally Resolute,1.0,0,0,0,Gragas
xArt3loSx,0.0,0,1,1,Malphite
viriatto360,0.0,0,1,1,Neeko
valquirit26,0.0,0,1,1,Heimerdinger
slovenian master,0.0,0,1,0,Twitch
slagtermike,0.0,0,1,0,Illaoi
skyocerqwer,0.0,0,1,1,Nunu
skinwalker87,0.0,0,1,0,Katarina
rashed 1997,0.0,0,1,0,Seraphine
purgafire,0.0,0,1,1,Heimerdinger
ottoMansS,0.0,0,1,0,Jhin
ilovemynase,0.0,0,1,1,Nunu
iiM7,0.0,0,1,0,Urgot
iGamerr,0.0,0,1,0,Seraphine
estevepayeras,0.0,0,1,0,Zed
erekcius,0.0,0,1,0,Katarina
baccariom3,0.0,0,1,0,Jhin
auriondudu,0.0,0,1,1,Renekton
alleop98,0.0,0,1,0,Zed
ViciousSylvan,0.0,0,1,0,Illaoi
Unsterblicht,0.0,0,1,1,Renekton
Trixiod,0.0,0,1,1,Olaf
Trankar,0.0,0,1,1,Ezreal
Tomterumpa,0.0,0,1,1,Yasuo
Tomateo123,0.0,0,1,0,Jhin
TheSwimmingDuck,0.0,0,1,0,Illaoi
TheKiller8231,0.0,0,1,1,Heimerdinger
SinfulMan,0.0,0,1,1,Brand
Siggy Stardust,0.0,0,1,1,Renekton
Shame4U,0.0,0,1,1,Malphite
SeeYaTom0rrow,0.0,0,1,1,Yasuo
Saikithehighkick,0.0,0,1,0,Twitch
Rudi Fucinhos,0.0,0,1,1,Neeko
QQPredatorRengar,0.0,0,1,1,Olaf
Put4 AsheWith TP,0.0,0,1,0,Twitch
Play l Soun,0.0,0,1,1,Heimerdinger
PizzaNicke,0.0,0,1,1,Yasuo
Otakustario,0.0,0,1,0,Katarina
Onicz,0.0,0,1,0,Zed
ONLYOTPMORGANA,0.0,0,1,1,Olaf
Nomàd,0.0,0,1,1,Heimerdinger
NiceHero T2,0.0,0,1,1,Olaf
NeonRaider,0.0,0,1,0,Seraphine
NautiIus,0.0,0,1,1,Brand
Mejikal,0.0,0,1,0,Twitch
Mart1ns,0.0,0,1,1,Ezreal
Le Gros Chacal,0.0,0,1,0,Katarina
L9 Poggers,0.0,0,1,1,Brand
Koronal Yooo,0.0,0,1,1,Ezreal
Knäväxter,0.0,0,1,1,Brand
King Of Heroin,0.0,0,1,1,Renekton
Kataritrash,0.0,0,1,0,Katarina
I Am Not Draven,0.0,0,1,1,Ezreal
HyperrXV,0.0,0,1,1,Yasuo
Hidrox88,0.0,0,1,0,Seraphine
Hentai ls Art,0.0,0,1,0,Urgot
Henrik242,0.0,0,1,1,Malphite
HelloImRyan08,0.0,0,1,1,Neeko
Greker,0.0,0,1,0,Zed
GotchaaBeech,0.0,0,1,1,Neeko
Ghandi The Great,0.0,0,1,0,Illaoi
Ger0j,0.0,0,1,1,Malphite
GeneraI Onyx,0.0,0,1,1,Yasuo
FögglA,0.0,0,1,1,Renekton
FufuVanFufuness,0.0,0,1,1,Nunu
Fozzi,0.0,0,1,1,Malphite
ErsmaEinBoun,0.0,0,1,1,Nunu
Erke,0.0,0,1,0,Zed
Confinment,0.0,0,1,0,Jhin
Clivils,0.0,0,1,1,Ezreal
ChiakiBestGirl,0.0,0,1,1,Nunu
CHILAsacu,0.0,0,1,0,Twitch
C9 Oden,0.0,0,1,1,Brand
BazzDeeT,0.0,0,1,0,Urgot
Bartholomäuschen,0.0,0,1,0,Urgot
B1ueFat,0.0,0,1,1,Olaf
Annikanninchen,0.0,0,1,0,Urgot
AlbaInc,0.0,0,1,1,Neeko
7GoldenBear7,0.0,0,1,0,Illaoi
52PromilAlkol,0.0,0,1,0,Jhin
28MrCat28,0.0,0,1,0,Seraphine
