champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,winrate
164,Camille,1.0,1,15,5,7,38008,26515,11493,3,1,0,0,0,8602,100.0
3,Galio,1.0,1,9,4,21,25722,16697,9025,0,0,0,0,0,2802,100.0
53,Blitzcrank,1.0,1,11,4,12,23779,16791,6988,1,0,0,0,0,3004,100.0
62,MonkeyKing,1.0,1,10,2,5,14653,13158,1495,1,0,0,0,0,3638,100.0
24,Jax,1.0,1,9,7,11,18384,22830,-4446,2,0,0,0,0,5473,100.0
875,Sett,1.0,1,7,7,12,19652,32256,-12604,1,0,0,0,0,6750,100.0
145,Kaisa,2.0,1,17,3,26,25629,10440,15189,2,0,0,0,0,5095,50.0
33,Rammus,1.0,0,15,7,13,42113,40174,1939,0,0,0,0,0,11003,0.0
81,Ezreal,1.0,0,2,4,6,5586,7912,-2326,0,0,0,0,0,1327,0.0
427,Ivern,1.0,0,0,4,1,3416,6101,-2685,0,0,0,0,0,411,0.0
79,Gragas,1.0,0,13,9,16,37321,41582,-4261,1,0,0,0,0,12916,0.0
154,Zac,1.0,0,4,4,7,10456,16490,-6034,0,0,0,0,0,10283,0.0
777,Yone,1.0,0,2,8,0,5755,13195,-7440,0,0,0,0,0,2156,0.0
77,Udyr,1.0,0,1,6,1,3077,12664,-9587,0,0,0,0,0,656,0.0
13,Ryze,1.0,0,0,11,6,9160,33731,-24571,0,0,0,0,0,4928,0.0
