champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
99,Lux,3.0,3,0,0,100,3
517,Sylas,1.0,1,1,1,100,2
117,Lulu,0.0,0,2,2,100,2
266,Aatrox,0.0,0,2,2,100,2
15,Sivir,1.0,1,1,1,100,2
105,Fizz,0.0,0,2,2,100,2
106,Volibear,1.0,1,1,1,100,2
5,XinZhao,1.0,1,1,1,100,2
164,Camille,2.0,2,0,0,100,2
7,Leblanc,1.0,1,0,0,100,1
142,Zoe,0.0,0,1,1,100,1
3,Galio,0.0,0,1,1,100,1
20,Nunu,0.0,0,1,1,100,1
222,Jinx,0.0,0,1,1,100,1
42,Corki,0.0,0,1,1,100,1
4,TwistedFate,0.0,0,1,1,100,1
236,Lucian,0.0,0,1,1,100,1
30,Karthus,0.0,0,1,1,100,1
201,Braum,1.0,1,0,0,100,1
134,Syndra,1.0,1,0,0,100,1
235,Senna,0.0,0,1,1,100,1
143,Zyra,0.0,0,1,1,100,1
51,Caitlyn,1.0,1,0,0,100,1
887,Gwen,1.0,1,0,0,100,1
39,Irelia,1.0,1,0,0,100,1
267,Nami,1.0,1,0,0,100,1
21,MissFortune,0.0,0,1,1,100,1
8,Vladimir,0.0,0,1,1,100,1
161,Velkoz,0.0,0,1,1,100,1
711,Vex,0.0,0,1,1,100,1
27,Singed,0.0,0,1,1,100,1
133,Quinn,0.0,0,1,1,100,1
223,TahmKench,1.0,1,0,0,100,1
57,Maokai,1.0,1,0,0,100,1
36,DrMundo,1.0,1,0,0,100,1
432,Bard,1.0,1,0,0,100,1
22,Ashe,0.0,0,4,3,75,4
31,Chogath,2.0,2,2,1,75,4
25,Morgana,3.0,2,1,1,75,4
56,Nocturne,0.0,0,3,2,66,3
37,Sona,1.0,0,2,2,66,3
221,Zeri,2.0,1,1,1,66,3
86,Garen,3.0,1,2,2,60,5
54,Malphite,0.0,0,4,2,50,4
555,Pyke,2.0,1,2,1,50,4
64,LeeSin,2.0,1,2,1,50,4
245,Ekko,2.0,1,2,1,50,4
875,Sett,0.0,0,2,1,50,2
17,Teemo,1.0,0,1,1,50,2
268,Azir,2.0,1,0,0,50,2
115,Ziggs,1.0,1,1,0,50,2
104,Graves,1.0,1,1,0,50,2
202,Jhin,2.0,1,0,0,50,2
81,Ezreal,2.0,1,0,0,50,2
38,Kassadin,0.0,0,2,1,50,2
75,Nasus,1.0,0,1,1,50,2
41,Gangplank,2.0,1,0,0,50,2
29,Twitch,2.0,1,0,0,50,2
777,Yone,1.0,0,1,1,50,2
89,Leona,1.0,0,1,1,50,2
90,Malzahar,1.0,0,1,1,50,2
114,Fiora,2.0,1,0,0,50,2
63,Brand,1.0,0,2,1,33,3
121,Khazix,1.0,0,2,1,33,3
59,JarvanIV,1.0,0,2,1,33,3
85,Kennen,3.0,1,0,0,33,3
76,Nidalee,1.0,1,2,0,33,3
103,Ahri,1.0,0,3,1,25,4
254,Vi,2.0,1,2,0,25,4
79,Gragas,2.0,0,2,1,25,4
18,Tristana,3.0,0,0,0,0,3
24,Jax,1.0,0,2,0,0,3
43,Karma,2.0,0,1,0,0,3
110,Varus,1.0,0,1,0,0,2
12,Alistar,0.0,0,2,0,0,2
26,Zilean,1.0,0,1,0,0,2
96,KogMaw,2.0,0,0,0,0,2
19,Warwick,1.0,0,1,0,0,2
78,Poppy,1.0,0,1,0,0,2
246,Qiyana,1.0,0,1,0,0,2
53,Blitzcrank,1.0,0,0,0,0,1
147,Seraphine,1.0,0,0,0,0,1
126,Jayce,1.0,0,0,0,0,1
58,Renekton,1.0,0,0,0,0,1
203,Kindred,1.0,0,0,0,0,1
111,Nautilus,1.0,0,0,0,0,1
84,Akali,1.0,0,0,0,0,1
35,Shaco,1.0,0,0,0,0,1
16,Soraka,1.0,0,0,0,0,1
69,Cassiopeia,1.0,0,0,0,0,1
13,Ryze,1.0,0,0,0,0,1
45,Veigar,1.0,0,0,0,0,1
2,Olaf,0.0,0,1,0,0,1
145,Kaisa,0.0,0,1,0,0,1
518,Neeko,0.0,0,1,0,0,1
497,Rakan,0.0,0,1,0,0,1
92,Riven,1.0,0,0,0,0,1
498,Xayah,1.0,0,0,0,0,1
350,Yuumi,0.0,0,1,0,0,1
55,Katarina,0.0,0,1,0,0,1
11,MasterYi,0.0,0,1,0,0,1
157,Yasuo,0.0,0,1,0,0,1
