summoner_name,played_with,won_with,played_against,lost_against,last_played
Jeeveezee,19.0,8,0,0,Morgana
yvan i am,14.0,7,0,0,Fiora
ironsuperhulk,10.0,5,0,0,Bard
impreg the keg,10.0,5,0,0,Nidalee
BluezamX,3.0,0,0,0,Soraka
MaschioAlpha21,2.0,0,0,0,Teemo
tempwghlwkmtngks,1.0,1,0,0,Twitch
Yogtatent,1.0,1,0,0,Kennen
TΘ nes,1.0,1,0,0,Syndra
SRMARIOKI,1.0,1,0,0,DrMundo
Rudy GGC,1.0,1,0,0,Pyke
Lykarn,1.0,1,0,0,Chogath
Jozord,1.0,1,0,0,Nami
Guilileu,1.0,1,0,0,Jhin
GuccÍGánk,1.0,1,0,0,Zeri
DarthyKnight,1.0,1,0,0,Chogath
Berga997,1.0,1,0,0,Maokai
Bardee,1.0,1,0,0,Ziggs
Bakatlas,1.0,1,0,0,Irelia
AraZzaY,1.0,1,0,0,Garen
AUT Gustl,1.0,1,0,0,Lux
yunOoes,1.0,0,0,0,Morgana
hunter007,1.0,0,0,0,Sona
Zerichy,1.0,0,0,0,Cassiopeia
YD Ewrany,1.0,0,0,0,Ryze
Volvo 940,1.0,0,0,0,Brand
TheLukZ,1.0,0,0,0,Gragas
SuperCuteGuy,1.0,0,0,0,Vi
Steam fails,1.0,0,0,0,Kennen
Sprinting Cuck,1.0,0,0,0,Zeri
SN d4t,1.0,0,0,0,JarvanIV
Lord Crugold,1.0,0,0,0,Tristana
KehuY,1.0,0,0,0,Qiyana
FalkDerHüen,1.0,0,0,0,Blitzcrank
FLEXX SHANKS,1.0,0,0,0,Jayce
Enzoooo,1.0,0,0,0,Azir
DianaOTPs,1.0,0,0,0,Kennen
Darriio,1.0,0,0,0,Renekton
DARKTERATOS,1.0,0,0,0,Fiora
Chrisebass,1.0,0,0,0,Xayah
Bizakor99,1.0,0,0,0,Ahri
AndiMandii,1.0,0,0,0,Khazix
AlbaatT,1.0,0,0,0,Kindred
xXBananaKatanaXx,0.0,0,1,1,TwistedFate
simonmana,0.0,0,1,1,Senna
script202,0.0,0,1,1,Kassadin
saw keeper,0.0,0,1,0,Ahri
punkfolie,0.0,0,1,0,Ashe
présidentXî,0.0,0,1,0,Graves
onisenshu,0.0,0,1,1,Quinn
nrbelmdd,0.0,0,1,0,Chogath
nemke77,0.0,0,1,1,Volibear
momaekJOJO,0.0,0,1,0,Yuumi
missliza,0.0,0,1,1,Lulu
mightysteven,0.0,0,1,1,Sona
master0415,0.0,0,1,0,Vi
leka ve4er,0.0,0,1,1,Garen
laternapidu,0.0,0,1,0,Neeko
lRayan,0.0,0,1,0,JarvanIV
ifartwhenscared,0.0,0,1,0,Alistar
ego ıs enemy,0.0,0,1,0,Varus
desperate twitch,0.0,0,1,0,MasterYi
dekbar,0.0,0,1,0,Pyke
bienmachine,0.0,0,1,1,Ashe
art3mìss,0.0,0,1,0,Gragas
ZeroTwu,0.0,0,1,1,Aatrox
ZUUMMERS,0.0,0,1,0,LeeSin
XxTeemoPLXx,0.0,0,1,1,Lulu
XiaoLeaf,0.0,0,1,0,Rakan
Xemon32,0.0,0,1,1,Ekko
Voltagee,0.0,0,1,1,LeeSin
Tonynhou,0.0,0,1,0,Vi
Tiggerus KeKw,0.0,0,1,1,Nasus
The Wisdomer,0.0,0,1,1,Vladimir
Sylphalie,0.0,0,1,0,Poppy
Strossburi,0.0,0,1,0,Kaisa
Solvaer,0.0,0,1,1,Garen
Solitudefinn,0.0,0,1,0,Ziggs
Silkywayx,0.0,0,1,0,Qiyana
Shôr Rocha,0.0,0,1,1,JarvanIV
Scadder The Weak,0.0,0,1,1,Vex
PikkuPeruna,0.0,0,1,1,XinZhao
Perpsi,0.0,0,1,0,Malphite
PanDa08,0.0,0,1,0,Alistar
P4cM4nlol,0.0,0,1,1,Zyra
P1paul127,0.0,0,1,0,Nocturne
Nomis,0.0,0,1,1,Yone
Nightgasp,0.0,0,1,1,Fizz
NightStalkerC98,0.0,0,1,1,Jinx
MrFuret07,0.0,0,1,0,Malphite
Momomyaa,0.0,0,1,0,Brand
Moddis99,0.0,0,1,1,Leona
Messed Guy,0.0,0,1,1,Velkoz
MeIsObject,0.0,0,1,1,Malzahar
Làne Kingdom,0.0,0,1,1,Sivir
Lycaonsaitou,0.0,0,1,0,Nidalee
Lucycolomar1406,0.0,0,1,1,Zeri
Lohoor,0.0,0,1,0,Katarina
LSlatcher,0.0,0,1,1,Sett
LE BÔ JE,0.0,0,1,1,Ashe
KerizaxLeClôwn,0.0,0,1,1,MissFortune
Jaresy,0.0,0,1,0,Ahri
JESUS BLAZEON,0.0,0,1,1,Nocturne
ImmortalJin,0.0,0,1,1,Malphite
ImMonstaGoo,0.0,0,1,1,Sylas
IchigoBestWaifu,0.0,0,1,1,Brand
HarteBrezel,0.0,0,1,1,Morgana
Hamako,0.0,0,1,0,Olaf
HAIYAA69,0.0,0,1,1,Zoe
Graxxler1337,0.0,0,1,1,Sona
GiveMeKayne,0.0,0,1,1,Ashe
Gen Schmackofatz,0.0,0,1,1,Aatrox
FugorinaKurayami,0.0,0,1,0,Sett
Fondle Me Gently,0.0,0,1,0,Warwick
FlashTimeIT,0.0,0,1,1,Lucian
DonMakro,0.0,0,1,0,Zilean
Diamond6700,0.0,0,1,1,Teemo
DarkCristal9,0.0,0,1,1,Chogath
CptShizo,0.0,0,1,1,Karthus
CowboyThr3sh,0.0,0,1,1,Nocturne
ChuisUnBaton,0.0,0,1,1,Pyke
Carlern,0.0,0,1,1,Nunu
BubbleBoom,0.0,0,1,1,Ahri
BrunoSunRunner,0.0,0,1,0,Kassadin
BrSusse,0.0,0,1,1,Singed
Blonde Boy,0.0,0,1,1,Fizz
Blasswelk,0.0,0,1,0,Nidalee
BeaTs3,0.0,0,1,1,Malphite
Bahocoles ,0.0,0,1,0,Jax
Bacon Ipsum,0.0,0,1,1,Corki
Babaxore,0.0,0,1,1,Gragas
BRUH LMAO XD,0.0,0,1,0,Jax
Ares Patrick,0.0,0,1,0,Ekko
Akküman,0.0,0,1,1,Khazix
AkillianZ,0.0,0,1,0,Karma
AMohsenQ7,0.0,0,1,0,Khazix
3aydooo,0.0,0,1,0,Yasuo
169cm,0.0,0,1,1,Galio
