champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,cc_score,winrate
104,Graves,1.0,1,28,4,12,45058,22671,22387,7,2,0,0,0,3214,10,100
15,Sivir,1.0,1,15,4,8,35388,15159,20229,3,0,0,0,0,2070,3,100
5,XinZhao,1.0,1,10,9,11,33751,23659,10092,1,1,0,0,0,5685,24,100
99,Lux,1.0,1,12,5,21,25681,17694,7987,1,0,0,0,0,969,59,100
64,LeeSin,1.0,1,16,7,10,28194,22867,5327,1,0,0,0,0,1652,7,100
7,Leblanc,1.0,1,6,3,3,9147,6744,2403,1,0,0,0,0,194,18,100
25,Morgana,1.0,1,7,5,9,10806,11249,-443,0,0,0,0,0,2474,42,100
887,Gwen,1.0,1,17,11,18,42112,57357,-15245,2,0,0,0,0,7490,11,100
18,Tristana,2.0,0,18,27,15,30656,31270,-614,0,0,0,0,0,3053,7,0
96,KogMaw,1.0,0,19,11,11,36552,29395,7157,2,0,0,0,0,1330,23,0
79,Gragas,1.0,0,17,10,4,26930,24207,2723,6,1,0,0,0,3173,29,0
81,Ezreal,1.0,0,5,5,3,14947,14909,38,1,0,0,0,0,419,1,0
777,Yone,1.0,0,9,10,6,23347,27680,-4333,0,0,0,0,0,1157,18,0
555,Pyke,1.0,0,8,11,5,11920,18036,-6116,2,0,0,0,0,1773,12,0
78,Poppy,1.0,0,12,11,14,28606,35094,-6488,0,0,0,0,0,5762,50,0
147,Seraphine,1.0,0,9,16,8,23871,32607,-8736,0,0,0,0,0,1985,50,0
19,Warwick,1.0,0,19,13,10,52201,69216,-17015,2,1,0,0,0,32765,38,0
245,Ekko,1.0,0,8,14,11,15430,33259,-17829,1,0,0,0,0,3068,11,0
