champion_id,champion_name,champion_level,champion_points,tokens_earned,chest_granted
157,Yasuo,6.0,33343,0,yes
498,Xayah,7.0,116735,0,yes
45,Veigar,3.0,6754,0,yes
67,Vayne,7.0,159166,0,yes
110,Varus,6.0,46659,2,yes
4,TwistedFate,4.0,15463,0,yes
147,Seraphine,2.0,2561,0,yes
360,Samira,4.0,15999,0,yes
21,MissFortune,7.0,54634,0,yes
236,Lucian,7.0,200955,0,yes
145,Kaisa,7.0,78215,0,yes
222,Jinx,6.0,50312,1,yes
202,Jhin,7.0,176973,0,yes
81,Ezreal,7.0,129056,0,yes
164,Camille,3.0,9058,0,yes
51,Caitlyn,7.0,124247,0,yes
22,Ashe,7.0,60388,0,yes
103,Ahri,2.0,4675,0,yes
143,Zyra,1.0,647,0,no
142,Zoe,1.0,937,0,no
115,Ziggs,1.0,814,0,no
238,Zed,3.0,6369,0,no
154,Zac,2.0,2013,0,no
350,Yuumi,1.0,108,0,no
83,Yorick,1.0,813,0,no
777,Yone,1.0,981,0,no
101,Xerath,1.0,275,0,no
19,Warwick,4.0,20085,0,no
106,Volibear,1.0,906,0,no
8,Vladimir,1.0,163,0,no
112,Viktor,1.0,1229,0,no
254,Vi,4.0,13990,0,no
161,Velkoz,2.0,1884,0,no
6,Urgot,1.0,1781,0,no
77,Udyr,1.0,81,0,no
29,Twitch,5.0,29175,0,no
48,Trundle,2.0,2959,0,no
18,Tristana,7.0,80323,0,no
412,Thresh,3.0,10140,0,no
17,Teemo,5.0,23566,0,no
44,Taric,1.0,261,0,no
91,Talon,1.0,1151,0,no
163,Taliyah,1.0,756,0,no
223,TahmKench,1.0,469,0,no
134,Syndra,3.0,10532,0,no
50,Swain,4.0,16153,0,no
16,Soraka,2.0,2481,0,no
37,Sona,2.0,2398,0,no
72,Skarner,1.0,657,0,no
15,Sivir,5.0,24222,0,no
14,Sion,1.0,1220,0,no
27,Singed,1.0,1458,0,no
102,Shyvana,1.0,398,0,no
98,Shen,1.0,92,0,no
35,Shaco,2.0,3565,0,no
875,Sett,1.0,924,0,no
235,Senna,4.0,16476,0,no
13,Ryze,2.0,1955,0,no
68,Rumble,1.0,171,0,no
92,Riven,2.0,2471,0,no
107,Rengar,5.0,27523,0,no
33,Rammus,1.0,1518,0,no
133,Quinn,3.0,7066,0,no
246,Qiyana,2.0,3351,0,no
555,Pyke,2.0,2365,0,no
78,Poppy,4.0,19600,0,no
516,Ornn,1.0,613,0,no
61,Orianna,3.0,8968,0,no
2,Olaf,1.0,158,0,no
20,Nunu,2.0,3315,0,no
56,Nocturne,2.0,4062,0,no
76,Nidalee,3.0,6620,0,no
518,Neeko,2.0,2320,0,no
111,Nautilus,1.0,186,0,no
75,Nasus,1.0,1169,0,no
25,Morgana,1.0,688,0,no
62,MonkeyKing,2.0,2506,0,no
11,MasterYi,6.0,34034,0,no
57,Maokai,2.0,3018,0,no
90,Malzahar,1.0,911,0,no
54,Malphite,1.0,146,0,no
99,Lux,2.0,4928,0,no
117,Lulu,2.0,2554,0,no
127,Lissandra,1.0,366,0,no
64,LeeSin,3.0,8763,0,no
7,Leblanc,3.0,8761,0,no
96,KogMaw,2.0,3971,0,no
203,Kindred,3.0,7956,0,no
121,Khazix,6.0,48772,2,no
85,Kennen,3.0,9663,0,no
141,Kayn,3.0,10033,0,no
10,Kayle,2.0,1894,0,no
55,Katarina,5.0,76055,0,no
30,Karthus,1.0,356,0,no
43,Karma,1.0,1017,0,no
429,Kalista,4.0,14228,0,no
126,Jayce,1.0,134,0,no
24,Jax,1.0,742,0,no
59,JarvanIV,1.0,1471,0,no
40,Janna,2.0,4435,0,no
427,Ivern,1.0,725,0,no
39,Irelia,5.0,22050,0,no
420,Illaoi,1.0,585,0,no
74,Heimerdinger,1.0,158,0,no
120,Hecarim,1.0,1469,0,no
887,Gwen,2.0,2707,0,no
104,Graves,3.0,7957,0,no
79,Gragas,1.0,1292,0,no
150,Gnar,2.0,1969,0,no
86,Garen,2.0,5163,0,no
41,Gangplank,1.0,310,0,no
3,Galio,1.0,885,0,no
105,Fizz,4.0,14199,0,no
114,Fiora,3.0,10896,0,no
9,Fiddlesticks,1.0,1409,0,no
28,Evelynn,2.0,5691,0,no
60,Elise,1.0,267,0,no
245,Ekko,3.0,7882,0,no
119,Draven,1.0,809,0,no
36,DrMundo,1.0,291,0,no
131,Diana,1.0,1614,0,no
122,Darius,5.0,22101,0,no
42,Corki,4.0,14390,0,no
31,Chogath,1.0,1436,0,no
69,Cassiopeia,2.0,2530,0,no
201,Braum,2.0,3090,0,no
63,Brand,3.0,11534,0,no
53,Blitzcrank,4.0,14452,0,no
432,Bard,1.0,540,0,no
268,Azir,1.0,964,0,no
523,Aphelios,3.0,6630,0,no
1,Annie,4.0,13408,0,no
32,Amumu,2.0,3845,0,no
84,Akali,4.0,20872,0,no
266,Aatrox,1.0,126,0,no
