summoner_name,played_with,won_with,played_against,lost_against,date,last_played
Jeeveezee,24.0,9,0,0,9-2-2024 11:21,Swain
ironsuperhulk,3.0,3,0,0,9-2-2024 11:21,Vi
TIARAMENTS BEST,2.0,2,0,0,9-2-2024 11:21,Seraphine
Cpt Captain,2.0,2,0,0,9-2-2024 11:21,Warwick
Calamity King,2.0,2,0,0,9-2-2024 11:21,Mordekaiser
yvan i am,2.0,0,0,0,5-2-2024 13:34,Alistar
Borbland,2.0,0,0,0,5-2-2024 13:34,Teemo
xLeitai,1.0,1,0,0,5-2-2024 13:36,Jinx
tenchiades,1.0,1,0,0,5-2-2024 13:35,Ivern
melaiaOG,1.0,1,0,0,5-2-2024 13:35,Elise
caljune,1.0,1,0,0,5-2-2024 13:35,Zilean
badaf dumbaf,1.0,1,0,0,9-2-2024 11:21,KogMaw
Zaellaa,1.0,1,0,0,5-2-2024 13:35,Taliyah
Woalli,1.0,1,0,0,9-2-2024 11:21,Soraka
Un Bon Gros Pen,1.0,1,0,0,5-2-2024 13:35,Briar
Troy McClure92,1.0,1,0,0,5-2-2024 13:35,Ahri
TournevisBreton,1.0,1,0,0,5-2-2024 13:35,Nami
RicoSenfbrei,1.0,1,0,0,5-2-2024 13:35,Sylas
Pray4Wapipi,1.0,1,0,0,5-2-2024 13:35,Heimerdinger
Norland,1.0,1,0,0,5-2-2024 13:35,Syndra
Mooooi,1.0,1,0,0,5-2-2024 13:36,Ezreal
Mogelmon,1.0,1,0,0,5-2-2024 13:36,Jhin
Mettliebhaber,1.0,1,0,0,5-2-2024 13:35,Yuumi
Lanzmaster,1.0,1,0,0,9-2-2024 11:21,Illaoi
KC NewZ,1.0,1,0,0,9-2-2024 11:21,Briar
IT WILL CUT,1.0,1,0,0,9-2-2024 11:21,Ekko
FBG Juco,1.0,1,0,0,5-2-2024 13:36,Poppy
ExiTium θ,1.0,1,0,0,5-2-2024 13:35,Lucian
Ersinge,1.0,1,0,0,5-2-2024 13:35,Pyke
Decrip,1.0,1,0,0,9-2-2024 11:21,Mordekaiser
De Diggi,1.0,1,0,0,5-2-2024 13:35,Yasuo
CARLOS COQUIN,1.0,1,0,0,5-2-2024 13:35,Lillia
Brοken Wings,1.0,1,0,0,5-2-2024 13:35,Sylas
Blade0fMiquella,1.0,1,0,0,9-2-2024 11:21,KogMaw
xLuper,1.0,0,0,0,5-2-2024 13:35,Nautilus
nitram987789,1.0,0,0,0,5-2-2024 13:35,Urgot
loserhimself,1.0,0,0,0,5-2-2024 13:34,Rumble
cellojq,1.0,0,0,0,5-2-2024 13:35,Teemo
buus6327,1.0,0,0,0,5-2-2024 13:35,TahmKench
barrrbatruc,1.0,0,0,0,5-2-2024 13:35,Ekko
arash  boro boro,1.0,0,0,0,5-2-2024 13:36,Maokai
ar333k,1.0,0,0,0,5-2-2024 13:35,Lucian
andertaiker,1.0,0,0,0,5-2-2024 13:34,Nasus
Zekh9,1.0,0,0,0,5-2-2024 13:34,Zed
Ygrek,1.0,0,0,0,5-2-2024 13:35,Maokai
YOU SPIN MY HEAD,1.0,0,0,0,5-2-2024 13:34,Cassiopeia
Wüsten Willy,1.0,0,0,0,5-2-2024 13:35,Caitlyn
Warrionette,1.0,0,0,0,5-2-2024 13:35,Shaco
TheNice0ne,1.0,0,0,0,5-2-2024 13:35,Leblanc
StalowS,1.0,0,0,0,5-2-2024 13:35,Morgana
Sick traps,1.0,0,0,0,5-2-2024 13:35,Nautilus
Sen10,1.0,0,0,0,5-2-2024 13:34,Akali
ReadyToStrike,1.0,0,0,0,5-2-2024 13:35,Xayah
RandomKeyPresses,1.0,0,0,0,5-2-2024 13:35,Naafiri
PCH82,1.0,0,0,0,5-2-2024 13:36,Khazix
PC Boyo,1.0,0,0,0,5-2-2024 13:35,Zed
Orridyon,1.0,0,0,0,5-2-2024 13:36,Leona
Olympic God,1.0,0,0,0,5-2-2024 13:34,Maokai
Obama Chungus,1.0,0,0,0,5-2-2024 13:35,Akshan
NaruNoc,1.0,0,0,0,5-2-2024 13:35,MissFortune
Maître Brodeur ,1.0,0,0,0,5-2-2024 13:35,Rumble
Mazial,1.0,0,0,0,5-2-2024 13:35,Ashe
Matzê,1.0,0,0,0,5-2-2024 13:35,Vladimir
Magnum Deluxe,1.0,0,0,0,5-2-2024 13:36,Graves
M33W,1.0,0,0,0,5-2-2024 13:35,Rengar
Littlesnuff,1.0,0,0,0,5-2-2024 13:34,Qiyana
LilliasHoofPicks,1.0,0,0,0,5-2-2024 13:35,Nautilus
LeFootballManagr,1.0,0,0,0,5-2-2024 13:35,Graves
KühlesBier,1.0,0,0,0,5-2-2024 13:35,Blitzcrank
Kiturr,1.0,0,0,0,5-2-2024 13:35,Kaisa
Heavenly1,1.0,0,0,0,5-2-2024 13:35,Leblanc
H0wie,1.0,0,0,0,5-2-2024 13:35,Shyvana
Gumaar,1.0,0,0,0,5-2-2024 13:34,Leblanc
GG mufinzL,1.0,0,0,0,5-2-2024 13:34,Lucian
FranWestside,1.0,0,0,0,5-2-2024 13:34,Renekton
