champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,cc_score,winrate
429,Kalista,1.0,1,30,12,28,86598,38961,47637,5,2,1,0,0,11603,27,100
22,Ashe,1.0,1,10,13,28,55701,33868,21833,1,0,0,0,0,5797,66,100
42,Corki,1.0,1,16,15,33,52913,33814,19099,2,0,0,0,0,969,8,100
55,Katarina,1.0,1,13,14,25,29229,27051,2178,2,0,0,0,0,1252,0,100
360,Samira,1.0,1,18,12,14,24179,29251,-5072,3,0,0,0,0,7120,2,100
19,Warwick,1.0,1,26,13,26,44175,61009,-16834,7,1,0,0,0,27971,51,100
777,Yone,2.0,1,31,32,46,50785,38672,12113,4,0,0,0,0,9020,34,50
50,Swain,2.0,1,25,26,82,43225,67568,-24342,2,0,0,0,0,21213,89,50
234,Viego,3.0,1,60,44,77,48933,51911,-2978,14,3,0,0,0,18045,29,33
121,Khazix,2.0,0,20,28,26,21231,26678,-5447,5,0,0,0,0,1597,9,0
157,Yasuo,2.0,0,11,23,22,12269,19479,-7210,2,0,0,0,0,855,21,0
84,Akali,1.0,0,15,21,22,50600,49763,837,3,1,0,0,0,1459,2,0
85,Kennen,1.0,0,10,12,19,23692,25113,-1421,2,0,0,0,0,876,16,0
147,Seraphine,1.0,0,5,11,47,22747,25311,-2564,0,0,0,0,0,4424,50,0
11,MasterYi,1.0,0,11,19,14,47435,50047,-2612,2,0,0,0,0,6794,3,0
61,Orianna,1.0,0,12,15,25,27131,30309,-3178,0,0,0,0,0,252,45,0
202,Jhin,1.0,0,9,12,19,18977,24533,-5556,1,0,0,0,0,1856,22,0
114,Fiora,1.0,0,16,18,19,42570,48372,-5802,2,2,0,0,0,13881,11,0
