champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
50,Swain,1.0,1,0,0,100,1
950,Naafiri,1.0,1,0,0,100,1
902,Milio,1.0,1,0,0,100,1
235,Senna,1.0,1,0,0,100,1
240,Kled,1.0,1,0,0,100,1
67,Vayne,0.0,0,1,1,100,1
876,Lillia,0.0,0,1,1,100,1
10,Kayle,0.0,0,1,1,100,1
222,Jinx,0.0,0,1,1,100,1
64,LeeSin,0.0,0,1,1,100,1
895,Nilah,0.0,0,1,0,0,1
99,Lux,0.0,0,1,0,0,1
22,Ashe,0.0,0,1,0,0,1
122,Darius,0.0,0,1,0,0,1
77,Udyr,0.0,0,1,0,0,1
13,Ryze,1.0,0,0,0,0,1
6,Urgot,1.0,0,0,0,0,1
84,Akali,1.0,0,0,0,0,1
236,Lucian,1.0,0,0,0,0,1
63,Brand,1.0,0,0,0,0,1
