champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
122,Darius,0.0,0,1,1,100,1
40,Janna,0.0,0,1,1,100,1
119,Draven,0.0,0,1,1,100,1
61,Orianna,0.0,0,1,1,100,1
81,Ezreal,1.0,1,0,0,100,1
99,Lux,1.0,1,0,0,100,1
950,Naafiri,1.0,1,0,0,100,1
10,Kayle,1.0,1,0,0,100,1
53,Blitzcrank,0.0,0,2,1,50,2
30,Karthus,2.0,1,0,0,50,2
42,Corki,1.0,0,0,0,0,1
236,Lucian,1.0,0,0,0,0,1
17,Teemo,1.0,0,0,0,0,1
80,Pantheon,1.0,0,0,0,0,1
254,Vi,0.0,0,1,0,0,1
12,Alistar,0.0,0,1,0,0,1
114,Fiora,0.0,0,1,0,0,1
48,Trundle,0.0,0,1,0,0,1
