summoner_name,played_with,won_with,played_against,lost_against,date,last_played
Jeeveezee,2.0,1,0,0,10-2-2024 11:21,Ezreal
º FF 15 º,1.0,1,0,0,10-2-2024 11:21,Kayle
TheRestPower,1.0,1,0,0,10-2-2024 11:21,Karthus
SeLLamaMarlos,1.0,1,0,0,10-2-2024 11:21,Naafiri
Ninkit,1.0,1,0,0,10-2-2024 11:21,Lux
Tidinha Meneghel,1.0,0,0,0,10-2-2024 11:21,Teemo
M53 Gaasperplas,1.0,0,0,0,10-2-2024 11:21,Karthus
Frenkestein,1.0,0,0,0,10-2-2024 11:21,Pantheon
1vs1 m tuoi lol,1.0,0,0,0,10-2-2024 11:21,Lucian
verbuddel dich,0.0,0,1,0,10-2-2024 11:21,Blitzcrank
splissken2,0.0,0,1,1,10-2-2024 11:21,Orianna
nan,0.0,0,1,0,10-2-2024 11:21,Fiora
Son Gohu,0.0,0,1,1,10-2-2024 11:21,Janna
SeraphInsane,0.0,0,1,0,10-2-2024 11:21,Vi
MC Cheessii,0.0,0,1,1,10-2-2024 11:21,Darius
Huskorai,0.0,0,1,0,10-2-2024 11:21,Trundle
Exyther,0.0,0,1,1,10-2-2024 11:21,Draven
BámbusBjörn,0.0,0,1,1,10-2-2024 11:21,Blitzcrank
Aciday,0.0,0,1,0,10-2-2024 11:21,Alistar
