champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate
63,Brand,7.0,7,4,4,100.0
412,Thresh,3.0,3,1,1,100.0
78,Poppy,1.0,1,0,0,100.0
203,Kindred,1.0,1,1,1,100.0
164,Camille,1.0,1,0,0,100.0
127,Lissandra,1.0,1,0,0,100.0
107,Rengar,1.0,1,2,2,100.0
427,Ivern,0.0,0,1,1,100.0
163,Taliyah,0.0,0,1,1,100.0
48,Trundle,0.0,0,1,1,100.0
432,Bard,3.0,3,4,3,85.71
84,Akali,3.0,3,4,3,85.71
111,Nautilus,5.0,5,1,0,83.33
875,Sett,2.0,1,4,4,83.33
59,JarvanIV,9.0,7,2,2,81.82
75,Nasus,3.0,3,2,1,80.0
3,Galio,3.0,2,2,2,80.0
518,Neeko,2.0,2,3,2,80.0
43,Karma,6.0,6,3,1,77.78
2,Olaf,4.0,3,0,0,75.0
268,Azir,1.0,1,3,2,75.0
266,Aatrox,1.0,1,3,2,75.0
29,Twitch,8.0,7,3,1,72.73
117,Lulu,7.0,6,8,4,66.67
14,Sion,6.0,4,3,2,66.67
83,Yorick,2.0,1,1,1,66.67
133,Quinn,2.0,1,1,1,66.67
68,Rumble,1.0,1,2,1,66.67
429,Kalista,1.0,1,2,1,66.67
526,Rell,1.0,0,2,2,66.67
72,Skarner,1.0,0,2,2,66.67
37,Sona,6.0,5,5,2,63.64
51,Caitlyn,9.0,5,7,5,62.5
236,Lucian,6.0,5,2,0,62.5
105,Fizz,3.0,1,5,4,62.5
122,Darius,6.0,4,4,2,60.0
21,MissFortune,4.0,4,6,2,60.0
86,Garen,4.0,3,1,0,60.0
120,Hecarim,4.0,2,1,1,60.0
74,Heimerdinger,3.0,2,2,1,60.0
42,Corki,2.0,2,3,1,60.0
96,KogMaw,2.0,2,3,1,60.0
8,Vladimir,2.0,2,3,1,60.0
11,MasterYi,2.0,1,3,2,60.0
67,Vayne,1.0,1,4,2,60.0
104,Graves,1.0,1,4,2,60.0
101,Xerath,7.0,4,5,3,58.33
99,Lux,8.0,7,6,1,57.14
202,Jhin,6.0,4,8,4,57.14
17,Teemo,4.0,2,3,2,57.14
201,Braum,3.0,2,4,2,57.14
777,Yone,2.0,2,5,2,57.14
222,Jinx,11.0,7,5,2,56.25
54,Malphite,6.0,3,3,2,55.56
