summoner_name,played_with,won_with,played_against,lost_against,last_played
Statik v1,90.0,55,0,0,Gragas
Japsert,83.0,50,0,0,Ornn
ironsuperhulk,17.0,9,0,0,Maokai
ThatsATortoise,7.0,2,0,0,Nidalee
Birdston,3.0,1,0,0,Malzahar
PaladinRYii,2.0,1,0,0,Nami
Ban Dao Tie He,2.0,1,0,0,Elise
Squire Hammsuke,2.0,0,0,0,Lulu
öTenshi,1.0,1,0,0,Renekton
zivko24,1.0,1,0,0,Jinx
zacksoldier01,1.0,1,0,0,Lulu
yGroza,1.0,1,0,0,Sivir
xXBladeNightXx,1.0,1,0,0,Zilean
worsak,1.0,1,0,0,Brand
wiliwonki,1.0,1,0,0,Camille
warzoneymaster,1.0,1,0,0,Khazix
votrixHD,1.0,1,0,0,Ahri
thedeath1023,1.0,1,0,0,Yone
sabernash,1.0,1,0,0,MissFortune
raita,1.0,1,0,0,MissFortune
quadrapiet,1.0,1,0,0,Vayne
pnworld,1.0,1,0,0,Lissandra
ostiaya,1.0,1,0,0,Renekton
moimies,1.0,1,0,0,Veigar
mfalasi,1.0,1,0,0,Nidalee
mallefighter,1.0,1,0,0,MissFortune
lucalebanni,1.0,1,0,0,Caitlyn
killangel,1.0,1,0,0,Caitlyn
kaymos,1.0,1,0,0,DrMundo
igoigo,1.0,1,0,0,Aatrox
huntsman jhin,1.0,1,0,0,Sion
grœnn,1.0,1,0,0,Brand
fujuqu,1.0,1,0,0,Ziggs
flamer girl,1.0,1,0,0,Akali
fiddlë master,1.0,1,0,0,Leblanc
buying all souls,1.0,1,0,0,Brand
boomomat,1.0,1,0,0,Rammus
bIackness,1.0,1,0,0,Ryze
alex975513,1.0,1,0,0,Darius
Zwuni,1.0,1,0,0,Anivia
Zhong Hùi,1.0,1,0,0,Twitch
Yuffiena,1.0,1,0,0,Neeko
Yamaj,1.0,1,0,0,Akali
Xterra,1.0,1,0,0,Annie
Woodkens,1.0,1,0,0,Galio
Windrake,1.0,1,0,0,Rumble
WARAS,1.0,1,0,0,Xerath
W Zevon,1.0,1,0,0,Jinx
Vastaya Rengar,1.0,1,0,0,Lucian
Umbra232,1.0,1,0,0,Kaisa
Tropical Danny,1.0,1,0,0,Lucian
TheQuiiDz,1.0,1,0,0,Senna
ThePilgrim,1.0,1,0,0,Corki
TerrifyingTea,1.0,1,1,0,Varus
Terazo,1.0,1,0,0,Pyke
Taso,1.0,1,0,0,Teemo
Tabbott,1.0,1,0,0,Quinn
TAOIQbee,1.0,1,0,0,Gangplank
Sto0rmy,1.0,1,0,0,Vi
Stephanoski,1.0,1,0,0,Braum
Soup Ðiff,1.0,1,0,0,Kaisa
Silvrios,1.0,1,0,0,Lucian
Shenpìe,1.0,1,0,0,Nidalee
Schweineherbst,1.0,1,0,0,Nasus
Schmiedi8,1.0,1,0,0,Heimerdinger
Scamkruidvat,1.0,1,0,0,Pyke
Saylek,1.0,1,0,0,Pantheon
Sarion,1.0,1,0,0,Sona
Sad Boy Mapfei,1.0,1,0,0,Irelia
Ryůuk,1.0,1,0,0,Neeko
Ryuuke,1.0,1,0,0,Caitlyn
Rubysh,1.0,1,0,0,Ahri
Riviss,1.0,1,1,1,Velkoz
Rex10,1.0,1,0,0,Irelia
ReformedSheuya,1.0,1,0,0,Garen
RandomzM,1.0,1,0,0,Yone
Ragebit,1.0,1,0,0,MasterYi
RKN SPeCiMeN a,1.0,1,0,0,Samira
Priultimus,1.0,1,0,0,Karma
PlagueOfDiamonds,1.0,1,0,0,KogMaw
Piña Gamer 107,1.0,1,0,0,Bard
Peiblenks,1.0,1,0,0,Twitch
Panchoetoe,1.0,1,0,0,LeeSin
PRØJECT Xayah,1.0,1,0,0,Ezreal
NunuOnRengar,1.0,1,0,0,Shaco
NiceSupp,1.0,1,0,0,Blitzcrank
