champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,winrate
117,Lulu,3.0,3,16,23,135,12717,23985,-11268,1,0,0,0,0,12318,100.0
63,Brand,2.0,2,23,25,73,54226,35690,18535,4,0,0,0,0,7316,100.0
43,Karma,2.0,2,10,18,53,23605,25200,-1595,2,0,0,0,0,8691,100.0
8,Vladimir,2.0,2,18,16,55,31760,33525,-1765,0,0,0,0,0,23419,100.0
89,Leona,2.0,2,10,17,64,13141,24785,-11644,1,0,0,0,0,3272,100.0
111,Nautilus,2.0,2,12,24,48,18330,42320,-23990,1,0,0,0,0,3911,100.0
14,Sion,2.0,2,16,23,50,22842,57505,-34663,2,0,0,0,0,6578,100.0
115,Ziggs,1.0,1,12,11,31,59992,38037,21955,1,0,0,0,0,7450,100.0
103,Ahri,1.0,1,7,5,21,28825,14898,13927,1,1,0,0,0,5262,100.0
25,Morgana,1.0,1,12,9,37,46304,34213,12091,3,0,0,0,0,14555,100.0
51,Caitlyn,1.0,1,9,5,24,25011,19726,5285,0,0,0,0,0,6774,100.0
83,Yorick,1.0,1,11,3,16,24657,22180,2477,2,0,0,0,0,12558,100.0
56,Nocturne,1.0,1,11,10,16,22688,21411,1277,2,1,0,0,0,4886,100.0
85,Kennen,1.0,1,3,4,7,6688,7018,-330,0,0,0,0,0,702,100.0
80,Pantheon,1.0,1,10,8,21,31620,39312,-7692,1,1,0,0,0,12569,100.0
120,Hecarim,1.0,1,24,17,35,52806,94630,-41824,2,1,0,0,0,34970,100.0
222,Jinx,5.0,4,61,33,114,40345,24872,15473,11,1,1,0,0,7490,80.0
29,Twitch,4.0,3,58,23,65,24615,18235,6379,12,5,0,0,0,6035,75.0
2,Olaf,4.0,3,55,40,65,33984,42648,-8664,9,2,0,0,0,15420,75.0
59,JarvanIV,6.0,4,67,75,184,28413,45983,-17570,6,1,0,0,0,12069,66.67
4,TwistedFate,3.0,2,14,22,69,29735,22418,7316,1,0,0,0,0,7294,66.67
9,Fiddlesticks,3.0,2,36,38,67,35464,34990,474,6,0,0,0,0,6439,66.67
79,Gragas,5.0,3,66,39,114,40593,36441,4151,10,3,0,0,0,15780,60.0
143,Zyra,2.0,1,34,19,53,50910,28204,22706,8,3,1,0,0,4811,50.0
99,Lux,2.0,1,17,14,59,30009,19314,10695,0,0,0,0,0,2951,50.0
50,Swain,2.0,1,30,21,49,39611,36388,3222,3,1,0,0,0,10833,50.0
34,Anivia,2.0,1,28,20,43,29684,27903,1780,4,0,0,0,0,3972,50.0
24,Jax,2.0,1,28,23,28,29798,34672,-4874,4,1,0,0,0,7625,50.0
31,Chogath,2.0,1,17,13,34,18396,28424,-10028,5,0,0,0,0,3838,50.0
36,DrMundo,2.0,1,27,23,37,26813,47968,-21155,5,4,0,0,0,8093,50.0
101,Xerath,3.0,1,44,21,61,33442,17616,15826,5,1,1,0,0,2697,33.33
12,Alistar,3.0,1,18,38,78,17170,41484,-24313,0,0,0,0,0,10195,33.33
54,Malphite,4.0,1,31,47,51,21846,24641,-2794,3,0,0,0,0,1430,25.0
53,Blitzcrank,2.0,0,13,22,44,18039,33764,-15724,2,0,0,0,0,2154,0.0
33,Rammus,2.0,0,10,38,39,18992,42398,-23406,0,0,0,0,0,2860,0.0
15,Sivir,1.0,0,9,8,16,25549,17600,7949,2,0,0,0,0,4883,0.0
17,Teemo,1.0,0,2,6,6,16568,12762,3806,0,0,0,0,0,2638,0.0
112,Viktor,1.0,0,5,6,5,13673,12517,1156,1,0,0,0,0,1658,0.0
121,Khazix,1.0,0,12,12,12,21882,28002,-6120,3,0,0,0,0,6330,0.0
5,XinZhao,1.0,0,6,15,15,26716,36833,-10117,1,0,0,0,0,8065,0.0
32,Amumu,1.0,0,11,11,9,21669,33834,-12165,1,0,0,0,0,1337,0.0
27,Singed,1.0,0,8,19,41,40660,56818,-16158,2,0,0,0,0,7376,0.0
254,Vi,1.0,0,6,14,30,16882,39643,-22761,0,0,0,0,0,7756,0.0
