champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate
33,Rammus,1.0,1,0,0,100.0
10,Kayle,1.0,1,0,0,100.0
38,Kassadin,1.0,1,1,1,100.0
25,Morgana,1.0,1,0,0,100.0
420,Illaoi,1.0,1,0,0,100.0
63,Brand,1.0,1,0,0,100.0
91,Talon,1.0,1,0,0,100.0
77,Udyr,1.0,1,0,0,100.0
235,Senna,0.0,0,1,1,100.0
72,Skarner,0.0,0,1,1,100.0
238,Zed,0.0,0,1,1,100.0
254,Vi,0.0,0,1,1,100.0
516,Ornn,0.0,0,1,1,100.0
15,Sivir,0.0,0,1,1,100.0
412,Thresh,0.0,0,1,1,100.0
53,Blitzcrank,0.0,0,1,1,100.0
75,Nasus,0.0,0,1,1,100.0
50,Swain,0.0,0,1,1,100.0
59,JarvanIV,0.0,0,1,1,100.0
432,Bard,0.0,0,1,1,100.0
875,Sett,0.0,0,1,1,100.0
110,Varus,0.0,0,1,1,100.0
12,Alistar,0.0,0,2,2,100.0
19,Warwick,0.0,0,1,1,100.0
34,Anivia,0.0,0,1,1,100.0
266,Aatrox,0.0,0,1,1,100.0
526,Rell,0.0,0,1,1,100.0
121,Khazix,0.0,0,1,1,100.0
150,Gnar,0.0,0,1,1,100.0
517,Sylas,0.0,0,1,1,100.0
20,Nunu,0.0,0,1,1,100.0
81,Ezreal,2.0,1,2,2,75.0
360,Samira,1.0,0,2,2,66.67
16,Soraka,2.0,1,0,0,50.0
45,Veigar,2.0,1,2,1,50.0
5,XinZhao,2.0,1,0,0,50.0
222,Jinx,2.0,1,0,0,50.0
164,Camille,2.0,1,0,0,50.0
11,MasterYi,1.0,0,1,1,50.0
83,Yorick,1.0,0,1,1,50.0
114,Fiora,1.0,0,1,1,50.0
777,Yone,0.0,0,2,1,50.0
103,Ahri,3.0,1,0,0,33.33
99,Lux,2.0,0,1,1,33.33
246,Qiyana,3.0,0,1,0,0.0
39,Irelia,2.0,0,0,0,0.0
105,Fizz,1.0,0,1,0,0.0
120,Hecarim,1.0,0,0,0,0.0
111,Nautilus,1.0,0,1,0,0.0
236,Lucian,1.0,0,0,0,0.0
79,Gragas,1.0,0,1,0,0.0
48,Trundle,1.0,0,0,0,0.0
74,Heimerdinger,1.0,0,0,0,0.0
44,Taric,1.0,0,0,0,0.0
82,Mordekaiser,1.0,0,0,0,0.0
141,Kayn,1.0,0,0,0,0.0
43,Karma,1.0,0,0,0,0.0
22,Ashe,1.0,0,0,0,0.0
64,LeeSin,1.0,0,0,0,0.0
86,Garen,1.0,0,0,0,0.0
51,Caitlyn,1.0,0,1,0,0.0
876,Lillia,1.0,0,1,0,0.0
102,Shyvana,0.0,0,1,0,0.0
14,Sion,0.0,0,1,0,0.0
245,Ekko,0.0,0,1,0,0.0
29,Twitch,0.0,0,1,0,0.0
126,Jayce,0.0,0,1,0,0.0
30,Karthus,0.0,0,1,0,0.0
24,Jax,0.0,0,1,0,0.0
