summoner_name,played_with,won_with,played_against,lost_against,last_played
Statik v1,10.0,3,0,0,Jinx
Birdston,6.0,2,0,0,Ahri
Squire Hammsuke,4.0,1,0,0,Ashe
Leeskulka,3.0,1,0,0,Soraka
siXnaYn,1.0,1,0,0,Udyr
paulinegaminge,1.0,1,0,0,Talon
VayilinX,1.0,1,0,0,Morgana
SooooRa,1.0,1,0,0,Kassadin
Sh0rtshanks,1.0,1,0,0,Illaoi
SSO Gin,1.0,1,0,0,Ezreal
Korean Crow,1.0,1,0,0,Camille
Jeapdhh,1.0,1,0,0,Brand
xray14,1.0,0,0,0,Lillia
sherm1nat0r,1.0,0,0,0,Qiyana
red twenty,1.0,0,0,0,Qiyana
masqarx31,1.0,0,0,0,Mordekaiser
lmaoQQ,1.0,0,0,0,Camille
aram1slol,1.0,0,0,0,Fizz
Scry98,1.0,0,0,0,Fiora
Rookie Mistake,1.0,0,0,0,Samira
Pyxel1143,1.0,0,0,0,Kayn
PoopinmyPantsUFF,1.0,0,0,0,Irelia
Magnıfıcant,1.0,0,0,0,Garen
LukasBartels6,1.0,0,0,0,Irelia
Lapmouse,1.0,0,0,0,Qiyana
Kas sai a dyn,1.0,0,0,0,Gragas
Hennack,1.0,0,0,0,LeeSin
GuarDianAge,1.0,0,0,0,Veigar
G2 Rekkles LoL,1.0,0,0,0,Hecarim
BangSquirrel,1.0,0,0,0,MasterYi
Amanosferza,1.0,0,0,0,Trundle
xXEntourageXx,0.0,0,1,0,Sion
vreni,0.0,0,1,1,Kassadin
veri gut person,0.0,0,1,1,Nunu
sihirdalizim,0.0,0,1,0,Jax
koele krab,0.0,0,1,0,Gragas
koele kikker,0.0,0,1,0,Veigar
hope you get it,0.0,0,1,0,Karthus
fiontron,0.0,0,1,0,Caitlyn
dorzttz,0.0,0,1,0,Qiyana
YoshisWorld 2,0.0,0,1,1,Veigar
Vizzzzer,0.0,0,1,1,Ezreal
Toixz,0.0,0,1,1,Gnar
The Wildest Dog,0.0,0,1,1,Yorick
Teeamor ,0.0,0,1,1,Sett
TLG Gwyn00,0.0,0,1,1,Thresh
Supremey,0.0,0,1,1,Fiora
SleepWêll,0.0,0,1,1,Sivir
Simonthebest12,0.0,0,1,0,Shyvana
Samichlaus 1,0.0,0,1,1,MasterYi
Rotaza57,0.0,0,1,1,JarvanIV
RTMacho,0.0,0,1,1,Vi
Prof3t3n,0.0,0,1,1,Samira
PrincessMimii,0.0,0,1,1,Blitzcrank
PineconeMan,0.0,0,1,1,Aatrox
Philler Killer,0.0,0,1,1,Khazix
PeterLustig2,0.0,0,1,1,Nasus
NoFails95,0.0,0,1,1,Yone
Naegron,0.0,0,1,1,Rell
MiIfinator,0.0,0,1,1,Ezreal
MarvoTheShaco,0.0,0,1,1,Varus
Mainlron,0.0,0,1,1,Bard
LeonTheLeviathan,0.0,0,1,0,Lillia
Kowa87,0.0,0,1,1,Zed
KingWasted,0.0,0,1,0,Nautilus
Kata Du Couteαu,0.0,0,1,1,Samira
IvernV9,0.0,0,1,1,Alistar
HornyWeebThresh,0.0,0,1,1,Sylas
Hook0ff,0.0,0,1,0,Fizz
Hairy Norwegian,0.0,0,1,1,Warwick
GreedyLuka,0.0,0,1,0,Yone
FakerJR the real,0.0,0,1,0,Twitch
Eudexia,0.0,0,1,1,Swain
EmiiG,0.0,0,1,1,Lux
DukeBerry,0.0,0,1,1,Skarner
DimanerJ,0.0,0,1,1,Anivia
DeverauxX,0.0,0,1,1,Senna
Delet,0.0,0,1,1,Alistar
COERPAFUN,0.0,0,1,1,Ornn
Big rock boi hah,0.0,0,1,0,Jayce
Art Of Good Game,0.0,0,1,0,Ekko
