champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
902,Milio,17.0,11,11,9,71.43,28.0
48,Trundle,21.0,13,21,16,69.05,42.0
164,Camille,19.0,12,28,19,65.96,47.0
106,Volibear,40.0,29,35,19,64.0,75.0
2,Olaf,15.0,9,21,14,63.89,36.0
98,Shen,31.0,18,32,21,61.9,63.0
427,Ivern,19.0,12,23,14,61.9,42.0
141,Kayn,48.0,27,20,15,61.76,68.0
78,Poppy,39.0,25,21,12,61.67,60.0
420,Illaoi,32.0,22,38,21,61.43,70.0
875,Sett,62.0,42,59,32,61.16,121.0
25,Morgana,96.0,57,97,61,61.14,193.0
202,Jhin,102.0,60,94,56,59.18,196.0
92,Riven,38.0,23,45,26,59.04,83.0
200,Belveth,19.0,11,22,13,58.54,41.0
161,Velkoz,86.0,48,90,55,58.52,176.0
150,Gnar,85.0,54,37,17,58.2,122.0
360,Samira,66.0,40,56,31,58.2,122.0
147,Seraphine,75.0,38,62,41,57.66,137.0
53,Blitzcrank,100.0,60,91,50,57.59,191.0
163,Taliyah,45.0,27,35,19,57.5,80.0
523,Aphelios,47.0,29,35,18,57.32,82.0
234,Viego,60.0,26,68,47,57.03,128.0
6,Urgot,45.0,29,34,16,56.96,79.0
62,MonkeyKing,51.0,31,55,29,56.6,106.0
17,Teemo,80.0,46,75,41,56.13,155.0
888,Renata,44.0,21,38,25,56.1,82.0
134,Syndra,82.0,47,58,31,55.71,140.0
950,Naafiri,1.0,0,8,5,55.56,9.0
31,Chogath,74.0,38,67,40,55.32,141.0
45,Veigar,80.0,47,87,45,55.09,167.0
117,Lulu,61.0,37,57,27,54.24,118.0
122,Darius,43.0,25,75,39,54.24,118.0
12,Alistar,69.0,38,42,22,54.05,111.0
54,Malphite,84.0,44,90,50,54.02,174.0
267,Nami,43.0,23,61,33,53.85,104.0
13,Ryze,44.0,26,60,30,53.85,104.0
27,Singed,44.0,24,34,18,53.85,78.0
412,Thresh,92.0,54,94,46,53.76,186.0
67,Vayne,85.0,45,90,49,53.71,175.0
51,Caitlyn,95.0,53,107,55,53.47,202.0
113,Sejuani,30.0,16,28,15,53.45,58.0
79,Gragas,54.0,31,49,24,53.4,103.0
107,Rengar,29.0,13,46,27,53.33,75.0
240,Kled,18.0,8,12,8,53.33,30.0
876,Lillia,47.0,23,51,29,53.06,98.0
131,Diana,47.0,26,36,18,53.01,83.0
110,Varus,118.0,55,122,72,52.92,240.0
136,AurelionSol,38.0,21,36,18,52.7,74.0
63,Brand,94.0,43,92,55,52.69,186.0
111,Nautilus,67.0,35,64,34,52.67,131.0
238,Zed,65.0,38,68,32,52.63,133.0
26,Zilean,85.0,45,54,28,52.52,139.0
61,Orianna,86.0,49,74,35,52.5,160.0
36,DrMundo,62.0,31,39,22,52.48,101.0
85,Kennen,52.0,28,30,15,52.44,82.0
133,Quinn,60.0,31,43,23,52.43,103.0
497,Rakan,18.0,11,24,11,52.38,42.0
44,Taric,18.0,7,26,16,52.27,44.0
41,Gangplank,58.0,30,80,42,52.17,138.0
157,Yasuo,68.0,31,72,42,52.14,140.0
1,Annie,42.0,21,54,29,52.08,96.0
75,Nasus,61.0,30,60,33,52.07,121.0
55,Katarina,47.0,23,74,40,52.07,121.0
40,Janna,65.0,31,68,38,51.88,133.0
50,Swain,73.0,38,62,32,51.85,135.0
222,Jinx,109.0,58,112,56,51.58,221.0
22,Ashe,106.0,53,119,63,51.56,225.0
39,Irelia,48.0,27,51,24,51.52,99.0
121,Khazix,46.0,22,63,34,51.38,109.0
30,Karthus,57.0,29,58,30,51.3,115.0
432,Bard,54.0,28,52,26,50.94,106.0
14,Sion,55.0,30,57,27,50.89,112.0
154,Zac,33.0,14,36,21,50.72,69.0
