champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,cc_score,winrate
267,Nami,4.0,4,10,25,176,15028,20742,-5714,0,0,0,0,0,10109,49,100
15,Sivir,4.0,4,28,39,113,24035,29847,-5811,0,0,0,0,0,4951,0,100
429,Kalista,3.0,3,32,21,55,17427,17889,-461,4,1,0,0,0,3079,8,100
13,Ryze,2.0,2,22,17,49,37448,32368,5080,2,1,1,0,0,8201,39,100
106,Volibear,2.0,2,15,15,45,14146,36619,-22473,1,0,0,0,0,2643,25,100
67,Vayne,1.0,1,23,12,20,53105,28856,24249,7,2,1,1,0,8435,12,100
164,Camille,1.0,1,6,8,32,21294,21381,-87,1,0,0,0,0,4112,17,100
1,Annie,1.0,1,7,10,38,24513,24875,-362,1,0,0,0,0,2397,25,100
98,Shen,1.0,1,0,0,0,83,736,-653,0,0,0,0,0,32,1,100
523,Aphelios,1.0,1,14,10,23,38507,40112,-1605,0,0,0,0,0,17429,17,100
102,Shyvana,1.0,1,6,10,16,29576,33384,-3808,1,0,0,0,0,2558,1,100
63,Brand,1.0,1,6,14,30,34688,40908,-6220,1,0,0,0,0,4640,48,100
141,Kayn,1.0,1,3,7,21,9277,18697,-9420,0,0,0,0,0,3088,14,100
69,Cassiopeia,1.0,1,9,6,20,25563,36780,-11217,1,0,0,0,0,16418,53,100
517,Sylas,1.0,1,5,10,15,12671,26671,-14000,0,0,0,0,0,4115,19,100
72,Skarner,1.0,1,2,9,16,9343,29597,-20254,0,0,0,0,0,1353,29,100
133,Quinn,6.0,5,88,62,147,34316,31606,2709,11,1,0,0,0,7172,33,83
117,Lulu,6.0,5,17,45,184,8909,17606,-8696,0,0,0,0,0,2895,38,83
222,Jinx,15.0,12,120,116,327,22044,21198,848,14,3,0,0,0,3518,16,80
161,Velkoz,10.0,8,114,73,256,35770,21416,14352,10,3,0,0,0,4680,35,80
86,Garen,5.0,4,41,36,100,20527,41141,-20613,3,0,0,0,0,4549,35,80
68,Rumble,4.0,3,42,36,80,28037,24959,3076,3,2,0,0,0,3075,18,75
497,Rakan,4.0,3,10,21,126,8876,27839,-18963,0,0,0,0,0,5184,33,75
412,Thresh,22.0,16,121,177,847,21122,43942,-22814,6,1,0,0,0,2867,61,72
50,Swain,13.0,9,119,98,394,24320,46274,-21950,15,1,0,0,0,17458,60,69
875,Sett,15.0,10,99,148,381,21257,58113,-36853,7,2,1,0,0,5408,26,66
34,Anivia,9.0,6,90,68,204,25839,26258,-421,8,1,0,0,0,2795,55,66
6,Urgot,9.0,6,79,117,203,26307,46884,-20574,7,0,0,0,0,2777,30,66
90,Malzahar,6.0,4,38,56,139,24466,22500,1965,4,1,0,0,0,2455,71,66
498,Xayah,6.0,4,61,53,129,27931,28198,-266,12,2,0,0,0,5252,16,66
78,Poppy,6.0,4,32,53,160,18752,43895,-25140,2,0,0,0,0,4185,49,66
113,Sejuani,6.0,4,33,50,144,18283,45900,-27615,5,0,0,0,0,3023,39,66
45,Veigar,3.0,2,21,22,67,23298,17476,5822,3,0,0,0,0,2922,42,66
10,Kayle,3.0,2,36,36,71,27519,31771,-4251,6,2,0,0,0,8677,8,66
53,Blitzcrank,27.0,17,141,217,762,16594,42469,-25872,4,0,0,0,0,2750,56,62
134,Syndra,8.0,5,75,73,195,35171,24922,10248,6,2,0,0,0,4251,51,62
51,Caitlyn,13.0,8,113,110,294,29767,25381,4385,11,3,1,0,0,3372,26,61
150,Gnar,41.0,25,301,307,1005,23286,43995,-20701,29,3,0,0,0,4908,33,60
432,Bard,15.0,9,99,78,378,21853,19351,2499,10,2,1,1,0,9123,52,60
14,Sion,15.0,9,82,148,295,17824,57842,-40015,3,0,0,0,0,3829,43,60
37,Sona,5.0,3,11,39,138,7359,18867,-11506,0,0,0,0,0,8191,9,60
26,Zilean,24.0,14,166,137,680,21631,19969,1660,14,1,0,0,0,9375,28,58
147,Seraphine,17.0,10,73,146,585,16071,25853,-9780,2,0,0,0,0,12705,35,58
254,Vi,7.0,4,83,89,229,31662,69327,-37664,9,1,0,0,0,7296,52,57
17,Teemo,9.0,5,70,83,124,19373,21646,-2271,9,0,0,0,0,2410,33,55
32,Amumu,9.0,5,36,99,220,14680,37891,-23208,3,0,0,0,0,2859,46,55
12,Alistar,24.0,13,73,258,862,13014,54039,-41019,4,0,0,0,0,14216,61,54
110,Varus,15.0,8,157,115,347,27588,19562,8021,22,7,1,0,0,3654,30,53
902,Milio,13.0,7,37,81,486,7568,18702,-11132,5,0,0,0,0,9047,19,53
61,Orianna,38.0,20,379,345,1168,29025,24844,4173,46,9,0,0,0,3832,19,52
82,Mordekaiser,20.0,10,214,208,431,28549,41785,-13231,38,3,0,0,0,10158,22,50
54,Malphite,20.0,10,163,186,436,19689,42018,-22323,21,1,0,0,0,3197,26,50
223,TahmKench,20.0,10,107,163,433,17695,50340,-32640,7,0,0,0,0,13485,27,50
516,Ornn,16.0,8,107,124,396,18510,47039,-28526,12,1,0,0,0,3623,52,50
166,Akshan,14.0,7,149,145,271,31525,27625,3895,15,4,0,0,0,5185,0,50
163,Taliyah,12.0,6,131,112,341,32170,26648,5520,15,2,0,0,0,4588,42,50
221,Zeri,12.0,6,116,117,256,29853,27565,2285,17,6,0,0,0,4592,1,50
59,JarvanIV,12.0,6,70,129,433,16843,47522,-30676,6,0,0,0,0,3575,37,50
85,Kennen,10.0,5,91,84,184,27176,22741,4432,14,4,0,0,0,1942,23,50
350,Yuumi,6.0,3,27,30,206,17039,14592,2445,1,0,0,0,0,8732,17,50
112,Viktor,6.0,3,40,43,108,20064,18528,1536,6,1,0,0,0,2729,26,50
145,Kaisa,6.0,3,73,63,92,26451,26122,329,14,3,2,0,0,2806,0,50
79,Gragas,6.0,3,35,51,163,19973,41978,-22003,3,0,0,0,0,11340,40,50
3,Galio,4.0,2,22,29,85,13606,28795,-15188,3,0,0,0,0,2863,55,50
427,Ivern,4.0,2,11,34,125,8438,25186,-16747,0,0,0,0,0,6004,48,50
240,Kled,4.0,2,29,40,97,17004,57747,-40742,3,0,0,0,0,6049,4,50
127,Lissandra,2.0,1,37,28,48,48655,36686,11969,7,4,0,0,0,4164,73,50
119,Draven,2.0,1,20,19,44,31811,24904,6907,3,0,0,0,0,5249,12,50
92,Riven,2.0,1,16,25,33,18920,27497,-8577,3,0,0,0,0,4564,24,50
8,Vladimir,2.0,1,12,22,48,28444,46165,-17721,1,0,0,0,0,24801,6,50
57,Maokai,2.0,1,13,22,57,20513,39308,-18794,0,0,0,0,0,8362,86,50
19,Warwick,2.0,1,15,24,32,14128,41297,-27169,2,0,0,0,0,12022,28,50
27,Singed,2.0,1,6,28,68,20350,53148,-32797,0,0,0,0,0,4844,74,50
526,Rell,2.0,1,7,32,111,19798,64545,-44747,1,0,0,0,0,2988,78,50
555,Pyke,31.0,15,483,262,542,21811,27922,-6102,103,39,9,3,0,8474,30,48
42,Corki,23.0,11,137,214,503,23049,20679,2364,21,4,1,0,0,2868,0,47
711,Vex,15.0,7,111,103,265,22331,17378,4948,13,2,0,0,0,2595,30,46
235,Senna,27.0,12,284,277,834,31064,27743,3317,47,9,2,1,0,9541,25,44
888,Renata,23.0,10,101,211,848,14704,29300,-14591,4,1,0,0,0,2265,25,43
16,Soraka,16.0,7,43,101,609,8983,22805,-13817,3,0,0,0,0,26807,48,43
99,Lux,21.0,9,152,181,634,20580,20661,-77,10,1,0,0,0,2939,52,42
142,Zoe,7.0,3,78,63,155,35446,27191,8255,12,1,0,0,0,6448,34,42
29,Twitch,7.0,3,87,82,138,29228,29039,189,17,4,1,1,0,4501,7,42
91,Talon,7.0,3,67,81,132,26672,28927,-2252,9,1,0,0,0,2096,5,42
202,Jhin,29.0,12,302,203,556,23619,24017,-391,44,3,2,1,0,6708,22,41
518,Neeko,12.0,5,124,105,232,26144,23460,2681,19,6,0,0,0,2466,45,41
