champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,cc_score,winrate
57,Maokai,1.0,1,6,4,7,41038,12189,28849,1,0,0,0,0,4080,64,100
31,Chogath,1.0,1,3,5,8,14506,37498,-22992,0,0,0,0,0,5674,78,100
36,DrMundo,1.0,1,5,5,8,24753,51419,-26666,0,0,0,0,0,13421,12,100
50,Swain,19.0,13,112,99,125,37848,58095,-20243,9,0,0,0,0,27254,87,68
518,Neeko,3.0,2,13,18,12,35993,24910,11083,1,0,0,0,0,3416,56,66
81,Ezreal,3.0,2,17,13,13,27705,20044,7661,2,0,0,0,0,5560,0,66
82,Mordekaiser,3.0,2,14,17,17,23130,35180,-12050,1,0,0,0,0,10207,33,66
427,Ivern,4.0,2,15,19,30,13362,20360,-6998,0,0,0,0,0,2491,56,50
141,Kayn,2.0,1,10,10,8,27814,30634,-2820,2,0,0,0,0,8689,17,50
89,Leona,2.0,1,8,9,20,12318,30191,-17873,0,0,0,0,0,11076,70,50
6,Urgot,12.0,5,67,58,54,26479,33012,-6531,6,0,0,0,0,6815,27,41
875,Sett,20.0,8,104,103,114,25937,35412,-9470,4,0,0,0,0,6849,33,40
143,Zyra,3.0,1,16,15,20,30592,15818,14773,2,0,0,0,0,2069,50,33
150,Gnar,1.0,0,3,5,1,20261,19427,834,0,0,0,0,0,2431,21,0
200,Belveth,1.0,0,2,7,4,16646,20995,-4349,0,0,0,0,0,5422,11,0
350,Yuumi,1.0,0,0,7,0,4986,9836,-4850,0,0,0,0,0,2439,13,0
127,Lissandra,1.0,0,0,6,4,10047,15774,-5727,0,0,0,0,0,1916,30,0
950,Naafiri,1.0,0,1,7,4,10170,16132,-5962,0,0,0,0,0,1632,0,0
154,Zac,1.0,0,1,7,0,15405,34280,-18875,0,0,0,0,0,20679,39,0
12,Alistar,1.0,0,3,5,5,7222,44748,-37526,0,0,0,0,0,24289,77,0
