champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,winrate,cc_score
432,Bard,3.0,3,12,18,60,15897,23802,-7905,0,0,0,0,0,9149,100,61
235,Senna,2.0,2,17,7,29,16778,14682,2096,2,2,0,0,0,9976,100,0
72,Skarner,1.0,1,7,5,16,17819,18906,-1087,2,0,0,0,0,3753,100,59
78,Poppy,30.0,22,189,161,446,18911,26523,-7604,27,6,0,0,0,7204,73,34
254,Vi,7.0,5,33,49,86,16513,23115,-6600,3,2,0,0,0,5693,71,23
141,Kayn,13.0,7,73,91,152,17473,32908,-15432,11,3,1,0,0,13511,53,21
82,Mordekaiser,2.0,1,7,9,5,8398,13002,-4604,0,0,0,0,0,3079,50,10
20,Nunu,2.0,1,6,10,24,11859,18505,-6646,0,0,0,0,0,6795,50,15
6,Urgot,2.0,1,3,11,14,6684,14126,-7442,0,0,0,0,0,1226,50,18
526,Rell,2.0,1,4,8,30,6687,21444,-14756,0,0,0,0,0,5430,50,38
50,Swain,17.0,8,95,100,255,22088,31027,-8935,10,0,0,0,0,11348,47,43
79,Gragas,3.0,1,10,22,25,15767,32387,-16620,0,0,0,0,0,11262,33,12
518,Neeko,1.0,0,8,9,7,19112,18655,457,2,0,0,0,0,1162,0,47
875,Sett,1.0,0,4,4,6,11369,14057,-2688,1,0,0,0,0,1099,0,17
53,Blitzcrank,1.0,0,3,8,17,15327,24573,-9246,0,0,0,0,0,3984,0,32
31,Chogath,1.0,0,4,8,6,18490,31379,-12889,0,0,0,0,0,2701,0,95
150,Gnar,1.0,0,3,8,13,16840,30508,-13668,0,0,0,0,0,5329,0,29
25,Morgana,1.0,0,0,11,18,9666,31204,-21538,0,0,0,0,0,9049,0,0
