champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
85,Kennen,0.0,0,2,2,100,2
37,Sona,0.0,0,2,2,100,2
126,Jayce,1.0,1,1,1,100,2
68,Rumble,1.0,1,1,1,100,2
33,Rammus,2.0,2,0,0,100,2
44,Taric,2.0,2,0,0,100,2
13,Ryze,1.0,1,0,0,100,1
42,Corki,0.0,0,1,1,100,1
201,Braum,0.0,0,1,1,100,1
240,Kled,1.0,1,0,0,100,1
127,Lissandra,0.0,0,1,1,100,1
28,Evelynn,0.0,0,1,1,100,1
526,Rell,1.0,1,0,0,100,1
29,Twitch,2.0,2,8,6,80,10
133,Quinn,2.0,2,3,2,80,5
41,Gangplank,2.0,1,3,3,80,5
74,Heimerdinger,3.0,3,2,1,80,5
10,Kayle,3.0,2,2,2,80,5
136,AurelionSol,0.0,0,5,4,80,5
121,Khazix,2.0,2,7,5,77,9
517,Sylas,4.0,4,9,6,76,13
54,Malphite,13.0,10,11,8,75,24
31,Chogath,2.0,2,2,1,75,4
203,Kindred,1.0,1,3,2,75,4
26,Zilean,2.0,2,2,1,75,4
32,Amumu,0.0,0,4,3,75,4
4,TwistedFate,3.0,2,1,1,75,4
34,Anivia,2.0,2,2,1,75,4
67,Vayne,5.0,4,5,3,70,10
11,MasterYi,4.0,3,8,5,66,12
895,Nilah,1.0,0,8,6,66,9
82,Mordekaiser,2.0,2,4,2,66,6
27,Singed,0.0,0,6,4,66,6
89,Leona,1.0,1,5,3,66,6
90,Malzahar,6.0,4,0,0,66,6
15,Sivir,3.0,2,0,0,66,3
104,Graves,1.0,1,2,1,66,3
102,Shyvana,1.0,0,2,2,66,3
163,Taliyah,1.0,1,2,1,66,3
200,Belveth,2.0,2,1,0,66,3
497,Rakan,2.0,2,1,0,66,3
112,Viktor,2.0,2,1,0,66,3
79,Gragas,2.0,1,1,1,66,3
711,Vex,0.0,0,3,2,66,3
86,Garen,16.0,13,10,4,65,26
875,Sett,5.0,4,9,5,64,14
236,Lucian,11.0,7,5,3,62,16
19,Warwick,4.0,3,12,7,62,16
25,Morgana,5.0,2,10,7,60,15
45,Veigar,6.0,3,4,3,60,10
98,Shen,4.0,3,6,3,60,10
14,Sion,6.0,4,4,2,60,10
103,Ahri,2.0,2,3,1,60,5
105,Fizz,5.0,3,0,0,60,5
246,Qiyana,4.0,2,1,1,60,5
101,Xerath,4.0,3,1,0,60,5
147,Seraphine,2.0,2,3,1,60,5
77,Udyr,2.0,1,3,2,60,5
245,Ekko,3.0,1,9,6,58,12
238,Zed,4.0,3,8,4,58,12
131,Diana,4.0,3,8,4,58,12
50,Swain,4.0,1,8,6,58,12
81,Ezreal,14.0,9,7,3,57,21
350,Yuumi,18.0,11,3,1,57,21
21,MissFortune,5.0,3,9,5,57,14
110,Varus,4.0,3,3,1,57,7
78,Poppy,4.0,2,3,2,57,7
92,Riven,4.0,2,3,2,57,7
62,MonkeyKing,7.0,3,2,2,55,9
141,Kayn,2.0,0,7,5,55,9
518,Neeko,3.0,2,6,3,55,9
43,Karma,4.0,4,5,1,55,9
145,Kaisa,3.0,1,6,4,55,9
80,Pantheon,6.0,3,9,5,53,15
157,Yasuo,19.0,11,20,9,51,39
777,Yone,16.0,6,10,7,50,26
84,Akali,4.0,2,14,7,50,18
432,Bard,12.0,6,2,1,50,14
63,Brand,3.0,1,9,5,50,12
53,Blitzcrank,4.0,2,6,3,50,10
223,TahmKench,4.0,3,4,1,50,8
48,Trundle,2.0,1,6,3,50,8
9,Fiddlesticks,0.0,0,6,3,50,6
429,Kalista,2.0,2,2,0,50,4
58,Renekton,2.0,1,2,1,50,4
166,Akshan,3.0,2,1,0,50,4
83,Yorick,1.0,0,1,1,50,2
72,Skarner,0.0,0,2,1,50,2
1,Annie,1.0,0,1,1,50,2
38,Kassadin,2.0,1,0,0,50,2
142,Zoe,0.0,0,2,1,50,2
30,Karthus,1.0,1,1,0,50,2
61,Orianna,1.0,0,1,1,50,2
3,Galio,1.0,1,1,0,50,2
76,Nidalee,1.0,1,1,0,50,2
57,Maokai,1.0,0,1,1,50,2
254,Vi,80.0,41,6,1,48,86
555,Pyke,8.0,5,9,3,47,17
107,Rengar,7.0,2,4,3,45,11
7,Leblanc,8.0,4,6,2,42,14
75,Nasus,2.0,2,5,1,42,7
117,Lulu,4.0,1,3,2,42,7
55,Katarina,7.0,2,13,6,40,20
235,Senna,6.0,2,9,4,40,15
120,Hecarim,2.0,2,3,0,40,5
267,Nami,3.0,1,2,1,40,5
2,Olaf,3.0,2,2,0,40,5
16,Soraka,2.0,1,3,1,40,5
12,Alistar,0.0,0,5,2,40,5
96,KogMaw,3.0,2,2,0,40,5
154,Zac,1.0,1,4,1,40,5
35,Shaco,8.0,4,15,5,39,23
36,DrMundo,5.0,3,8,2,38,13
17,Teemo,14.0,6,2,0,37,16
23,Tryndamere,4.0,2,4,1,37,8
360,Samira,4.0,1,4,2,37,8
18,Tristana,4.0,1,7,3,36,11
99,Lux,8.0,5,9,1,35,17
39,Irelia,7.0,2,7,3,35,14
234,Viego,7.0,4,7,1,35,14
202,Jhin,8.0,2,10,4,33,18
412,Thresh,7.0,3,5,1,33,12
122,Darius,4.0,1,8,3,33,12
143,Zyra,3.0,1,6,2,33,9
106,Volibear,3.0,1,6,2,33,9
59,JarvanIV,1.0,0,2,1,33,3
5,XinZhao,1.0,1,2,0,33,3
69,Cassiopeia,0.0,0,3,1,33,3
56,Nocturne,2.0,0,1,1,33,3
114,Fiora,2.0,1,1,0,33,3
22,Ashe,10.0,4,6,1,31,16
91,Talon,6.0,2,4,1,30,10
51,Caitlyn,8.0,2,6,2,28,14
887,Gwen,5.0,1,2,1,28,7
64,LeeSin,5.0,1,3,1,25,8
516,Ornn,3.0,0,1,1,25,4
111,Nautilus,2.0,1,2,0,25,4
161,Velkoz,2.0,1,2,0,25,4
115,Ziggs,2.0,1,2,0,25,4
888,Renata,4.0,1,0,0,25,4
6,Urgot,3.0,0,2,1,20,5
221,Zeri,1.0,0,4,1,20,5
222,Jinx,0.0,0,6,1,16,6
266,Aatrox,3.0,1,3,0,16,6
876,Lillia,5.0,1,5,0,10,10
20,Nunu,2.0,0,3,0,0,5
268,Azir,2.0,0,2,0,0,4
164,Camille,3.0,0,0,0,0,3
523,Aphelios,0.0,0,3,0,0,3
40,Janna,3.0,0,0,0,0,3
8,Vladimir,0.0,0,2,0,0,2
134,Syndra,2.0,0,0,0,0,2
119,Draven,1.0,0,1,0,0,2
24,Jax,0.0,0,2,0,0,2
150,Gnar,0.0,0,2,0,0,2
420,Illaoi,1.0,0,0,0,0,1
