champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,cc_score,winrate
163,Taliyah,1.0,1,5,6,17,33902,31840,2062,0,0,0,0,0,6358,44,100
555,Pyke,1.0,1,12,6,10,20100,19328,772,1,0,0,0,0,5055,34,100
166,Akshan,1.0,1,5,2,6,12960,12501,459,0,0,0,0,0,4227,10,100
53,Blitzcrank,1.0,1,0,5,15,6791,11102,-4311,0,0,0,0,0,265,30,100
19,Warwick,1.0,1,7,2,3,10932,20917,-9985,1,1,0,0,0,11799,11,100
133,Quinn,1.0,1,3,6,3,8938,21594,-12656,0,0,0,0,0,5563,19,100
45,Veigar,1.0,1,6,9,16,13088,26970,-13882,2,0,0,0,0,10932,35,100
111,Nautilus,1.0,1,2,13,25,16455,44094,-27639,0,0,0,0,0,3221,81,100
350,Yuumi,7.0,6,11,22,171,8480,10734,-2252,1,0,0,0,0,13255,18,85
22,Ashe,4.0,3,16,19,66,15848,13551,2296,1,0,0,0,0,1677,42,75
432,Bard,11.0,6,22,40,118,7553,14782,-7226,0,0,0,0,0,5099,34,54
254,Vi,80.0,41,557,490,700,20703,28545,-7817,37,1,0,0,0,10088,19,51
17,Teemo,2.0,1,23,13,11,24844,20276,4568,3,0,0,0,0,2600,28,50
54,Malphite,2.0,1,3,7,6,8172,10652,-2480,0,0,0,0,0,1369,21,50
267,Nami,2.0,1,0,16,48,11182,23256,-12074,0,0,0,0,0,6561,55,50
20,Nunu,2.0,0,22,18,22,29632,51056,-21424,0,0,0,0,0,22843,33,0
18,Tristana,1.0,0,9,5,6,17178,17357,-179,1,0,0,0,0,2457,11,0
90,Malzahar,1.0,0,0,7,1,2950,12742,-9792,0,0,0,0,0,1797,14,0
48,Trundle,1.0,0,2,1,3,5738,18823,-13085,0,0,0,0,0,9973,15,0
234,Viego,1.0,0,4,7,8,11407,26104,-14697,0,0,0,0,0,8388,10,0
235,Senna,1.0,0,0,10,6,5577,20296,-14719,0,0,0,0,0,3564,15,0
86,Garen,1.0,0,2,6,9,9727,26029,-16302,0,0,0,0,0,2912,16,0
91,Talon,1.0,0,1,5,7,16554,39769,-23215,0,0,0,0,0,18053,4,0
420,Illaoi,1.0,0,5,11,24,32988,77691,-44703,0,0,0,0,0,18501,15,0
