champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
103,Ahri,0.0,0,4,4,100,4
53,Blitzcrank,3.0,3,1,1,100,4
143,Zyra,1.0,1,2,2,100,3
5,XinZhao,1.0,1,2,2,100,3
114,Fiora,2.0,2,1,1,100,3
117,Lulu,0.0,0,3,3,100,3
222,Jinx,2.0,2,1,1,100,3
235,Senna,2.0,2,1,1,100,3
22,Ashe,0.0,0,2,2,100,2
106,Volibear,1.0,1,1,1,100,2
201,Braum,2.0,2,0,0,100,2
25,Morgana,2.0,2,0,0,100,2
102,Shyvana,1.0,1,1,1,100,2
30,Karthus,1.0,1,1,1,100,2
154,Zac,0.0,0,2,2,100,2
420,Illaoi,2.0,2,0,0,100,2
266,Aatrox,0.0,0,1,1,100,1
497,Rakan,0.0,0,1,1,100,1
141,Kayn,0.0,0,1,1,100,1
516,Ornn,0.0,0,1,1,100,1
32,Amumu,0.0,0,1,1,100,1
39,Irelia,1.0,1,0,0,100,1
61,Orianna,1.0,1,0,0,100,1
268,Azir,1.0,1,0,0,100,1
163,Taliyah,0.0,0,1,1,100,1
147,Seraphine,0.0,0,1,1,100,1
14,Sion,1.0,1,0,0,100,1
74,Heimerdinger,0.0,0,1,1,100,1
164,Camille,0.0,0,1,1,100,1
127,Lissandra,0.0,0,1,1,100,1
412,Thresh,1.0,1,0,0,100,1
145,Kaisa,3.0,3,1,0,75,4
115,Ziggs,2.0,2,2,1,75,4
63,Brand,0.0,0,4,3,75,4
81,Ezreal,5.0,3,1,1,66,6
75,Nasus,3.0,2,3,2,66,6
99,Lux,4.0,3,2,1,66,6
517,Sylas,1.0,1,2,1,66,3
15,Sivir,2.0,1,1,1,66,3
29,Twitch,3.0,2,0,0,66,3
51,Caitlyn,1.0,1,2,1,66,3
360,Samira,1.0,1,2,1,66,3
41,Gangplank,2.0,1,1,1,66,3
50,Swain,3.0,2,0,0,66,3
24,Jax,2.0,1,1,1,66,3
11,MasterYi,2.0,2,1,0,66,3
104,Graves,3.0,2,2,1,60,5
236,Lucian,0.0,0,5,3,60,5
254,Vi,3.0,2,2,1,60,5
86,Garen,3.0,2,4,2,57,7
7,Leblanc,5.0,2,1,1,50,6
85,Kennen,4.0,2,0,0,50,4
17,Teemo,0.0,0,4,2,50,4
45,Veigar,2.0,1,2,1,50,4
221,Zeri,1.0,0,3,2,50,4
31,Chogath,3.0,2,1,0,50,4
18,Tristana,3.0,2,1,0,50,4
267,Nami,1.0,1,1,0,50,2
105,Fizz,0.0,0,2,1,50,2
10,Kayle,1.0,0,1,1,50,2
21,MissFortune,1.0,1,1,0,50,2
4,TwistedFate,1.0,0,1,1,50,2
9,Fiddlesticks,0.0,0,2,1,50,2
122,Darius,2.0,1,0,0,50,2
134,Syndra,1.0,1,1,0,50,2
777,Yone,2.0,1,0,0,50,2
16,Soraka,2.0,1,0,0,50,2
78,Poppy,1.0,0,1,1,50,2
111,Nautilus,1.0,0,1,1,50,2
119,Draven,1.0,1,1,0,50,2
40,Janna,0.0,0,2,1,50,2
69,Cassiopeia,1.0,0,1,1,50,2
90,Malzahar,2.0,1,0,0,50,2
13,Ryze,1.0,0,1,1,50,2
498,Xayah,1.0,0,1,1,50,2
76,Nidalee,5.0,3,2,0,42,7
245,Ekko,5.0,3,2,0,42,7
64,LeeSin,3.0,2,7,2,40,10
59,JarvanIV,2.0,1,3,1,40,5
432,Bard,3.0,2,2,0,40,5
121,Khazix,2.0,0,3,2,40,5
54,Malphite,0.0,0,5,2,40,5
79,Gragas,2.0,0,3,2,40,5
92,Riven,3.0,1,2,1,40,5
82,Mordekaiser,3.0,2,2,0,40,5
112,Viktor,1.0,0,2,1,33,3
55,Katarina,2.0,0,1,1,33,3
38,Kassadin,0.0,0,3,1,33,3
518,Neeko,0.0,0,3,1,33,3
42,Corki,1.0,0,2,1,33,3
37,Sona,1.0,0,2,1,33,3
555,Pyke,2.0,1,1,0,33,3
131,Diana,2.0,1,3,0,20,5
202,Jhin,5.0,1,0,0,20,5
110,Varus,2.0,0,2,0,0,4
203,Kindred,2.0,0,2,0,0,4
161,Velkoz,0.0,0,3,0,0,3
84,Akali,2.0,0,1,0,0,3
35,Shaco,3.0,0,0,0,0,3
887,Gwen,1.0,0,2,0,0,3
67,Vayne,2.0,0,1,0,0,3
12,Alistar,0.0,0,2,0,0,2
19,Warwick,1.0,0,1,0,0,2
246,Qiyana,1.0,0,1,0,0,2
62,MonkeyKing,0.0,0,2,0,0,2
26,Zilean,0.0,0,2,0,0,2
2,Olaf,1.0,0,1,0,0,2
43,Karma,2.0,0,0,0,0,2
1,Annie,2.0,0,0,0,0,2
80,Pantheon,2.0,0,0,0,0,2
58,Renekton,1.0,0,0,0,0,1
89,Leona,1.0,0,0,0,0,1
98,Shen,0.0,0,1,0,0,1
429,Kalista,0.0,0,1,0,0,1
33,Rammus,0.0,0,1,0,0,1
157,Yasuo,0.0,0,1,0,0,1
113,Sejuani,0.0,0,1,0,0,1
8,Vladimir,0.0,0,1,0,0,1
142,Zoe,1.0,0,0,0,0,1
126,Jayce,1.0,0,0,0,0,1
223,TahmKench,1.0,0,0,0,0,1
44,Taric,0.0,0,1,0,0,1
91,Talon,1.0,0,0,0,0,1
83,Yorick,1.0,0,0,0,0,1
48,Trundle,0.0,0,1,0,0,1
150,Gnar,0.0,0,1,0,0,1
60,Elise,0.0,0,1,0,0,1
