champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,cc_score,winrate
81,Ezreal,2.0,2,11,9,21,13592,11447,2145,1,0,0,0,0,864,1,100
61,Orianna,1.0,1,27,8,27,57018,32037,24981,5,1,0,0,0,5955,35,100
53,Blitzcrank,1.0,1,3,3,17,11976,7069,4907,0,0,0,0,0,697,27,100
115,Ziggs,1.0,1,3,7,11,23389,18546,4843,0,0,0,0,0,3052,17,100
51,Caitlyn,1.0,1,5,10,16,20468,16895,3573,1,0,0,0,0,1633,15,100
145,Kaisa,1.0,1,5,6,8,18776,18402,374,0,0,0,0,0,1261,0,100
432,Bard,1.0,1,6,3,4,7513,7794,-281,0,0,0,0,0,1485,18,100
143,Zyra,1.0,1,3,7,7,13634,15611,-1977,0,0,0,0,0,2363,23,100
102,Shyvana,1.0,1,4,8,2,13592,16005,-2413,0,0,0,0,0,1120,0,100
25,Morgana,1.0,1,4,4,13,15711,21127,-5416,1,0,0,0,0,6234,55,100
201,Braum,1.0,1,2,7,16,8177,17893,-9716,0,0,0,0,0,1204,29,100
75,Nasus,1.0,1,19,7,3,40753,51189,-10436,3,0,0,0,0,8311,22,100
50,Swain,1.0,1,7,10,26,40997,53490,-12493,0,0,0,0,0,13283,67,100
18,Tristana,1.0,1,3,6,11,6378,23755,-17377,0,0,0,0,0,1286,3,100
777,Yone,1.0,1,1,10,4,8909,28038,-19129,0,0,0,0,0,3911,17,100
99,Lux,3.0,2,14,16,24,13969,14079,-110,1,0,0,0,0,869,46,66
43,Karma,2.0,0,7,20,11,18704,22992,-4288,1,0,0,0,0,1543,19,0
35,Shaco,2.0,0,21,18,19,14950,21551,-6601,1,1,0,0,0,1279,24,0
202,Jhin,2.0,0,12,23,24,11429,22291,-10861,1,0,0,0,0,3436,18,0
80,Pantheon,2.0,0,9,26,14,11196,22409,-11213,0,0,0,0,0,963,15,0
110,Varus,1.0,0,7,8,12,18247,15084,3163,1,0,0,0,0,1352,16,0
142,Zoe,1.0,0,2,11,5,14621,15976,-1355,0,0,0,0,0,633,32,0
90,Malzahar,1.0,0,5,13,22,36884,47337,-10453,0,0,0,0,0,7253,97,0
29,Twitch,1.0,0,6,14,10,16408,28127,-11719,0,0,0,0,0,939,1,0
1,Annie,1.0,0,4,8,9,14436,27212,-12776,0,0,0,0,0,2516,22,0
4,TwistedFate,1.0,0,3,11,11,9088,22385,-13297,0,0,0,0,0,1462,23,0
83,Yorick,1.0,0,0,9,1,5141,18717,-13576,0,0,0,0,0,1695,4,0
223,TahmKench,1.0,0,4,11,6,18348,43079,-24731,0,0,0,0,0,6990,34,0
