champion_id,champion_name,champion_level,champion_points,tokens_earned,chest_granted
142,Zoe,5.0,30466,0,yes
350,Yuumi,5.0,22009,0,yes
101,Xerath,5.0,22555,0,yes
106,Volibear,4.0,12838,0,yes
112,Viktor,3.0,10644,0,yes
254,Vi,5.0,51585,1,yes
110,Varus,4.0,19113,0,yes
29,Twitch,4.0,14910,0,yes
4,TwistedFate,5.0,24731,0,yes
412,Thresh,5.0,47809,1,yes
17,Teemo,5.0,59956,0,yes
517,Sylas,3.0,11521,0,yes
37,Sona,4.0,16064,0,yes
875,Sett,5.0,31634,0,yes
235,Senna,5.0,28165,0,yes
68,Rumble,3.0,6265,0,yes
526,Rell,2.0,3165,0,yes
497,Rakan,7.0,42310,0,yes
133,Quinn,4.0,16536,0,yes
555,Pyke,7.0,61364,0,yes
516,Ornn,4.0,19668,0,yes
25,Morgana,5.0,32007,0,yes
90,Malzahar,3.0,11719,0,yes
236,Lucian,5.0,27117,0,yes
7,Leblanc,5.0,27887,0,yes
145,Kaisa,4.0,19185,0,yes
222,Jinx,3.0,7428,0,yes
202,Jhin,5.0,68994,0,yes
427,Ivern,5.0,40054,0,yes
150,Gnar,3.0,7295,0,yes
41,Gangplank,5.0,25107,0,yes
3,Galio,5.0,25941,0,yes
36,DrMundo,5.0,49406,0,yes
432,Bard,7.0,75882,0,yes
523,Aphelios,2.0,5492,0,yes
32,Amumu,3.0,9772,0,yes
166,Akshan,2.0,2440,0,yes
143,Zyra,4.0,15805,0,no
26,Zilean,5.0,43748,1,no
115,Ziggs,4.0,19551,0,no
238,Zed,3.0,6898,0,no
154,Zac,3.0,6318,0,no
83,Yorick,3.0,8716,0,no
777,Yone,2.0,1853,0,no
157,Yasuo,3.0,12576,0,no
5,XinZhao,1.0,1116,0,no
498,Xayah,4.0,18114,0,no
19,Warwick,3.0,8896,0,no
8,Vladimir,3.0,11137,0,no
234,Viego,2.0,2427,0,no
161,Velkoz,5.0,28917,0,no
45,Veigar,5.0,42171,0,no
67,Vayne,3.0,10843,0,no
6,Urgot,2.0,5691,0,no
77,Udyr,1.0,1081,0,no
23,Tryndamere,2.0,5340,0,no
48,Trundle,3.0,11660,0,no
18,Tristana,3.0,8642,0,no
44,Taric,5.0,35490,1,no
91,Talon,2.0,4016,0,no
163,Taliyah,4.0,20101,0,no
223,TahmKench,7.0,84308,0,no
134,Syndra,4.0,20460,0,no
50,Swain,4.0,15190,0,no
16,Soraka,5.0,22360,0,no
72,Skarner,2.0,2471,0,no
15,Sivir,3.0,9824,0,no
14,Sion,4.0,13827,0,no
27,Singed,4.0,15704,0,no
102,Shyvana,2.0,2741,0,no
98,Shen,3.0,6339,0,no
35,Shaco,5.0,22974,0,no
147,Seraphine,2.0,5900,0,no
113,Sejuani,5.0,32807,0,no
360,Samira,2.0,4484,0,no
13,Ryze,5.0,27583,0,no
92,Riven,1.0,378,0,no
107,Rengar,3.0,7929,0,no
58,Renekton,1.0,139,0,no
421,RekSai,1.0,422,0,no
33,Rammus,3.0,7074,0,no
246,Qiyana,2.0,2684,0,no
78,Poppy,4.0,17272,0,no
80,Pantheon,5.0,22536,0,no
61,Orianna,4.0,16246,0,no
2,Olaf,2.0,5710,0,no
20,Nunu,6.0,42134,0,no
56,Nocturne,1.0,532,0,no
76,Nidalee,3.0,8584,0,no
518,Neeko,3.0,9398,0,no
111,Nautilus,5.0,27212,1,no
75,Nasus,3.0,9187,0,no
267,Nami,3.0,6658,0,no
82,Mordekaiser,4.0,14284,0,no
62,MonkeyKing,3.0,6036,0,no
21,MissFortune,3.0,8550,0,no
11,MasterYi,2.0,4477,0,no
57,Maokai,5.0,33890,0,no
54,Malphite,3.0,11410,0,no
99,Lux,5.0,35592,0,no
117,Lulu,4.0,13471,0,no
127,Lissandra,3.0,6610,0,no
876,Lillia,1.0,1755,0,no
89,Leona,4.0,19265,0,no
64,LeeSin,3.0,10363,0,no
96,KogMaw,2.0,5279,0,no
240,Kled,3.0,7643,0,no
203,Kindred,3.0,6316,0,no
121,Khazix,3.0,6502,0,no
85,Kennen,3.0,10090,0,no
141,Kayn,4.0,13174,0,no
10,Kayle,3.0,6407,0,no
55,Katarina,2.0,3049,0,no
38,Kassadin,1.0,1618,0,no
30,Karthus,3.0,8088,0,no
43,Karma,4.0,15857,0,no
429,Kalista,4.0,15304,0,no
126,Jayce,3.0,11965,0,no
24,Jax,2.0,1992,0,no
59,JarvanIV,2.0,2665,0,no
40,Janna,3.0,11720,0,no
39,Irelia,2.0,1832,0,no
420,Illaoi,5.0,24168,0,no
