summoner_name,played_with,won_with,played_against,lost_against,date,last_played
ironsuperhulk,1055.0,517,0,0,27-11-2023 10:35,Briar
Jeeveezee,136.0,57,0,0,22-11-2023 9:27,Nocturne
yvan i am,82.0,27,0,0,16-11-2023 11:58,Amumu
impreg the keg,21.0,11,0,0,7-11-2023 9:17,Gangplank
BluezamX,14.0,5,0,0,28-8-2023 21:16,Gragas
Μange T Morts,4.0,4,0,0,11-7-2022 18:4,Urgot
Ńicò,4.0,4,0,0,11-7-2022 18:4,Samira
rafaga,4.0,4,0,0,11-7-2022 18:4,Vayne
inxide,4.0,4,0,0,11-7-2022 18:4,Malzahar
Nexode,4.0,4,0,0,11-7-2022 18:4,Lulu
Ms Mia Caulifla,4.0,4,0,0,11-7-2022 18:4,Vi
Kissmypickels,4.0,4,0,0,11-7-2022 18:4,Poppy
Bravi,4.0,4,0,0,11-7-2022 18:4,Zilean
zEx 992001,4.0,0,0,0,11-7-2022 18:4,Nautilus
xathird,4.0,0,0,0,12-11-2023 13:33,Lux
epaknndh,4.0,0,0,0,11-7-2022 18:4,Kayle
GZ 5 Baran,4.0,0,0,0,11-7-2022 18:4,Ahri
Bling Dady,4.0,0,0,0,12-11-2023 13:33,Jax
Adrienzzz,4.0,0,0,0,11-7-2022 18:4,Ahri
ALCI13,4.0,0,0,0,11-7-2022 18:4,Vayne
2nawaf2,4.0,0,0,0,11-7-2022 18:4,Maokai
RealHunterr,3.0,3,0,0,12-11-2023 13:24,Nidalee
KabucoSan,3.0,3,0,0,12-11-2023 13:24,Vayne
Dänge11,3.0,3,0,0,12-11-2023 13:24,Syndra
Hikaru Rose,3.0,1,0,0,13-5-2023 15:44,Syndra
zMiyamotoMusashi,3.0,0,0,0,21-3-2023 12:35,Akali
xSwtDx,3.0,0,0,0,12-11-2023 13:24,Irelia
mattdizzle,3.0,0,0,0,11-7-2022 18:4,DrMundo
epsen,3.0,0,0,0,12-11-2023 13:24,Twitch
Trozion,3.0,0,0,0,11-7-2022 18:4,Azir
Martris Draykes,3.0,0,0,0,12-11-2023 13:24,Pyke
La Psycho Patate,3.0,0,0,0,12-11-2023 13:24,Leona
HongKong LKSAMxP,3.0,0,0,0,12-11-2023 13:24,Sivir
GetKilledd,3.0,0,0,0,12-11-2023 13:24,Taric
Bouffon dAnglais,3.0,0,0,0,12-11-2023 13:24,Nautilus
Ashari,3.0,0,0,0,12-11-2023 13:24,Orianna
tempynsyhhvzbacc,2.0,2,0,0,9-6-2023 20:27,Zeri
snipyk17,2.0,2,0,0,9-6-2023 20:28,Darius
sadada88,2.0,2,0,0,11-7-2022 18:4,Fiora
m0x90,2.0,2,0,0,9-6-2023 20:27,Xerath
logeremi,2.0,2,0,0,11-7-2022 18:4,Xerath
jam hot,2.0,2,1,1,19-7-2022 11:49,Twitch
ionutmacaroani24,2.0,2,0,0,9-6-2023 20:29,Kaisa
illrider,2.0,2,0,0,9-6-2023 20:27,Kassadin
fyrgi,2.0,2,0,0,9-6-2023 20:28,Xayah
corobishnek,2.0,2,0,0,27-11-2022 18:26,Sivir
chiefrider,2.0,2,0,0,9-6-2023 20:29,Veigar
Yoshanai,2.0,2,0,0,9-6-2023 20:28,MasterYi
TheoChoufleur,2.0,2,0,0,9-6-2023 20:28,Quinn
Taktikantas,2.0,2,0,0,9-6-2023 20:28,Galio
Ssyn,2.0,2,0,0,11-7-2022 18:4,Viego
SkirnirS,2.0,2,0,0,9-6-2023 20:28,Janna
SkillzDeluxe,2.0,2,0,0,9-6-2023 20:29,Nasus
Seigneur grand,2.0,2,0,0,14-2-2023 19:58,Brand
Pyke4L1fe,2.0,2,0,0,9-6-2023 20:28,Caitlyn
Omeyyad,2.0,2,0,0,9-6-2023 20:28,Rengar
Nörsis,2.0,2,0,0,9-6-2023 20:27,Diana
NightRainX,2.0,2,0,0,16-12-2022 20:53,Sion
NKProductions,2.0,2,0,0,9-6-2023 20:29,Shen
MeNoobDontRage,2.0,2,0,0,9-6-2023 20:29,Aatrox
Lucreonx,2.0,2,0,0,6-10-2022 8:10,Karma
LoulouteSSJ,2.0,2,0,0,9-6-2023 20:28,Braum
KrüliGrabscher,2.0,2,0,0,9-6-2023 20:29,Heimerdinger
Knide,2.0,2,0,0,6-10-2022 8:10,Akali
KevakaBuel,2.0,2,0,0,9-6-2023 20:28,Kaisa
KaaNTroX,2.0,2,0,0,5-9-2023 21:12,Nasus
JoIfy,2.0,2,0,0,23-10-2023 13:10,Diana
I Am Raybola,2.0,2,0,0,9-6-2023 20:28,Cassiopeia
Edelnor,2.0,2,0,0,9-6-2023 20:29,Malzahar
DoraLaPerreadora,2.0,2,0,0,9-6-2023 20:28,Pantheon
DjBigHead69,2.0,2,0,0,9-6-2023 20:28,Ahri
Dickyoerus,2.0,2,0,0,9-6-2023 20:28,Lucian
DefinitelyDerp,2.0,2,0,0,4-1-2023 11:5,Mordekaiser
De70x,2.0,2,0,0,9-6-2023 20:28,Lillia
Darky1124,2.0,2,0,0,24-6-2023 14:59,Shaco
DalleMayn,2.0,2,0,0,9-6-2023 20:28,MasterYi
Cross of hell,2.0,2,0,0,9-6-2023 20:29,Caitlyn
Bunnyh0p,2.0,2,0,0,11-7-2022 18:4,Belveth
Balool26,2.0,2,0,0,9-6-2023 20:29,Akali
Arenagameryt,2.0,2,0,0,9-6-2023 20:28,Yuumi
AlDebs,2.0,2,0,0,26-1-2023 14:39,Neeko
AYYEG,2.0,2,0,0,9-6-2023 20:28,Nautilus
6i6a4ad,2.0,2,0,0,9-6-2023 20:28,Gragas
 PoisonousSquid,2.0,2,0,0,9-6-2023 20:28,Zilean
Νecrom,2.0,1,0,0,1-2-2023 22:28,Pyke
ziphrti,2.0,1,0,0,18-10-2023 23:21,Neeko
kaker,2.0,1,0,0,19-2-2023 12:27,Ashe
RentGoblin,2.0,1,0,0,27-11-2022 18:27,Zoe
QUYNN KAT,2.0,1,0,0,1-2-2023 22:28,Katarina
Peter Pizza,2.0,1,0,0,14-2-2023 19:58,Karthus
N1trogen,2.0,1,0,0,22-6-2022 14:4,Rengar
Liath,2.0,1,0,0,26-2-2023 12:16,Sona
KataStrophically,2.0,1,0,0,5-1-2023 23:30,MonkeyKing
KainN,2.0,1,0,0,11-9-2022 15:26,Nilah
JustMo06,2.0,1,0,0,24-6-2023 14:59,Shyvana
Jooxy,2.0,1,0,0,5-9-2023 21:11,Xayah
HeathLeadger,2.0,1,0,0,14-2-2023 19:59,Veigar
Flauschmeyersche,2.0,1,0,0,22-10-2022 19:21,Yone
EmperorMckenzie,2.0,1,0,0,8-7-2023 10:56,Milio
Comrade Diatlov,2.0,1,0,0,4-8-2022 19:46,Janna
Bonnie Bell,2.0,1,0,0,19-2-2023 12:28,Taric
ĄD0LF RIZZLER,2.0,0,0,0,9-6-2023 20:29,Aphelios
kento4,2.0,0,0,0,19-7-2023 19:27,Kalista
helosned,2.0,0,0,0,9-6-2023 20:29,Morgana
b1ancoz,2.0,0,0,0,9-6-2023 20:27,Yasuo
asv3ga,2.0,0,0,0,11-7-2022 18:4,Zyra
Zepry,2.0,0,0,0,9-6-2023 20:27,Pyke
Zapansan,2.0,0,0,0,11-7-2022 18:4,Shaco
Yundo,2.0,0,0,0,9-6-2023 20:29,Varus
WrongAsphy,2.0,0,0,0,9-6-2023 20:29,Corki
TrolBucolico,2.0,0,0,0,9-6-2023 20:28,Seraphine
Totoro le Gris,2.0,0,0,0,9-6-2023 20:29,Malphite
Tompson02,2.0,0,0,0,9-6-2023 20:27,Graves
TheMusikgamer,2.0,0,0,0,12-3-2023 14:27,Nidalee
ThaiMen,2.0,0,0,0,9-6-2023 20:28,Brand
Tekkis,2.0,0,0,0,9-6-2023 20:27,Varus
Spicy Stoffy,2.0,0,0,0,8-7-2023 10:56,Ahri
Sanoyy,2.0,0,0,0,25-3-2023 14:2,Annie
SEUNGMlNNlE,2.0,0,0,0,9-6-2023 20:27,MissFortune
RheniaLis,2.0,0,0,0,27-11-2022 18:26,Orianna
Renshaw0,2.0,0,0,0,9-6-2023 20:29,Viego
RedSnake666,2.0,0,0,0,11-7-2022 18:4,TahmKench
Rayn Stekken,2.0,0,0,0,9-6-2023 20:28,Swain
Puggs,2.0,0,0,0,12-3-2023 14:27,Ziggs
Phiribu,2.0,0,0,0,9-6-2023 20:28,Lux
Paige,2.0,0,0,0,11-7-2022 18:4,Amumu
Meamem,2.0,0,0,0,9-6-2023 20:29,Kaisa
Matthewses,2.0,0,0,0,27-11-2022 18:26,Annie
MarkGuffalo,2.0,0,0,0,9-6-2023 20:29,Graves
Lxnk,2.0,0,0,0,9-6-2023 20:29,Fizz
Louiskuu,2.0,0,0,0,9-6-2023 20:29,Aatrox
Le Cringologue,2.0,0,0,0,9-6-2023 20:29,Ashe
Kanonimathxh,2.0,0,0,0,11-9-2022 15:26,Irelia
Godo31,2.0,0,0,0,9-6-2023 20:28,Twitch
GilbertDépanneur,2.0,0,0,0,9-6-2023 20:27,Vladimir
Gabylouw,2.0,0,0,0,9-6-2023 20:28,Ashe
Gabba00Gandalf,2.0,0,0,0,9-6-2023 20:28,Brand
Fullmetal Alchi,2.0,0,0,0,9-6-2023 20:29,Ahri
Droalek,2.0,0,0,0,9-6-2023 20:27,Graves
Delca musen,2.0,0,0,0,9-6-2023 20:28,Pyke
DK karina,2.0,0,1,1,9-6-2023 20:28,Heimerdinger
Crrixuss,2.0,0,0,0,9-6-2023 20:29,Ekko
Brick,2.0,0,0,0,9-6-2023 20:27,Rumble
Boogimen,2.0,0,0,0,9-6-2023 20:28,AurelionSol
BinWarmerBruder,2.0,0,0,0,9-6-2023 20:29,Belveth
Albemouff,2.0,0,0,0,9-6-2023 20:28,Soraka
Aarundel,2.0,0,0,0,9-6-2023 20:28,Varus
يـزن,1.0,1,0,0,28-8-2023 21:16,Sivir
دقوس,1.0,1,0,0,27-2-2023 18:21,Aphelios
κee,1.0,1,0,0,8-7-2023 10:57,Morgana
ΞVΞLS,1.0,1,0,0,28-8-2023 21:16,Seraphine
Μord Fustang,1.0,1,0,0,24-9-2022 23:1,Gwen
Βenito,1.0,1,0,0,21-2-2023 16:54,Sett
ŻUB,1.0,1,0,0,27-11-2022 18:26,Nilah
Ż Ð,1.0,1,0,0,22-9-2023 13:17,Sett
Šnek,1.0,1,0,0,5-3-2023 12:32,Leona
Śpicy,1.0,1,0,0,2-7-2023 15:18,Kayle
ôvò,1.0,1,0,0,5-3-2023 12:32,Leblanc
îts Ryan,1.0,1,0,0,27-12-2022 23:45,Karthus
íFlamello,1.0,1,0,0,11-10-2023 18:31,Rell
ßÂRÐŠÎMPŠØŃ,1.0,1,0,0,28-9-2022 20:6,Bard
ßlue Ðemon,1.0,1,0,0,14-2-2023 19:58,AurelionSol
Ðr Tąsukete,1.0,1,0,0,5-3-2023 12:32,Corki
Æreon,1.0,1,0,0,5-3-2023 12:31,Zeri
Æon Eternum,1.0,1,0,0,15-1-2023 15:10,Ekko
Å r è s ,1.0,1,0,0,7-8-2022 12:4,Neeko
Äskeladd,1.0,1,0,0,28-6-2023 21:27,Qiyana
Ärhkann ZaMpa,1.0,1,0,0,7-12-2022 10:21,Rumble
Änkö,1.0,1,0,0,18-5-2023 19:11,Veigar
Ämmä,1.0,1,0,0,4-8-2022 19:46,RekSai
Ârkanash,1.0,1,0,0,11-10-2023 18:30,Maokai
Âlive,1.0,1,0,0,1-7-2022 17:17,Rammus
ÀLVAR0,1.0,1,0,0,11-9-2022 15:26,Cassiopeia
zyplex,1.0,1,0,0,14-11-2022 21:0,Malzahar
zxc tichka vetra,1.0,1,0,0,19-3-2023 13:12,Kalista
zick177,1.0,1,0,0,6-9-2022 10:26,Yone
zertao93,1.0,1,0,0,21-2-2023 16:54,Yasuo
zazloz,1.0,1,0,0,17-5-2023 20:12,Ziggs
yowan1337,1.0,1,0,0,16-6-2023 10:52,Taliyah
youngwithcat,1.0,1,0,0,1-7-2022 18:16,Samira
yonmaru,1.0,1,0,0,8-6-2022 10:19,Janna
yongying0202,1.0,1,0,0,1-7-2022 18:15,Mordekaiser
ymlsodhk,1.0,1,0,0,2-7-2023 15:18,Varus
yipi yapo3,1.0,1,0,0,5-3-2023 12:31,Fiddlesticks
yazęed,1.0,1,0,0,26-2-2023 12:16,Velkoz
yannickjeuh,1.0,1,0,0,24-10-2022 12:37,Nasus
xarieli,1.0,1,0,0,10-12-2022 20:52,Veigar
xannx,1.0,1,0,0,8-7-2023 10:56,Fiora
xXraigenbougenXx,1.0,1,0,0,30-1-2023 16:18,Teemo
xXmarcmpXx,1.0,1,0,0,26-5-2023 17:51,TwistedFate
xXHuntingKillsXx,1.0,1,0,0,1-8-2022 20:42,Viktor
