champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,cc_score,winrate
240,Kled,3.0,3,19,28,69,18697,51723,-33025,2,0,0,0,0,5666,4,100
110,Varus,2.0,2,34,23,55,46513,30163,16350,6,1,0,0,0,6856,39,100
12,Alistar,2.0,2,8,23,89,14939,58386,-43447,1,0,0,0,0,21836,73,100
166,Akshan,1.0,1,21,4,27,83857,18858,64999,2,0,0,0,0,8173,1,100
236,Lucian,1.0,1,19,15,37,61311,40457,20854,3,0,0,0,0,9568,0,100
90,Malzahar,1.0,1,15,12,40,42203,29450,12753,2,0,0,0,0,702,97,100
235,Senna,1.0,1,7,1,18,9681,6276,3405,2,0,0,0,0,5761,12,100
134,Syndra,1.0,1,7,11,23,23612,20280,3332,0,0,0,0,0,1281,32,100
42,Corki,1.0,1,9,7,24,15668,14622,1046,2,1,1,0,0,2013,5,100
267,Nami,1.0,1,2,3,36,9183,9250,-67,0,0,0,0,0,5969,44,100
13,Ryze,1.0,1,10,8,26,36257,37277,-1020,0,0,0,0,0,7848,33,100
25,Morgana,1.0,1,8,7,13,15522,17597,-2075,1,0,0,0,0,2614,60,100
498,Xayah,1.0,1,16,11,17,26387,28997,-2610,1,1,0,0,0,7344,22,100
69,Cassiopeia,1.0,1,9,6,20,25563,36780,-11217,1,0,0,0,0,16418,53,100
64,LeeSin,1.0,1,9,10,34,20019,32918,-12899,0,0,0,0,0,4111,17,100
54,Malphite,1.0,1,8,8,27,18127,38867,-20740,0,0,0,0,0,5465,31,100
150,Gnar,1.0,1,11,9,30,38951,71308,-32357,1,0,0,0,0,11055,75,100
57,Maokai,1.0,1,8,12,34,19243,54896,-35653,0,0,0,0,0,11933,101,100
31,Chogath,1.0,1,13,14,30,36260,92965,-56705,1,0,0,0,0,7479,115,100
85,Kennen,2.0,1,32,22,64,45088,31557,13531,6,0,0,0,0,2235,32,50
145,Kaisa,2.0,1,22,21,40,35236,23668,11568,3,0,0,0,0,2396,0,50
888,Renata,2.0,1,4,15,62,9022,18866,-9844,0,0,0,0,0,1932,22,50
412,Thresh,2.0,1,8,15,69,14047,24563,-10515,1,0,0,0,0,2530,56,50
106,Volibear,2.0,1,14,21,45,18260,44323,-26062,1,0,0,0,0,6684,31,50
61,Orianna,3.0,1,50,31,73,37760,26734,11026,7,2,0,0,0,3142,32,33
51,Caitlyn,3.0,1,35,35,65,33140,30254,2886,5,0,0,0,0,4648,36,33
26,Zilean,3.0,0,21,24,101,28112,25954,2158,2,0,0,0,0,11150,47,0
136,AurelionSol,2.0,0,19,29,56,38112,33721,4391,1,1,0,0,0,687,27,0
555,Pyke,2.0,0,37,24,42,33186,40296,-7110,6,2,0,0,0,10704,39,0
20,Nunu,2.0,0,21,26,75,30181,40635,-10454,2,0,0,0,0,12632,47,0
101,Xerath,1.0,0,8,9,22,32545,23427,9118,0,0,0,0,0,2478,27,0
4,TwistedFate,1.0,0,12,14,31,37116,33017,4099,2,0,0,0,0,1926,65,0
96,KogMaw,1.0,0,17,13,24,37715,34083,3632,2,1,0,0,0,6424,10,0
29,Twitch,1.0,0,17,10,14,24113,21249,2864,2,0,0,0,0,2798,6,0
133,Quinn,1.0,0,9,15,14,38311,35970,2341,0,0,0,0,0,6019,35,0
17,Teemo,1.0,0,17,16,22,36468,36078,390,4,2,0,0,0,2588,50,0
99,Lux,1.0,0,7,7,27,16641,18503,-1862,0,0,0,0,0,2929,42,0
22,Ashe,1.0,0,2,10,14,12668,19437,-6769,0,0,0,0,0,1884,45,0
202,Jhin,1.0,0,7,8,6,12215,19381,-7166,1,0,0,0,0,3883,15,0
16,Soraka,1.0,0,1,7,52,13477,22669,-9192,0,0,0,0,0,32498,77,0
432,Bard,1.0,0,5,8,24,19051,29913,-10862,1,0,0,0,0,9631,60,0
234,Viego,1.0,0,2,9,8,8079,19509,-11430,0,0,0,0,0,2844,13,0
79,Gragas,1.0,0,6,9,33,18330,30248,-11918,1,0,0,0,0,7434,45,0
113,Sejuani,1.0,0,3,7,18,9014,21378,-12364,0,0,0,0,0,2465,25,0
6,Urgot,1.0,0,5,9,7,11689,25568,-13879,0,0,0,0,0,3248,17,0
77,Udyr,1.0,0,2,16,19,14194,31958,-17764,0,0,0,0,0,1309,34,0
427,Ivern,1.0,0,2,10,33,9864,28205,-18341,0,0,0,0,0,4600,53,0
50,Swain,1.0,0,7,10,15,17795,43403,-25608,1,0,0,0,0,10627,55,0
75,Nasus,1.0,0,12,14,25,35599,63068,-27469,1,0,0,0,0,12492,23,0
32,Amumu,1.0,0,2,15,23,18139,46563,-28424,0,0,0,0,0,3711,62,0
59,JarvanIV,1.0,0,4,14,34,16803,61402,-44599,0,0,0,0,0,4269,38,0
