champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
18,Tristana,2.0,2,2,2,100,4
9,Fiddlesticks,0.0,0,4,4,100,4
360,Samira,1.0,1,3,3,100,4
201,Braum,1.0,1,2,2,100,3
876,Lillia,1.0,1,2,2,100,3
7,Leblanc,2.0,2,1,1,100,3
59,JarvanIV,2.0,2,1,1,100,3
58,Renekton,0.0,0,2,2,100,2
20,Nunu,1.0,1,1,1,100,2
110,Varus,1.0,1,0,0,100,1
166,Akshan,0.0,0,1,1,100,1
5,XinZhao,0.0,0,1,1,100,1
37,Sona,0.0,0,1,1,100,1
68,Rumble,0.0,0,1,1,100,1
134,Syndra,0.0,0,1,1,100,1
42,Corki,1.0,1,0,0,100,1
77,Udyr,0.0,0,1,1,100,1
126,Jayce,0.0,0,1,1,100,1
69,Cassiopeia,1.0,1,0,0,100,1
131,Diana,1.0,1,0,0,100,1
222,Jinx,1.0,1,0,0,100,1
11,MasterYi,5.0,4,1,1,83,6
74,Heimerdinger,3.0,2,3,3,83,6
203,Kindred,3.0,2,2,2,80,5
25,Morgana,2.0,2,3,2,80,5
19,Warwick,4.0,3,8,6,75,12
238,Zed,1.0,1,3,2,75,4
777,Yone,1.0,0,3,3,75,4
223,TahmKench,0.0,0,4,3,75,4
112,Viktor,4.0,3,0,0,75,4
887,Gwen,4.0,2,5,4,66,9
106,Volibear,4.0,3,5,3,66,9
897,KSante,1.0,1,2,1,66,3
119,Draven,1.0,1,2,1,66,3
53,Blitzcrank,1.0,1,2,1,66,3
48,Trundle,1.0,1,2,1,66,3
92,Riven,0.0,0,3,2,66,3
498,Xayah,1.0,1,2,1,66,3
41,Gangplank,1.0,1,2,1,66,3
127,Lissandra,3.0,2,0,0,66,3
21,MissFortune,2.0,2,1,0,66,3
55,Katarina,2.0,1,1,1,66,3
31,Chogath,4.0,3,4,2,62,8
63,Brand,6.0,3,2,2,62,8
141,Kayn,5.0,3,8,5,61,13
50,Swain,25.0,16,8,4,60,33
57,Maokai,4.0,3,6,3,60,10
75,Nasus,1.0,1,4,2,60,5
29,Twitch,3.0,1,2,2,60,5
6,Urgot,15.0,8,2,2,58,17
82,Mordekaiser,5.0,4,7,3,58,12
