summoner_name,played_with,won_with,played_against,lost_against,date,last_played
ironsuperhulk,81.0,40,0,0,28-8-2023 21:16,Sett
BluezamX,8.0,2,0,0,28-8-2023 21:15,Nidalee
Jeeveezee,6.0,4,0,0,19-8-2023 19:26,Kaisa
yvan i am,2.0,1,0,0,28-8-2023 21:16,MasterYi
well d0o0o0oggy,2.0,0,0,0,25-7-2023 10:40,Heimerdinger
αnthαlα,1.0,1,0,0,28-8-2023 21:15,Diana
Εnton,1.0,1,0,0,25-7-2023 10:40,Khazix
ßrøkeñ ßałł,1.0,1,0,0,28-8-2023 21:16,Morgana
zeiax,1.0,1,0,0,20-8-2023 12:53,Cassiopeia
xxxgary,1.0,1,0,0,28-8-2023 21:16,Volibear
xSitu,1.0,1,0,0,6-8-2023 11:4,Sylas
sly882,1.0,1,0,0,20-8-2023 12:53,Draven
sidecar,1.0,1,0,0,25-7-2023 10:41,Varus
raptakilla,1.0,1,0,0,19-8-2023 19:26,Urgot
moili,1.0,1,0,0,20-7-2023 21:21,Swain
kàmas,1.0,1,0,0,19-8-2023 19:25,Brand
jacki334,1.0,1,0,0,19-8-2023 19:26,Vladimir
isnogodt,1.0,1,0,0,28-8-2023 21:16,Kled
iHenk HDv2,1.0,1,0,0,19-8-2023 19:25,Nocturne
froglicker64,1.0,1,0,0,28-8-2023 21:15,Tristana
cigar enthusiast,1.0,1,0,0,28-8-2023 21:16,Katarina
aritholo,1.0,1,0,0,20-7-2023 21:21,Poppy
alvaadi,1.0,1,0,0,28-8-2023 21:16,Brand
abrooker,1.0,1,0,0,20-7-2023 21:21,Kayn
a horse,1.0,1,0,0,25-7-2023 10:41,KSante
Yuki77,1.0,1,0,0,28-8-2023 21:16,MissFortune
YerayQ,1.0,1,0,0,6-8-2023 11:4,Trundle
Wrathlord,1.0,1,0,0,6-8-2023 11:4,Mordekaiser
WIZ alecs,1.0,1,0,0,19-8-2023 19:25,Pantheon
Unexist,1.0,1,0,0,19-8-2023 19:25,Urgot
Toriii,1.0,1,0,0,19-8-2023 19:25,DrMundo
TiltedBatracio,1.0,1,0,0,6-8-2023 11:4,MasterYi
The Holy Ripper,1.0,1,0,0,20-8-2023 12:53,Yorick
Th3mobs,1.0,1,0,0,25-7-2023 10:40,Pantheon
Tehnzow,1.0,1,0,0,20-8-2023 12:53,Garen
Talladon,1.0,1,0,0,19-8-2023 19:25,Mordekaiser
Tabouret San,1.0,1,0,0,25-7-2023 10:41,DrMundo
T0xicT3rmi,1.0,1,0,0,25-7-2023 10:40,Senna
Szymip,1.0,1,0,0,25-7-2023 10:41,Naafiri
Susseth,1.0,1,0,0,6-8-2023 11:4,Senna
Slayer Gnar,1.0,1,0,0,28-8-2023 21:16,Heimerdinger
ShadowwMurloc,1.0,1,0,0,25-7-2023 10:40,Taric
Semandra,1.0,1,0,0,19-8-2023 19:25,Lissandra
Saphh05,1.0,1,0,0,19-8-2023 19:25,Kayn
SantaSancheZ,1.0,1,0,0,25-7-2023 10:40,Chogath
SG Pronox,1.0,1,0,0,25-7-2023 10:41,Senna
SEWER ELO SHOWER,1.0,1,0,0,28-8-2023 21:15,Sylas
Ryan Lochen,1.0,1,0,0,19-8-2023 19:25,Xayah
Riven your balls,1.0,1,0,0,19-8-2023 19:25,Gwen
Riven to Shreds,1.0,1,0,0,25-7-2023 10:41,Vayne
REAPER Dimples,1.0,1,0,0,6-8-2023 11:4,Twitch
Puzzone3,1.0,1,0,0,25-7-2023 10:41,Jax
Popsinator,1.0,1,0,0,19-8-2023 19:25,Warwick
Peytou,1.0,1,0,0,25-7-2023 10:40,Zac
Pecisumba,1.0,1,0,0,25-7-2023 10:40,Vladimir
Ocelote Qatarí,1.0,1,0,0,20-7-2023 21:21,Volibear
NoodleBoyi,1.0,1,0,0,20-8-2023 12:53,Maokai
NoFutur,1.0,1,0,0,25-7-2023 10:40,Braum
Niksenbiksen,1.0,1,0,0,25-7-2023 10:41,Tristana
N0GameN0Lif3,1.0,1,0,0,25-7-2023 10:40,Swain
Mïmö,1.0,1,0,0,28-8-2023 21:16,Gragas
Murox,1.0,1,0,0,20-7-2023 21:21,Kayle
Moe Lesta,1.0,1,0,0,28-8-2023 21:16,LeeSin
Miticoloso,1.0,1,0,0,6-8-2023 11:4,Heimerdinger
MilesCreig,1.0,1,0,0,6-8-2023 11:4,Ivern
Milbu,1.0,1,0,0,19-8-2023 19:25,Teemo
Make me Thorny,1.0,1,0,0,28-8-2023 21:16,Malzahar
LΔKΔTΔPOTE,1.0,1,0,0,6-8-2023 11:4,Pyke
Lozaan56,1.0,1,0,0,6-8-2023 11:4,Volibear
Lord Gigamungos,1.0,1,0,0,19-8-2023 19:25,Thresh
Liasouh,1.0,1,0,0,6-8-2023 11:4,Sylas
Legend Bard,1.0,1,0,0,20-8-2023 12:53,Morgana
Leav3MeAlon3,1.0,1,0,0,25-7-2023 10:40,Shen
Lazy Clone,1.0,1,0,0,19-8-2023 19:25,Shaco
Laukimannen,1.0,1,0,0,19-8-2023 19:26,Kindred
Lanhir,1.0,1,0,0,6-8-2023 11:4,Poppy
Lamp,1.0,1,0,0,19-8-2023 19:25,Lillia
L9 Kamusari,1.0,1,0,0,25-7-2023 10:40,Ashe
Körima,1.0,1,0,0,25-7-2023 10:41,Sett
Képheus,1.0,1,0,0,28-8-2023 21:16,Jinx
Kiniyou,1.0,1,0,0,19-8-2023 19:25,Kindred
Kelbius Caesar,1.0,1,0,0,6-8-2023 11:4,Nasus
KarlGriems,1.0,1,0,0,6-8-2023 11:4,Samira
Jungle Κing,1.0,1,0,0,20-7-2023 21:21,MasterYi
Jollsenberg,1.0,1,0,0,6-8-2023 11:4,Kennen
Jay Elle,1.0,1,0,0,25-7-2023 10:41,Shen
Jarvan XIIII,1.0,1,0,0,20-8-2023 12:53,Gangplank
ImperatorRemus,1.0,1,0,0,20-8-2023 12:53,Lucian
Htmøsa,1.0,1,0,0,19-8-2023 19:25,Illaoi
HeavenB0Y,1.0,1,0,0,19-8-2023 19:26,Viktor
H3LL0W0RLD,1.0,1,0,0,20-8-2023 12:53,JarvanIV
Gurepu kun,1.0,1,0,0,19-8-2023 19:25,Corki
Gulu Meow,1.0,1,0,0,19-8-2023 19:26,Garen
France Prešeren,1.0,1,0,0,25-7-2023 10:40,Vi
FinnishForce,1.0,1,0,0,6-8-2023 11:4,Fizz
FKzOmega87,1.0,1,0,0,19-8-2023 19:26,Warwick
FILTH MCNASTY,1.0,1,0,0,28-8-2023 21:15,Lissandra
EpicLama27,1.0,1,0,0,19-8-2023 19:25,DrMundo
EpicGamer102,1.0,1,0,0,19-8-2023 19:25,Yorick
Ding Dang,1.0,1,0,0,19-8-2023 19:25,Chogath
Dillenae,1.0,1,0,0,25-7-2023 10:41,Senna
Dexter10,1.0,1,0,0,19-8-2023 19:25,JarvanIV
Cute Pigeon,1.0,1,0,0,19-8-2023 19:25,Bard
Cruzzi Fangirl,1.0,1,0,0,19-8-2023 19:25,Brand
ConorMcNater,1.0,1,0,0,6-8-2023 11:4,Warwick
ChunLi FOB UP,1.0,1,0,0,19-8-2023 19:25,Viktor
Carpet Crawler,1.0,1,0,0,19-8-2023 19:25,MissFortune
CLΕAN,1.0,1,0,0,28-8-2023 21:16,Viktor
BollywoodChewgum,1.0,1,0,0,28-8-2023 21:16,Gragas
Bellflower,1.0,1,0,0,6-8-2023 11:4,Urgot
Bawey,1.0,1,0,0,25-7-2023 10:41,Leblanc
BDCMterentiy,1.0,1,0,0,28-8-2023 21:16,Swain
BBCiDinMamma,1.0,1,0,0,6-8-2023 11:4,Amumu
Anas,1.0,1,0,0,19-8-2023 19:26,Zed
Affe namens Ape,1.0,1,0,0,19-8-2023 19:25,Singed
Adanok,1.0,1,0,0,6-8-2023 11:4,Jhin
AGedGamer13644,1.0,1,0,0,6-8-2023 11:4,MasterYi
