summoner_name,played_with,won_with,played_against,lost_against,last_played,date
ironsuperhulk,44.0,23,0,0,Milio,28-6-2023 21:27
Jeeveezee,39.0,22,0,0,Zeri,28-6-2023 21:27
yvan i am,28.0,14,0,0,Garen,28-6-2023 21:27
BluezamX,25.0,13,0,0,Blitzcrank,17-5-2023 21:43
impreg the keg,9.0,6,0,0,Aphelios,17-5-2023 21:43
MCB Sensific,7.0,4,0,0,Kaisa,0
KataStrophically,2.0,2,0,0,Nasus,23-4-2022 21:15
Aidivni,2.0,2,0,0,Yasuo,23-4-2022 21:15
Schwifty Boy,2.0,0,0,0,Poppy,8-5-2022 13:0
omegaluck,1.0,1,0,0,Fizz,0
c3po233,1.0,1,0,0,Teemo,0
Yerna pls,1.0,1,0,0,Pyke,0
YOUNGDRAVEN NBA,1.0,1,0,0,Vayne,0
XYLVB,1.0,1,0,0,Ekko,0
VS L Ellingson,1.0,1,0,0,Kayn,0
Stalker04,1.0,1,0,0,Zilean,10-12-2022 21:19
Sa1ko,1.0,1,0,0,Vladimir,26-12-2022 14:28
MüsseMaAbschube,1.0,1,0,0,Cassiopeia,1-10-2022 20:49
MyJglShort,1.0,1,0,0,Sett,26-12-2022 14:28
Masterrave,1.0,1,0,0,Ashe,10-12-2022 21:49
Marco310,1.0,1,0,0,Jhin,0
Le Glouton,1.0,1,0,0,Gwen,0
Landoff,1.0,1,0,0,Blitzcrank,0
Kvaxqt,1.0,1,0,0,Veigar,28-6-2023 21:27
KHARONA VARUS,1.0,1,0,0,Yasuo,0
Hohenheim97,1.0,1,0,0,Garen,28-6-2023 21:27
GabOch,1.0,1,0,0,Rengar,28-6-2023 21:27
Frodilo,1.0,1,0,0,Anivia,28-6-2023 21:27
Frechdachs Nomsi,1.0,1,0,0,JarvanIV,1-10-2022 20:49
Dubio,1.0,1,0,0,Jinx,10-12-2022 21:19
Cman171,1.0,1,0,0,Zeri,10-12-2022 21:49
Candy Baroness,1.0,1,0,0,Zoe,26-12-2022 14:28
Busoushoko,1.0,1,0,0,Pantheon,1-10-2022 20:49
Burak Sama,1.0,1,0,0,Jinx,0
BuKakeOnBanaNa,1.0,1,0,0,Kled,0
Bonejester,1.0,1,0,0,Evelynn,23-4-2022 20:34
Blepoo,1.0,1,0,0,Rumble,0
0XxDaShenxX0,1.0,1,0,0,Irelia,0
thepaolorex,1.0,0,0,0,Ekko,0
surilus,1.0,0,0,0,JarvanIV,1-10-2022 21:20
smashthegays,1.0,0,0,0,DrMundo,0
pointZyx,1.0,0,0,0,Katarina,0
lIceQl,1.0,0,0,0,Vayne,0
ZombiSkag,1.0,0,0,0,Jhin,0
Yäng,1.0,0,0,0,Sylas,1-10-2022 21:20
WinnerJan,1.0,0,0,0,DrMundo,0
TheDeX6,1.0,0,0,0,Renekton,0
TOD 02,1.0,0,0,0,Yasuo,0
Subway Surfer,1.0,0,0,0,Pantheon,0
Submissive eBoy,1.0,0,0,0,Lulu,0
Stephengtx1,1.0,0,0,0,Pantheon,0
Sir Snakes,1.0,0,0,0,Tryndamere,11-7-2022 18:4
Siom Prayer,1.0,0,0,0,Mordekaiser,0
Shiny Milotic,1.0,0,0,0,Sylas,0
Sebumid,1.0,0,0,0,Gangplank,12-7-2022 12:26
Roffi,1.0,0,0,0,Samira,0
Raxens,1.0,0,0,0,Graves,0
MrBalfouri,1.0,0,0,0,MonkeyKing,14-2-2023 19:57
Minniottny420,1.0,0,0,0,Alistar,11-7-2022 18:4
MidasTouched,1.0,0,0,0,Qiyana,0
Hikaru Rose,1.0,0,0,0,Zeri,14-2-2023 19:57
GeorgeHJ1828,1.0,0,0,0,Ryze,0
FF15teen,1.0,0,0,0,Xerath,0
EuSaev,1.0,0,0,0,Brand,0
Domenischh,1.0,0,0,0,Yasuo,11-7-2022 18:4
DeutscheHornisse,1.0,0,0,0,Darius,1-10-2022 21:20
CogolloMouri,1.0,0,0,0,Vladimir,0
Ciufi,1.0,0,0,0,Janna,0
CerisierJoyeux,1.0,0,0,0,Sylas,0
Akitonight,1.0,0,0,0,Brand,0
8 King Blaze 8,1.0,0,0,0,Mordekaiser,12-7-2022 12:26
xue you ben ren,0.0,0,1,1,Irelia,1-10-2022 21:20
xMiniX1,0.0,0,1,0,Sylas,0
wilster j,0.0,0,1,1,Ashe,11-7-2022 18:4
ssspanky,0.0,0,1,0,Yuumi,0
solowking1,0.0,0,1,0,Thresh,10-12-2022 21:19
smailles,0.0,0,1,1,Azir,0
save my tears,0.0,0,1,0,Chogath,0
sakutsuj,0.0,0,1,0,Senna,0
rolofs13,0.0,0,1,0,Sett,0
pizz4 smurf,0.0,0,1,0,Karma,0
pentolino,0.0,0,1,0,Zed,26-12-2022 14:28
nafanhyme,0.0,0,1,1,Aatrox,11-7-2022 18:4
mrbananas,0.0,0,1,1,Janna,11-7-2022 18:4
loveroosjex,0.0,0,1,0,Blitzcrank,4-3-2022 18:20
lightofhope,0.0,0,1,1,Jax,0
lergel,0.0,0,1,1,Gwen,0
kirby connoiseur,0.0,0,1,1,Nami,12-7-2022 12:26
kilmador,0.0,0,1,0,Neeko,26-12-2022 14:28
kie,0.0,0,1,1,Shyvana,11-7-2022 18:4
k3v1nDu92,0.0,0,1,0,Poppy,0
ixFaker,0.0,0,1,1,Brand,0
icookadameatball,0.0,0,1,1,Yone,11-7-2022 18:4
iPik,0.0,0,1,1,Pantheon,0
hydraquiche,0.0,0,1,1,Nunu,0
gamertroll2009XD,0.0,0,1,0,Veigar,0
eduescarcha59,0.0,0,1,0,Ezreal,0
ecH0c,0.0,0,1,0,Kaisa,10-12-2022 21:19
derKisa,0.0,0,1,1,MasterYi,12-7-2022 12:26
davidmonti2003,0.0,0,1,0,Garen,0
dafawe,0.0,0,1,1,Garen,0
dababy gaming,0.0,0,1,1,Rumble,11-7-2022 18:4
chamo23,0.0,0,1,1,Lux,1-10-2022 21:20
chachesh,0.0,0,1,0,Senna,23-4-2022 20:34
castilord,0.0,0,1,0,Yasuo,10-12-2022 21:49
bpd girl xoxo,0.0,0,1,0,Samira,10-12-2022 21:49
archroft,0.0,0,1,1,Galio,0
anyways so,0.0,0,1,0,Qiyana,26-12-2022 14:28
Zęρhyr,0.0,0,1,0,Orianna,0
Zimbababoue,0.0,0,1,0,Jhin,28-6-2023 21:27
Zerudax,0.0,0,1,1,Anivia,0
Zeehna,0.0,0,1,0,Soraka,0
ZeKrown0,0.0,0,1,1,KogMaw,0
Yukino daisiki,0.0,0,1,1,Vayne,1-10-2022 21:20
Yazelenec,0.0,0,1,0,Jax,26-12-2022 14:28
Xlivin,0.0,0,1,0,Olaf,28-6-2023 21:27
Xandar03,0.0,0,1,0,MasterYi,10-12-2022 21:19
WolfWaren,0.0,0,1,0,Sion,0
WolaGpasMenti,0.0,0,1,0,Kaisa,4-3-2022 18:20
W00Zle,0.0,0,1,0,Gangplank,0
Volleole,0.0,0,1,0,Brand,23-4-2022 21:15
Voladimur,0.0,0,1,1,Bard,0
VladiMdlr,0.0,0,1,1,Diana,0
Valiens,0.0,0,1,0,Trundle,26-12-2022 14:28
VaLi LuCïFeR,0.0,0,1,0,Samira,28-6-2023 21:27
Urgø,0.0,0,1,0,XinZhao,4-5-2023 22:20
Trololiver 1G,0.0,0,2,2,Sion,8-5-2022 13:0
Tismeh,0.0,0,1,1,Zeri,0
ThotPatroI,0.0,0,1,1,Syndra,0
TheBigBallSack,0.0,0,1,1,Sett,0
The Grimm Herald,0.0,0,1,0,Viego,0
The Bond Servant,0.0,0,1,1,Katarina,0
Th3Coquito,0.0,0,1,0,Volibear,0
Sφra,0.0,0,1,1,Shaco,0
Sâk Amaird,0.0,0,1,0,Darius,0
SuWang,0.0,0,1,0,Sion,0
Sorte Slyngel,0.0,0,2,2,Karthus,8-5-2022 13:0
SoloAzz,0.0,0,1,0,Karma,28-6-2023 21:27
Skilbibi,0.0,0,1,1,MissFortune,0
Sir spetterpret,0.0,0,1,1,Sejuani,0
SilentDream,0.0,0,2,2,Shaco,8-5-2022 13:0
Shirotsumekusa,0.0,0,1,0,Caitlyn,4-5-2023 22:20
ShesMyLulu,0.0,0,1,1,Yasuo,12-7-2022 12:26
SettΘnMyFace,0.0,0,1,0,Sion,28-6-2023 21:27
Sciccors Lady,0.0,0,1,0,Ezreal,0
Savahira,0.0,0,1,1,Ahri,0
Sakrisós,0.0,0,1,1,Gangplank,0
STC Tornado,0.0,0,1,1,Kalista,14-2-2023 19:57
S n y s z,0.0,0,1,1,Lulu,0
S i i N o K,0.0,0,1,1,Zilean,0
RvsipT,0.0,0,1,1,Jayce,0
RoughGuenni,0.0,0,1,0,Lux,17-5-2023 21:43
Riko9S,0.0,0,1,1,Gwen,0
Rihagan,0.0,0,1,1,Pantheon,0
Raflize,0.0,0,1,0,DrMundo,0
RAC Travesuras,0.0,0,1,0,MonkeyKing,28-6-2023 21:27
Qlímąx,0.0,0,1,0,Kaisa,0
PyroPro1234,0.0,0,1,1,Riven,0
PrettyPixel,0.0,0,1,0,Sylas,0
Prameda,0.0,0,1,0,Jhin,0
PommesKopfMcGelb,0.0,0,1,1,Yasuo,0
Polpilax,0.0,0,1,1,Lux,0
Platzpatrone1980,0.0,0,1,0,Caitlyn,17-5-2023 21:43
Plapla,0.0,0,1,0,Kayn,26-12-2022 14:28
PiiwGG,0.0,0,1,1,Zed,4-5-2023 22:19
Pate Don Käse,0.0,0,1,1,Nasus,0
OverGàmes18,0.0,0,1,0,Pyke,0
Ouisti,0.0,0,1,0,Senna,0
Op Asher,0.0,0,1,1,DrMundo,0
Oh My Evelynn,0.0,0,1,0,Vi,1-10-2022 20:49
OcelotRising,0.0,0,1,0,Fizz,17-5-2023 21:43
Nutellabeere,0.0,0,1,0,Riven,0
Not ur Medic,0.0,0,1,1,Caitlyn,0
Not Doriin,0.0,0,1,0,Khazix,23-4-2022 21:15
No No J0se ,0.0,0,1,0,Gwen,4-3-2022 18:20
Niketine,0.0,0,1,1,Yorick,0
Nidem,0.0,0,1,1,Draven,0
NeverCrossVinnie,0.0,0,1,0,Jhin,4-3-2022 18:20
Neeboy,0.0,0,1,0,Caitlyn,0
NathLeBest,0.0,0,1,1,Irelia,0
MrMcNigNog,0.0,0,1,1,Janna,0
Mr Keria,0.0,0,1,1,Annie,14-2-2023 19:57
Mr Bübbles,0.0,0,1,1,Akshan,11-7-2022 18:4
Montanamax91,0.0,0,1,0,Zoe,4-3-2022 18:20
MogJaune,0.0,0,1,1,LeeSin,0
Moak,0.0,0,1,0,Fiddlesticks,0
MjunI2,0.0,0,2,2,Seraphine,8-5-2022 13:0
Miracle Jojo,0.0,0,1,1,Aphelios,0
Midaregami,0.0,0,1,0,Cassiopeia,4-5-2023 22:20
Melague,0.0,0,1,0,Zoe,0
Meeboy,0.0,0,1,0,Viego,0
McNuuttii,0.0,0,1,1,Diana,0
MayaMate940,0.0,0,1,0,Olaf,0
MayInvincible,0.0,0,1,0,Azir,1-10-2022 20:49
Marmottell,0.0,0,1,1,Ziggs,0
Mantas LTU,0.0,0,1,0,Vex,26-12-2022 14:28
Maille,0.0,0,1,0,Renata,4-3-2022 18:20
Løli Panties,0.0,0,1,0,Senna,0
Lìam,0.0,0,1,0,Viktor,0
Loseloth,0.0,0,1,1,Lillia,14-2-2023 19:57
Linan Eddie Peng,0.0,0,1,1,Kaisa,1-10-2022 21:20
Lenny Chons,0.0,0,1,1,Trundle,0
Lauvias2,0.0,0,2,0,Fiora,23-4-2022 21:15
LaChienneduTipi,0.0,0,1,0,Irelia,4-3-2022 18:20
LIl Chawp X,0.0,0,1,1,Jhin,0
Körra,0.0,0,1,0,Jhin,23-4-2022 21:15
Kíìz,0.0,0,1,0,Caitlyn,0
Kyblik,0.0,0,1,0,Zyra,4-5-2023 22:20
KrixusWichsus,0.0,0,1,0,JarvanIV,28-6-2023 21:27
Kapucynek,0.0,0,1,1,Riven,0
KON pH,0.0,0,1,0,Ryze,0
KC REBELL SHISHA,0.0,0,1,1,DrMundo,0
Jush36,0.0,0,1,1,Cassiopeia,0
Jorgillo el rey,0.0,0,1,0,Ornn,0
Jolanix,0.0,0,1,0,Rell,0
Joe Fixit,0.0,0,1,1,Riven,4-5-2023 22:19
Islendar,0.0,0,1,1,Fizz,0
I Shinatori I,0.0,0,1,1,Gangplank,0
Húdy,0.0,0,1,0,Jinx,0
HugoSwordman123,0.0,0,1,1,Jinx,0
Hinki,0.0,0,1,0,Ezreal,23-4-2022 20:34
Hidden in Mist,0.0,0,1,0,Pantheon,28-6-2023 21:27
HiBro,0.0,0,1,1,Graves,0
Heiwa,0.0,0,1,1,Diana,1-10-2022 21:20
HatsuneNico,0.0,0,1,1,Xerath,0
Hanzwurst59,0.0,0,1,1,Xerath,0
HDlite,0.0,0,1,1,Viktor,14-2-2023 19:57
GünterSchnetzler,0.0,0,1,0,Udyr,17-5-2023 21:43
Gîin,0.0,0,1,1,Ivern,4-5-2023 22:19
Guigoossens,0.0,0,1,0,Viktor,0
GradeZZ,0.0,0,1,0,Malzahar,4-3-2022 18:20
Gilbobo,0.0,0,1,0,Yone,4-3-2022 18:20
Geroldus666,0.0,0,1,0,Illaoi,17-5-2023 21:43
Gegelabest,0.0,0,1,1,Brand,0
FåMegUtPls,0.0,0,1,0,Zoe,0
Frazyy,0.0,0,1,0,MissFortune,1-10-2022 20:49
FlickOfTheKiwi,0.0,0,1,0,Qiyana,0
FireChevalier55,0.0,0,1,0,Nami,10-12-2022 21:19
Et Lutum,0.0,0,1,1,Kayn,11-7-2022 18:4
Erunoma,0.0,0,2,2,Kindred,8-5-2022 13:0
Epik Tablo,0.0,0,1,1,Yorick,14-2-2023 19:57
Eooris,0.0,0,1,0,KogMaw,0
Electice,0.0,0,1,0,Renata,1-10-2022 20:49
ElFlemas,0.0,0,1,1,Veigar,0
ELGRAND Hobaylos,0.0,0,1,1,Ezreal,4-5-2023 22:19
Drohach,0.0,0,1,1,MasterYi,0
Dr Xeno,0.0,0,1,1,Gwen,0
DonChiChatto,0.0,0,1,0,Fiddlesticks,4-3-2022 18:20
DobiOne,0.0,0,1,1,Renekton,0
Divoxin,0.0,0,1,0,Zeri,26-12-2022 14:28
Diayeet,0.0,0,1,0,Soraka,10-12-2022 21:49
DavidBowie Iron3,0.0,0,1,0,Jax,0
Dark5ider5,0.0,0,1,0,Sion,26-12-2022 14:28
