champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,winrate,cc_score
202,Jhin,2.0,2,27,6,16,25022,19766,5255,5,2,1,0,0,6300,100.0,13
902,Milio,2.0,2,0,11,49,4371,15965,-11594,0,0,0,0,0,7097,100.0,22
20,Nunu,2.0,2,7,8,20,9569,25265,-15696,0,0,0,0,0,10793,100.0,29
518,Neeko,1.0,1,6,1,4,10253,6171,4082,1,0,0,0,0,1091,100.0,25
888,Renata,1.0,1,0,2,10,5191,9652,-4461,0,0,0,0,0,886,100.0,16
111,Nautilus,1.0,1,3,3,12,5769,10370,-4601,0,0,0,0,0,379,100.0,0
555,Pyke,1.0,1,3,3,6,5517,11953,-6436,1,0,0,0,0,2784,100.0,14
432,Bard,4.0,3,12,28,63,15373,25262,-9889,0,0,0,0,0,6364,75.0,41
254,Vi,16.0,8,94,91,125,13519,24486,-10963,8,0,0,0,0,8043,50.0,10
61,Orianna,2.0,1,6,15,18,12087,19298,-7210,1,0,0,0,0,2777,50.0,19
234,Viego,3.0,0,18,24,13,14265,29741,-15476,1,0,0,0,0,8875,0.0,16
412,Thresh,2.0,0,6,10,8,2611,15729,-13118,0,0,0,0,0,1082,0.0,19
4,TwistedFate,1.0,0,5,8,4,20273,25292,-5019,1,0,0,0,0,6548,0.0,0
133,Quinn,1.0,0,6,12,10,29776,38961,-9185,0,0,0,0,0,5511,0.0,0
200,Belveth,1.0,0,4,4,3,9624,22369,-12745,0,0,0,0,0,4329,0.0,17
53,Blitzcrank,1.0,1,2,2,10,7515,13576,-6061,0,0,0,0,0,705,,0
427,Ivern,1.0,0,0,6,4,3550,10259,-6709,0,0,0,0,0,4062,,0
223,TahmKench,1.0,0,4,8,10,9231,33720,-24489,0,0,0,0,0,4924,,0
77,Udyr,1.0,0,4,12,26,14058,65913,-51855,0,0,0,0,0,20303,,0
