champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
133,Quinn,2.0,2,0,0,100,2
235,Senna,2.0,2,0,0,100,2
53,Blitzcrank,1.0,1,0,0,100,1
14,Sion,1.0,1,0,0,100,1
254,Vi,1.0,1,0,0,100,1
99,Lux,1.0,1,0,0,100,1
112,Viktor,0.0,0,1,1,100,1
236,Lucian,0.0,0,1,1,100,1
11,MasterYi,0.0,0,1,1,100,1
145,Kaisa,1.0,1,0,0,100,1
201,Braum,1.0,1,0,0,100,1
24,Jax,1.0,1,0,0,100,1
63,Brand,0.0,0,1,1,100,1
122,Darius,0.0,0,1,1,100,1
110,Varus,0.0,0,1,1,100,1
56,Nocturne,1.0,1,0,0,100,1
33,Rammus,1.0,1,0,0,100,1
50,Swain,1.0,1,0,0,100,1
64,LeeSin,1.0,0,2,2,66,3
79,Gragas,3.0,2,0,0,66,3
517,Sylas,3.0,2,0,0,66,3
246,Qiyana,0.0,0,2,1,50,2
238,Zed,0.0,0,2,1,50,2
1,Annie,1.0,1,1,0,50,2
81,Ezreal,2.0,1,1,0,33,3
25,Morgana,1.0,0,1,0,0,2
223,TahmKench,1.0,0,1,0,0,2
91,Talon,0.0,0,1,0,0,1
29,Twitch,0.0,0,1,0,0,1
55,Katarina,0.0,0,1,0,0,1
120,Hecarim,0.0,0,1,0,0,1
36,DrMundo,1.0,0,0,0,0,1
84,Akali,1.0,0,0,0,0,1
41,Gangplank,0.0,0,1,0,0,1
31,Chogath,0.0,0,1,0,0,1
13,Ryze,0.0,0,1,0,0,1
20,Nunu,0.0,0,1,0,0,1
17,Teemo,1.0,0,0,0,0,1
62,MonkeyKing,1.0,0,0,0,0,1
35,Shaco,0.0,0,1,0,0,1
555,Pyke,0.0,0,1,0,0,1
887,Gwen,0.0,0,1,0,0,1
23,Tryndamere,0.0,0,1,0,0,1
875,Sett,0.0,0,1,0,0,1
131,Diana,0.0,0,1,0,0,1
