summoner_name,played_with,won_with,played_against,lost_against,date,last_played
ironsuperhulk,26.0,15,0,0,22-11-2023 9:28,Poppy
Drututts Femboy,2.0,1,0,0,20-11-2023 10:14,Brand
xHopeeR,1.0,1,0,0,16-11-2023 11:56,Zyra
warfare719,1.0,1,0,0,20-11-2023 10:14,Jhin
theDarkestOrange,1.0,1,0,0,12-11-2023 13:25,Aphelios
panoramix38,1.0,1,0,0,20-11-2023 10:14,Ziggs
miljoonakala,1.0,1,0,0,16-11-2023 11:57,Brand
marlonfrz,1.0,1,0,0,16-11-2023 11:56,Illaoi
kathy,1.0,1,0,0,22-11-2023 9:28,Kaisa
badkee1,1.0,1,0,0,12-11-2023 13:25,Jinx
Yobrebre,1.0,1,0,0,12-11-2023 13:24,Naafiri
XerecaMan,1.0,1,0,0,22-11-2023 9:28,Fiora
Whaisler,1.0,1,0,0,22-11-2023 9:28,Thresh
TheMrRapy,1.0,1,0,0,22-11-2023 9:28,Akali
Thcito,1.0,1,0,0,22-11-2023 9:28,Viego
ThatPickled,1.0,1,0,0,20-11-2023 10:14,Sett
Sydney Bronson,1.0,1,0,0,12-11-2023 13:25,Volibear
Stenen,1.0,1,0,0,12-11-2023 13:25,Samira
Sozer266,1.0,1,0,0,16-11-2023 11:57,Samira
Shangzi,1.0,1,0,0,16-11-2023 11:56,Briar
Shamahnus,1.0,1,0,0,12-11-2023 13:25,Sett
SatoRowlet,1.0,1,0,0,12-11-2023 13:25,Morgana
Saree3,1.0,1,0,0,12-11-2023 13:25,LeeSin
SHENONSHR00MS,1.0,1,0,0,12-11-2023 13:25,AurelionSol
RoboW8itch,1.0,1,0,0,12-11-2023 13:25,TahmKench
Ralutz,1.0,1,0,0,16-11-2023 11:57,Aphelios
Pluro,1.0,1,0,0,22-11-2023 9:28,Milio
PIusle,1.0,1,0,0,22-11-2023 9:28,Caitlyn
OrteilDeKim GLOW,1.0,1,0,0,12-11-2023 13:25,Nasus
Ogariyin,1.0,1,0,0,12-11-2023 13:24,Shaco
OG KUSH 50,1.0,1,0,0,16-11-2023 11:57,Sylas
Naserfnz,1.0,1,0,0,12-11-2023 13:25,Yasuo
Muwu,1.0,1,0,0,22-11-2023 9:28,Lillia
Muchacho Teemo,1.0,1,0,0,12-11-2023 13:25,Volibear
MrDeathPaw,1.0,1,0,0,22-11-2023 9:28,Skarner
Moninn,1.0,1,1,0,16-11-2023 11:57,KSante
