champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
64,LeeSin,10.0,10,0,0,100.0,10
112,Viktor,10.0,10,0,0,100.0,10
19,Warwick,0.0,0,10,10,100.0,10
84,Akali,0.0,0,10,10,100.0,10
150,Gnar,10.0,10,0,0,100.0,10
27,Singed,5.0,5,0,0,100.0,5
60,Elise,0.0,0,5,5,100.0,5
24,Jax,5.0,5,0,0,100.0,0
875,Sett,5.0,5,0,0,100.0,0
53,Blitzcrank,5.0,5,0,0,100.0,0
14,Sion,5.0,5,0,0,100.0,0
157,Yasuo,0.0,0,5,5,100.0,0
63,Brand,0.0,0,5,5,100.0,0
74,Heimerdinger,0.0,0,5,5,100.0,0
58,Renekton,0.0,0,5,5,100.0,0
145,Kaisa,10.0,5,15,15,80.0,25
55,Katarina,0.0,0,15,10,66.67,15
50,Swain,10.0,10,10,0,50.0,20
54,Malphite,10.0,0,5,5,33.33,15
81,Ezreal,5.0,0,15,5,25.0,20
427,Ivern,15.0,0,0,0,0.0,15
22,Ashe,10.0,0,0,0,0.0,10
221,Zeri,0.0,0,10,0,0.0,10
42,Corki,10.0,0,0,0,0.0,10
222,Jinx,0.0,0,10,0,0.0,10
26,Zilean,0.0,0,5,0,0.0,5
166,Akshan,5.0,0,0,0,0.0,5
240,Kled,5.0,0,0,0,0.0,5
79,Gragas,5.0,0,0,0,0.0,0
77,Udyr,5.0,0,0,0,0.0,0
13,Ryze,5.0,0,0,0,0.0,0
420,Illaoi,0.0,0,5,0,0.0,0
29,Twitch,0.0,0,5,0,0.0,0
238,Zed,0.0,0,5,0,0.0,0
16,Soraka,0.0,0,5,0,0.0,0
