champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,cc_score,winrate
112,Viktor,2.0,2,28,0,8,20228,7330,12898,4,2,0,0,0,2395,9,100
150,Gnar,2.0,2,8,6,18,7115,10801,-3686,2,0,0,0,0,1538,17,100
64,LeeSin,2.0,2,4,4,30,8960,16251,-7291,0,0,0,0,0,3278,11,100
50,Swain,2.0,2,6,12,26,14588,26792,-12204,0,0,0,0,0,7099,39,100
27,Singed,1.0,1,6,10,13,33724,56987,-23263,0,0,0,0,0,10831,65,100
427,Ivern,3.0,0,1,17,7,6549,11032,-4482,0,0,0,0,0,2142,19,0
145,Kaisa,2.0,1,9,9,21,11908,19457,-7549,0,0,0,0,0,5082,0,0
42,Corki,2.0,0,18,24,20,22884,31678,-8794,0,0,0,0,0,2399,6,0
54,Malphite,2.0,0,12,24,24,20613,31324,-10711,0,0,0,0,0,2679,24,0
22,Ashe,2.0,0,12,18,26,19067,32644,-13577,4,0,0,0,0,4493,60,0
24,Jax,1.0,1,10,4,7,13264,19052,-5788,1,0,0,0,0,4493,0,0
53,Blitzcrank,1.0,1,4,5,14,11155,23628,-12473,0,0,0,0,0,6596,0,0
875,Sett,1.0,1,15,3,12,28310,42776,-14466,1,1,0,0,0,14733,0,0
14,Sion,1.0,1,4,11,5,19596,48424,-28828,0,0,0,0,0,10721,0,0
81,Ezreal,1.0,0,2,8,5,5241,13375,-8134,0,0,0,0,0,553,0,0
77,Udyr,1.0,0,0,5,1,977,11503,-10526,0,0,0,0,0,2041,0,0
166,Akshan,1.0,0,8,14,11,20737,34385,-13648,1,0,0,0,0,4847,1,0
13,Ryze,1.0,0,3,10,6,12812,35537,-22725,0,0,0,0,0,6959,0,0
79,Gragas,1.0,0,19,15,11,38356,62855,-24499,1,0,0,0,0,17519,0,0
240,Kled,1.0,0,4,12,4,6737,35642,-28905,0,0,0,0,0,3611,4,0
