summoner_name,played_with,won_with,played_against,lost_against,last_played,date
ironsuperhulk,126.0,67,0,0,Vi,24-9-2022 23:1
Jeeveezee,34.0,19,0,0,Lucian,24-9-2022 23:1
yvan i am,19.0,11,0,0,JarvanIV,24-9-2022 23:1
BluezamX,19.0,11,0,0,Malphite,4-8-2022 19:46
MCB Sensific,3.0,1,0,0,Tristana,0
Oluo,2.0,2,0,0,Nasus,11-8-2022 22:0
KataStrophically,2.0,2,0,0,Yone,0
Niqquerlz,2.0,1,0,0,Khazix,30-7-2022 12:42
les 3 frere,2.0,0,0,0,Morgana,9-8-2022 22:22
zma3tel,1.0,1,0,0,Sylas,11-8-2022 20:4
xabo96,1.0,1,0,0,Karma,0
xXTrap GodXx,1.0,1,0,0,Yone,0
xXCrack GodXx,1.0,1,0,0,Riven,0
weoyvvui,1.0,1,0,0,Senna,8-8-2022 21:40
vomortis,1.0,1,0,0,KogMaw,30-7-2022 12:42
unteachable88,1.0,1,0,0,Kaisa,30-7-2022 12:42
ttttttttttt,1.0,1,0,0,Rakan,0
such a ousness,1.0,1,0,0,Garen,0
st4rset,1.0,1,0,0,Gragas,23-8-2022 16:46
siraledenfus,1.0,1,0,0,Soraka,0
serragames,1.0,1,0,0,Ezreal,0
rayahuevos,1.0,1,0,0,Garen,0
pringles rar,1.0,1,0,0,Lulu,23-8-2022 16:46
plaaggeest64,1.0,1,0,0,Garen,23-8-2022 16:46
panacoya,1.0,1,0,0,Lux,11-8-2022 20:32
oO0Aleras0Oo,1.0,1,0,0,Taric,11-8-2022 20:4
noobmasteerr69,1.0,1,0,0,Yasuo,12-8-2022 10:57
ndrn,1.0,1,0,0,Twitch,11-8-2022 20:4
nJins,1.0,1,0,0,Quinn,9-8-2022 23:11
michaelwolf6,1.0,1,1,0,Garen,11-8-2022 20:4
meirrion3,1.0,1,0,0,Velkoz,0
mavec,1.0,1,0,0,Karthus,0
mathieu31,1.0,1,0,0,Shaco,0
martelo33,1.0,1,0,0,Heimerdinger,16-8-2022 10:30
maffiaLOL,1.0,1,0,0,TwistedFate,11-8-2022 20:4
lexies,1.0,1,0,0,Lucian,0
lberdan,1.0,1,0,0,Leblanc,23-8-2022 16:46
lawite,1.0,1,0,0,Rumble,11-8-2022 20:4
lamerguezcramer,1.0,1,0,0,Vayne,0
koalacd,1.0,1,0,0,Chogath,23-8-2022 16:46
kirito35120,1.0,1,0,0,Anivia,10-8-2022 16:31
kipling96,1.0,1,0,0,Pyke,0
jodistyli,1.0,1,0,0,Ryze,0
jihop,1.0,1,0,0,Pantheon,10-8-2022 16:31
hopeplays,1.0,1,0,0,Sion,16-8-2022 10:31
ha5im22,1.0,1,0,0,Neeko,9-8-2022 22:21
greg2blois,1.0,1,0,0,Lux,12-8-2022 10:57
flippstar,1.0,1,0,0,Yasuo,0
einfach dylan,1.0,1,0,0,TwistedFate,11-8-2022 20:4
cyxJJ,1.0,1,0,0,Viktor,9-8-2022 22:21
cvoidsah,1.0,1,0,0,Kalista,10-8-2022 13:24
cmoidri,1.0,1,0,0,Thresh,0
bzaczon,1.0,1,0,0,Yasuo,23-8-2022 16:46
bolado123,1.0,1,0,0,Khazix,0
aggrohaufen777,1.0,1,0,0,Kassadin,0
a7medseddik,1.0,1,0,0,Xerath,0
Zer0TRS,1.0,1,0,0,MasterYi,30-7-2022 12:42
Zdur,1.0,1,0,0,Teemo,11-8-2022 20:4
Zantla,1.0,1,0,0,Warwick,12-8-2022 10:57
Xneroz,1.0,1,0,0,Sivir,6-9-2022 10:26
Wox03,1.0,1,0,0,Zac,0
World With Devil,1.0,1,0,0,Fizz,0
Will Zappy,1.0,1,0,0,Seraphine,8-8-2022 21:40
Whoushoo,1.0,1,0,0,Sett,0
WFDCHENGUANXI,1.0,1,0,0,Shaco,16-8-2022 10:31
WE3ners,1.0,1,0,0,DrMundo,9-8-2022 22:44
