summoner_name,played_with,won_with,played_against,lost_against,last_played,date
ironsuperhulk,35.0,18,0,0,Lux,15-6-2022 15:43
Jeeveezee,33.0,18,0,0,Senna,15-6-2022 15:43
yvan i am,29.0,17,0,0,Mordekaiser,15-6-2022 15:43
impreg the keg,17.0,9,0,0,Gragas,0
BluezamX,8.0,2,0,0,Darius,0
xXjumboXx,1.0,1,0,0,Malzahar,0
tempwghlwkmtngks,1.0,1,0,0,Twitch,0
teileticker,1.0,1,0,0,MasterYi,15-6-2022 15:43
punypretzl,1.0,1,0,0,Jax,15-6-2022 15:43
Yogtatent,1.0,1,0,0,Kennen,0
XBigB,1.0,1,0,0,Nidalee,0
Welander,1.0,1,0,0,Veigar,0
TΘ nes,1.0,1,0,0,Syndra,0
Tinaeli,1.0,1,0,0,Braum,0
Smares,1.0,1,0,0,Soraka,0
Rudy GGC,1.0,1,0,0,Pyke,0
PHX Rosa,1.0,1,0,0,Nami,0
MacNooby,1.0,1,0,0,Ekko,0
LEHAMSTERSAUVAGE,1.0,1,0,0,Nidalee,26-5-2022 17:11
KFCdePooleys,1.0,1,0,0,Thresh,15-6-2022 15:43
Iclesyas,1.0,1,0,0,Illaoi,15-6-2022 15:43
Guilileu,1.0,1,0,0,Jhin,0
Ghost Frogg,1.0,1,0,0,MissFortune,0
Dreadnok,1.0,1,0,0,Vi,0
Bee Scared,1.0,1,0,0,JarvanIV,26-5-2022 17:11
Bardee,1.0,1,0,0,Ziggs,0
AraZzaY,1.0,1,0,0,Garen,0
Akimbo28,1.0,1,0,0,Jinx,0
AWS JulienGuijar,1.0,1,0,0,Ekko,0
AUT Gustl,1.0,1,0,0,Lux,0
0RainerZufall0,1.0,1,0,0,LeeSin,0
voutecomeroraboK,1.0,0,0,0,Diana,26-5-2022 17:11
tridantwarrior,1.0,0,0,0,Jayce,0
spyking101,1.0,0,0,0,Kayle,26-5-2022 17:11
hunter007,1.0,0,0,0,Sona,0
Zerichy,1.0,0,0,0,Cassiopeia,0
Zachillen,1.0,0,0,0,Katarina,26-5-2022 17:11
YeahTheJageR,1.0,0,0,0,Pyke,0
YD Ewrany,1.0,0,0,0,Ryze,0
Ricaplays,1.0,0,0,0,Varus,0
Ralle2gg,1.0,0,0,0,Vayne,26-5-2022 17:11
Paradiessittich,1.0,0,0,0,Jhin,0
Morczor,1.0,0,0,0,Vi,0
MonkeyU,1.0,0,0,0,Shaco,0
MasterSI0N,1.0,0,0,0,Ekko,26-5-2022 17:11
Mads Olav so,1.0,0,0,0,Xayah,0
Lord Crugold,1.0,0,0,0,Tristana,0
Ktrømpfl,1.0,0,0,0,Swain,0
KehuY,1.0,0,0,0,Qiyana,0
