champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
54,Malphite,4.0,4,4,4,100,8
45,Veigar,4.0,4,2,2,100,6
50,Swain,4.0,4,0,0,100,4
142,Zoe,2.0,2,2,2,100,4
498,Xayah,4.0,4,0,0,100,4
267,Nami,0.0,0,4,4,100,4
82,Mordekaiser,2.0,2,2,2,100,4
17,Teemo,2.0,2,2,2,100,4
101,Xerath,4.0,4,0,0,100,4
127,Lissandra,2.0,2,2,2,100,4
6,Urgot,4.0,4,0,0,100,4
53,Blitzcrank,2.0,2,1,1,100,3
25,Morgana,0.0,0,3,3,100,3
36,DrMundo,2.0,2,0,0,100,2
15,Sivir,2.0,2,0,0,100,2
117,Lulu,2.0,2,0,0,100,2
1,Annie,2.0,2,0,0,100,2
69,Cassiopeia,2.0,2,0,0,100,2
202,Jhin,2.0,2,0,0,100,2
67,Vayne,0.0,0,2,2,100,2
20,Nunu,0.0,0,2,2,100,2
887,Gwen,0.0,0,2,2,100,2
18,Tristana,0.0,0,2,2,100,2
11,MasterYi,2.0,2,0,0,100,2
98,Shen,2.0,2,0,0,100,2
711,Vex,0.0,0,2,2,100,2
8,Vladimir,2.0,2,0,0,100,2
875,Sett,2.0,2,0,0,100,2
24,Jax,0.0,0,2,2,100,2
360,Samira,0.0,0,2,2,100,2
121,Khazix,2.0,2,0,0,100,2
157,Yasuo,2.0,2,0,0,100,2
103,Ahri,0.0,0,2,2,100,2
115,Ziggs,0.0,0,2,2,100,2
83,Yorick,0.0,0,2,2,100,2
81,Ezreal,2.0,2,0,0,100,2
13,Ryze,2.0,2,0,0,100,2
432,Bard,0.0,0,1,1,100,1
200,Belveth,0.0,0,1,1,100,1
141,Kayn,3.0,2,2,2,80,5
51,Caitlyn,2.0,2,6,4,75,8
41,Gangplank,8.0,6,4,2,66,12
131,Diana,4.0,4,2,0,66,6
55,Katarina,3.0,2,0,0,66,3
235,Senna,2.0,0,3,3,60,5
90,Malzahar,2.0,2,6,2,50,8
4,TwistedFate,0.0,0,4,2,50,4
143,Zyra,0.0,0,4,2,50,4
147,Seraphine,2.0,2,2,0,50,4
42,Corki,2.0,2,2,0,50,4
26,Zilean,4.0,2,0,0,50,4
222,Jinx,0.0,0,4,2,50,4
902,Milio,2.0,2,2,0,50,4
7,Leblanc,0.0,0,4,2,50,4
163,Taliyah,2.0,0,2,2,50,4
112,Viktor,2.0,2,2,0,50,4
526,Rell,2.0,0,2,2,50,4
133,Quinn,4.0,2,0,0,50,4
57,Maokai,2.0,2,2,0,50,4
56,Nocturne,2.0,2,2,0,50,4
22,Ashe,0.0,0,4,2,50,4
31,Chogath,0.0,0,4,2,50,4
136,AurelionSol,0.0,0,4,2,50,4
236,Lucian,6.0,4,4,0,40,10
28,Evelynn,5.0,2,0,0,40,5
99,Lux,4.0,2,2,0,33,6
150,Gnar,2.0,2,4,0,33,6
134,Syndra,8.0,2,0,0,25,8
68,Rumble,2.0,2,6,0,25,8
16,Soraka,2.0,0,4,0,0,6
555,Pyke,2.0,0,4,0,0,6
111,Nautilus,4.0,0,2,0,0,6
777,Yone,0.0,0,4,0,0,4
238,Zed,0.0,0,4,0,0,4
30,Karthus,4.0,0,0,0,0,4
113,Sejuani,0.0,0,4,0,0,4
412,Thresh,0.0,0,4,0,0,4
29,Twitch,2.0,0,2,0,0,4
63,Brand,2.0,0,2,0,0,4
517,Sylas,3.0,0,0,0,0,3
221,Zeri,3.0,0,0,0,0,3
27,Singed,2.0,0,0,0,0,2
35,Shaco,2.0,0,0,0,0,2
876,Lillia,2.0,0,0,0,0,2
245,Ekko,0.0,0,2,0,0,2
76,Nidalee,0.0,0,2,0,0,2
240,Kled,0.0,0,2,0,0,2
61,Orianna,0.0,0,2,0,0,2
10,Kayle,0.0,0,2,0,0,2
91,Talon,0.0,0,2,0,0,2
9,Fiddlesticks,0.0,0,2,0,0,2
110,Varus,2.0,0,0,0,0,2
897,KSante,2.0,0,0,0,0,2
427,Ivern,0.0,0,2,0,0,2
145,Kaisa,0.0,0,2,0,0,2
518,Neeko,2.0,0,0,0,0,2
223,TahmKench,0.0,0,2,0,0,2
86,Garen,0.0,0,2,0,0,2
12,Alistar,2.0,0,0,0,0,2
80,Pantheon,2.0,0,0,0,0,2
21,MissFortune,2.0,0,0,0,0,2
122,Darius,0.0,0,2,0,0,2
114,Fiora,0.0,0,2,0,0,2
126,Jayce,2.0,0,0,0,0,2
516,Ornn,2.0,0,0,0,0,2
233,Briar,2.0,0,0,0,0,2
2,Olaf,2.0,0,0,0,0,2
246,Qiyana,0.0,0,2,0,0,2
