summoner_name,played_with,won_with,played_against,lost_against,date,last_played
ironsuperhulk,6.0,5,0,0,6-2-2024 19:43,Jhin
Jeeveezee,3.0,3,0,0,6-2-2024 19:42,Samira
killakleba,2.0,2,0,0,6-2-2024 16:32,Renekton
WillWork4Bananas,2.0,2,0,0,6-2-2024 16:32,Nasus
CloudCIimber,2.0,2,0,0,6-2-2024 16:32,Illaoi
BigWalnut,2.0,2,0,0,6-2-2024 16:32,Diana
badaf dumbaf,1.0,1,0,0,6-2-2024 19:42,KogMaw
Woalli,1.0,1,0,0,6-2-2024 19:42,Soraka
TIARAMENTS BEST,1.0,1,0,0,6-2-2024 19:42,Seraphine
Lanzmaster,1.0,1,0,0,6-2-2024 19:42,Illaoi
KC NewZ,1.0,1,0,0,6-2-2024 19:42,Briar
IT WILL CUT,1.0,1,0,0,6-2-2024 19:42,Ekko
Decrip,1.0,1,0,0,6-2-2024 19:42,Mordekaiser
Cpt Captain,1.0,1,0,0,6-2-2024 19:42,Skarner
Calamity King,1.0,1,0,0,6-2-2024 19:42,Vex
Unilahtérale,1.0,0,0,0,6-2-2024 19:43,Nidalee
Pingu69,1.0,0,0,0,6-2-2024 19:43,Tristana
LeTrixsterr,1.0,0,0,0,6-2-2024 19:43,Nocturne
Comrade Exty,1.0,0,0,0,6-2-2024 19:43,Ornn
trenchew,0.0,0,2,0,6-2-2024 16:32,LeeSin
nan,0.0,0,1,0,6-2-2024 19:42,Jinx
jombot,0.0,0,1,0,6-2-2024 19:42,Neeko
aladddddddinn,0.0,0,1,0,6-2-2024 19:43,Tryndamere
ahrkiwi,0.0,0,1,0,6-2-2024 19:42,Yorick
VTFDGDFTV,0.0,0,1,1,6-2-2024 19:43,Malphite
U10spiller,0.0,0,1,1,6-2-2024 19:43,Rengar
TheMuffinTurtle,0.0,0,1,0,6-2-2024 19:42,Azir
TYYPO55,0.0,0,2,0,6-2-2024 16:32,Swain
SouT ST,0.0,0,1,0,6-2-2024 19:42,Malzahar
SilcoVonBismarck,0.0,0,1,0,6-2-2024 19:42,Darius
Sense8tion,0.0,0,2,0,6-2-2024 16:32,Lucian
SMASH Bubi,0.0,0,1,0,6-2-2024 19:42,Senna
NorskViking,0.0,0,1,1,6-2-2024 19:43,Kaisa
Master Fonty,0.0,0,1,0,6-2-2024 19:42,Twitch
Kaseria,0.0,0,1,0,6-2-2024 19:42,Velkoz
His Lover,0.0,0,1,0,6-2-2024 19:42,Sett
Glorious Malco,0.0,0,1,0,6-2-2024 19:42,Yorick
Gigabyte1440,0.0,0,2,0,6-2-2024 16:32,Thresh
Ferdomi,0.0,0,1,1,6-2-2024 19:43,Renata
Don Wall,0.0,0,1,1,6-2-2024 19:43,Shaco
Cal1 me Papa,0.0,0,2,0,6-2-2024 16:32,Aphelios
Alax,0.0,0,1,0,6-2-2024 19:42,Nocturne
ABbcaqFmx6,0.0,0,1,0,6-2-2024 19:42,Malphite
112shaboing,0.0,0,1,0,6-2-2024 19:42,Khazix
