champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,cc_score,winrate
17,Teemo,1.0,1,17,15,27,55048,41534,13514,2,0,0,0,0,3986,54,100
101,Xerath,1.0,1,18,7,31,25275,16314,8961,0,0,0,0,0,1637,27,100
202,Jhin,1.0,1,20,11,29,44103,41816,2287,4,1,0,0,0,13867,38,100
90,Malzahar,1.0,1,3,4,28,14627,12600,2027,0,0,0,0,0,1673,45,100
82,Mordekaiser,1.0,1,6,5,10,12955,18217,-5262,0,0,0,0,0,3880,10,100
54,Malphite,1.0,1,5,10,37,22273,43691,-21418,1,1,0,0,0,967,37,100
57,Maokai,1.0,1,5,9,32,12020,40185,-28165,0,0,0,0,0,12405,67,100
68,Rumble,2.0,1,21,24,33,23291,34438,-11147,6,1,0,0,0,3383,13,50
420,Illaoi,3.0,1,36,36,72,28767,43342,-14575,8,3,0,0,0,10156,2,33
161,Velkoz,2.0,0,14,18,56,27475,22246,5229,0,0,0,0,0,2178,38,0
888,Renata,2.0,0,6,16,42,13206,17337,-4131,0,0,0,0,0,2241,27,0
150,Gnar,2.0,0,10,20,36,19232,40723,-21491,2,2,0,0,0,3689,28,0
110,Varus,1.0,0,13,14,24,42239,31225,11014,0,0,0,0,0,1486,33,0
147,Seraphine,1.0,0,9,8,21,23010,19550,3460,1,1,0,0,0,2762,39,0
254,Vi,1.0,0,13,15,13,40198,41786,-1588,2,0,0,0,0,6995,35,0
53,Blitzcrank,1.0,0,3,10,20,9245,34131,-24886,0,0,0,0,0,817,50,0
50,Swain,1.0,0,8,12,36,30089,58875,-28786,0,0,0,0,0,15284,62,0
