champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
412,Thresh,1.0,1,1,1,100,2
24,Jax,1.0,1,0,0,100,1
76,Nidalee,1.0,1,0,0,100,1
246,Qiyana,1.0,1,0,0,100,1
164,Camille,1.0,1,0,0,100,1
96,KogMaw,0.0,0,1,1,100,1
234,Viego,0.0,0,1,1,100,1
267,Nami,0.0,0,1,1,100,1
54,Malphite,0.0,0,1,1,100,1
203,Kindred,0.0,0,1,1,100,1
157,Yasuo,0.0,0,1,1,100,1
29,Twitch,0.0,0,1,1,100,1
154,Zac,0.0,0,1,1,100,1
86,Garen,0.0,0,2,1,50,2
21,MissFortune,1.0,0,1,0,0,2
23,Tryndamere,0.0,0,1,0,0,1
42,Corki,0.0,0,1,0,0,1
887,Gwen,0.0,0,1,0,0,1
74,Heimerdinger,1.0,0,0,0,0,1
150,Gnar,1.0,0,0,0,0,1
110,Varus,1.0,0,0,0,0,1
9,Fiddlesticks,1.0,0,0,0,0,1
420,Illaoi,1.0,0,0,0,0,1
26,Zilean,1.0,0,0,0,0,1
103,Ahri,1.0,0,0,0,0,1
56,Nocturne,1.0,0,0,0,0,1
30,Karthus,1.0,0,0,0,0,1
