summoner_name,played_with,won_with,played_against,lost_against,last_played,date
Jeeveezee,66.0,33,13,6,Vi,19-5-2023 22:30
yvan i am,31.0,15,8,3,Volibear,18-5-2023 21:41
ironsuperhulk,28.0,10,7,2,Karma,19-5-2023 22:30
BluezamX,9.0,4,3,0,Sion,18-5-2023 21:40
jeanpaul99,4.0,2,0,0,Jax,20-3-2022 15:16
impreg the keg,3.0,1,0,0,Kaisa,18-5-2023 21:40
Hikaru Rose,3.0,1,2,2,Syndra,18-5-2023 21:41
MCB Sensific,3.0,0,0,0,Sivir,0
Dr Aven Clinic,2.0,2,0,0,Singed,20-3-2022 15:16
Αzazyx,1.0,1,0,0,Ekko,19-5-2023 22:30
winterbutty,1.0,1,0,0,Kindred,4-8-2022 22:8
toplane impakt,1.0,1,0,0,Illaoi,0
tommychies,1.0,1,0,0,Malphite,20-3-2022 15:16
thechosenjuan132,1.0,1,0,0,Ryze,18-5-2023 21:40
sycrix,1.0,1,0,0,Soraka,18-5-2023 21:40
seufilho12,1.0,1,0,0,Seraphine,20-3-2022 15:16
randomua,1.0,1,0,0,Tryndamere,0
pachka syharet,1.0,1,0,0,Akali,18-5-2023 21:40
milobi,1.0,1,0,0,Heimerdinger,20-3-2022 15:17
marilyn13,1.0,1,0,0,Karma,20-3-2022 15:16
koment,1.0,1,0,0,DrMundo,20-3-2022 15:16
kastrana,1.0,1,0,0,TwistedFate,0
kakreth,1.0,1,0,0,Malphite,20-3-2022 15:17
kNU in the box,1.0,1,0,0,Lux,18-5-2023 21:40
iZeuS,1.0,1,0,0,Twitch,0
i am potato,1.0,1,0,0,Pyke,0
girlsdontpee,1.0,1,0,0,Nautilus,20-3-2022 15:16
funeral,1.0,1,0,0,Annie,18-5-2023 21:40
freeshzor,1.0,1,0,0,Yasuo,4-8-2022 22:8
doulga,1.0,1,0,0,Varus,19-5-2023 22:30
darkconfidant13,1.0,1,0,0,Gangplank,0
ccGiselle,1.0,1,0,0,Lux,20-3-2022 15:16
berechiah,1.0,1,0,0,Viktor,19-5-2023 22:30
aZheertu,1.0,1,0,0,Nautilus,20-3-2022 15:15
Wuchuweler,1.0,1,0,0,Yorick,0
WarpSquirrel,1.0,1,0,0,Thresh,19-5-2023 22:30
Véreux,1.0,1,0,0,Khazix,20-3-2022 15:16
VolterVoid,1.0,1,0,0,Ahri,0
Vladventure,1.0,1,0,0,Rengar,0
VividWaters,1.0,1,0,0,Varus,0
ViroQ,1.0,1,0,0,Zyra,20-3-2022 15:16
VictorLirolaFan,1.0,1,0,0,Samira,19-5-2023 22:30
UuSsEeLlEeSsSs,1.0,1,0,0,Tryndamere,18-5-2023 21:40
Ursvamp,1.0,1,0,0,Karma,0
TurtleInTheHööD,1.0,1,0,0,Gangplank,20-3-2022 15:16
Torval III,1.0,1,0,0,Nautilus,19-5-2023 22:30
Topšn,1.0,1,0,0,Garen,4-8-2022 22:8
Tinganes,1.0,1,0,0,Zeri,19-5-2023 22:30
Tiese Terry,1.0,1,0,0,Maokai,19-5-2023 22:30
TheEndMyFriend,1.0,1,0,0,Orianna,19-5-2023 22:30
Tentacule au mid,1.0,1,0,0,Brand,19-5-2023 22:30
Support Lïfe,1.0,1,0,0,Jhin,18-5-2023 21:40
SukCius666,1.0,1,0,0,Ziggs,0
Soloq ZooManager,1.0,1,0,0,Lulu,20-3-2022 15:15
Slangen A,1.0,1,0,0,Graves,0
Skwirel,1.0,1,0,0,Cassiopeia,20-3-2022 15:16
Sjabatta,1.0,1,0,0,Sejuani,19-5-2023 22:30
Shyfer,1.0,1,0,0,Thresh,18-5-2023 21:40
Sephiroon,1.0,1,0,0,Tristana,18-5-2023 21:41
Screeam,1.0,1,0,0,Blitzcrank,0
SaltBoy 1v9,1.0,1,0,0,Quinn,0
