summoner_name,played_with,won_with,played_against,lost_against,last_played,date
Jeeveezee,81.0,40,1,1,TwistedFate,18-5-2023 21:41
yvan i am,46.0,26,1,1,Garen,18-5-2023 21:41
MCB Sensific,19.0,12,0,0,Zilean,0
BluezamX,16.0,11,1,1,TahmKench,18-5-2023 21:41
ironsuperhulk,10.0,5,1,1,Bard,18-5-2023 21:41
ELaMO,6.0,1,0,0,Jhin,0
impreg the keg,2.0,1,1,1,Aphelios,18-5-2023 21:41
x14csfad,1.0,1,0,0,Sivir,0
omegaluck,1.0,1,0,0,Fizz,0
meWoods,1.0,1,0,0,Shaco,0
meIIowberry,1.0,1,0,0,Yuumi,0
marychou2412,1.0,1,0,0,Kassadin,0
lunawagner,1.0,1,0,0,Elise,0
lennkx,1.0,1,0,0,Ezreal,0
kyujayce,1.0,1,0,0,Teemo,0
kuhldigga,1.0,1,0,0,Shaco,0
inscitia,1.0,1,0,0,Karthus,0
footballlol,1.0,1,0,0,Yone,0
faucheure rouge,1.0,1,0,0,Garen,0
extremelyy,1.0,1,0,0,Lux,0
choccapicc,1.0,1,0,0,Gragas,4-8-2022 22:7
blade427,1.0,1,0,0,Fizz,0
aersk,1.0,1,0,0,Tristana,0
Zêlôs,1.0,1,0,0,Riven,0
ZynikzX,1.0,1,0,0,Pyke,0
Zartax17,1.0,1,0,0,Shaco,4-8-2022 22:7
XYLVB,1.0,1,0,0,Ekko,0
Woman Respektor,1.0,1,0,0,Khazix,0
WiTzZD,1.0,1,0,0,Viktor,4-8-2022 22:7
WiPe ScArZz,1.0,1,0,0,Hecarim,0
Varrys,1.0,1,0,0,Kayn,0
Ur Fortune,1.0,1,0,0,Shyvana,4-8-2022 22:7
UN MOUCHERON ,1.0,1,0,0,Fizz,0
Titlive,1.0,1,0,0,Swain,0
TiTwaNuts,1.0,1,0,0,Nocturne,0
TEILZ3ITGOTT,1.0,1,0,0,Veigar,0
Sunsini,1.0,1,0,0,Swain,0
Stharx,1.0,1,0,0,Lux,0
Shintsu,1.0,1,0,0,Viego,0
Shiikarii,1.0,1,0,0,Vayne,0
Sexy Kunoichi,1.0,1,0,0,Akali,0
SantaSnowFox,1.0,1,0,0,Ahri,4-8-2022 22:7
SWATguy58,1.0,1,0,0,Sett,0
Ridox,1.0,1,0,0,Volibear,0
Rare goose,1.0,1,0,0,Fiora,0
Raaysse,1.0,1,0,0,Kassadin,0
PsychaSiada BOSS,1.0,1,0,0,Mordekaiser,0
Poloma,1.0,1,0,0,Neeko,0
Plz nooo,1.0,1,0,0,Shaco,0
Philodelphia,1.0,1,0,0,Gnar,0
Pedestalisation,1.0,1,0,0,Xerath,0
Pavaroo,1.0,1,0,0,Akali,0
Oxairri,1.0,1,0,0,Heimerdinger,20-3-2022 15:16
Nóopy,1.0,1,0,0,Yone,4-8-2022 22:7
Nèroz,1.0,1,0,0,Thresh,0
NippaTarvolainen,1.0,1,0,0,Gragas,0
Narme197,1.0,1,0,0,Teemo,0
MöhrchenMymmler,1.0,1,0,0,Lux,4-8-2022 22:7
MrTdy,1.0,1,0,0,Kindred,0
MrCamouflage,1.0,1,0,0,Orianna,20-3-2022 15:16
Morwincomman,1.0,1,0,0,Vladimir,0
MhyReen,1.0,1,0,0,Morgana,4-8-2022 22:7
Maffalicious,1.0,1,0,0,Mordekaiser,0
Luxxerr,1.0,1,0,0,Yone,0
LuneBell,1.0,1,0,0,Syndra,0
Le Glouton,1.0,1,0,0,Gwen,0
Kouillenkuivr,1.0,1,0,0,MonkeyKing,0
Júnglé,1.0,1,0,0,Camille,0
Juliary,1.0,1,0,0,Lulu,0
Johnny Melavo,1.0,1,0,0,Kayn,0
JanPHD,1.0,1,0,0,Gwen,0
Ist mir egal,1.0,1,0,0,Zac,4-8-2022 22:7
HyoukaRyuu,1.0,1,0,0,Chogath,0
HookedByAWeeb,1.0,1,0,0,Thresh,0
Hodor Slayer,1.0,1,0,0,Karma,0
HimmelsVollBard,1.0,1,0,0,Bard,20-3-2022 15:16
Hextech Engineer,1.0,1,0,0,Pyke,4-8-2022 22:7
Gier,1.0,1,0,0,Diana,0
GarbanzoTullido,1.0,1,0,0,Alistar,0
Flabbsis,1.0,1,0,0,Yorick,0
FG Big Clock,1.0,1,0,0,Tryndamere,0
FAC3TH3WIND,1.0,1,0,0,Tryndamere,4-8-2022 22:7
Enadrix,1.0,1,0,0,Khazix,0
ECD Kakashi,1.0,1,0,0,Alistar,0
Dominus OMEN,1.0,1,0,0,Renekton,0
DavehB,1.0,1,0,0,Tristana,0
Daniel the man,1.0,1,0,0,Pantheon,4-8-2022 22:7
Cthulhy,1.0,1,0,0,Trundle,0
ConstiX1,1.0,1,0,0,Shyvana,0
