champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,cc_score,winrate
110,Varus,1.0,1,26,11,28,70615,29773,40842,4,1,1,0,0,5356,46,100
59,JarvanIV,1.0,1,17,10,45,34042,22520,11522,5,0,0,0,0,2375,38,100
45,Veigar,1.0,1,10,10,33,36935,26661,10274,0,0,0,0,0,3516,55,100
86,Garen,1.0,1,13,8,36,44379,43145,1234,3,0,0,0,0,8418,70,100
8,Vladimir,1.0,1,28,17,33,80894,84537,-3643,5,0,0,0,0,48807,8,100
6,Urgot,1.0,1,13,14,30,36411,41945,-5534,1,0,0,0,0,3245,34,100
240,Kled,1.0,1,11,9,38,35775,50478,-14703,0,0,0,0,0,9955,6,100
32,Amumu,1.0,1,6,11,21,17508,32750,-15242,1,0,0,0,0,4140,54,100
99,Lux,1.0,0,12,6,33,35725,18694,17031,1,0,0,0,0,2707,95,0
111,Nautilus,1.0,0,8,19,36,28157,65152,-36995,1,0,0,0,0,4445,124,0
14,Sion,1.0,0,4,13,19,21200,67162,-45962,0,0,0,0,0,4342,26,0
