champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
31,Chogath,2.0,2,0,0,100,2
45,Veigar,1.0,1,1,1,100,2
23,Tryndamere,1.0,1,1,1,100,2
92,Riven,1.0,1,0,0,100,1
27,Singed,1.0,1,0,0,100,1
59,JarvanIV,1.0,1,0,0,100,1
7,Leblanc,0.0,0,1,1,100,1
104,Graves,0.0,0,1,1,100,1
777,Yone,1.0,1,0,0,100,1
96,KogMaw,1.0,1,0,0,100,1
360,Samira,1.0,1,0,0,100,1
711,Vex,1.0,1,0,0,100,1
136,AurelionSol,1.0,1,0,0,100,1
2,Olaf,1.0,1,0,0,100,1
236,Lucian,1.0,1,0,0,100,1
89,Leona,1.0,1,0,0,100,1
516,Ornn,1.0,1,0,0,100,1
98,Shen,0.0,0,1,1,100,1
84,Akali,0.0,0,1,1,100,1
112,Viktor,0.0,0,1,1,100,1
141,Kayn,0.0,0,1,1,100,1
9,Fiddlesticks,0.0,0,1,1,100,1
44,Taric,0.0,0,1,1,100,1
29,Twitch,0.0,0,1,1,100,1
81,Ezreal,1.0,0,1,1,50,2
121,Khazix,2.0,1,0,0,50,2
67,Vayne,0.0,0,2,1,50,2
21,MissFortune,1.0,1,1,0,50,2
43,Karma,0.0,0,2,1,50,2
55,Katarina,1.0,1,1,0,50,2
30,Karthus,1.0,0,1,1,50,2
17,Teemo,2.0,1,1,0,33,3
910,Hwei,0.0,0,2,0,0,2
25,Morgana,1.0,0,1,0,0,2
74,Heimerdinger,0.0,0,1,0,0,1
50,Swain,0.0,0,1,0,0,1
79,Gragas,0.0,0,1,0,0,1
497,Rakan,0.0,0,1,0,0,1
5,XinZhao,1.0,0,0,0,0,1
875,Sett,1.0,0,0,0,0,1
222,Jinx,1.0,0,0,0,0,1
412,Thresh,1.0,0,0,0,0,1
876,Lillia,1.0,0,0,0,0,1
555,Pyke,0.0,0,1,0,0,1
268,Azir,0.0,0,1,0,0,1
131,Diana,0.0,0,1,0,0,1
53,Blitzcrank,0.0,0,1,0,0,1
203,Kindred,0.0,0,1,0,0,1
235,Senna,0.0,0,1,0,0,1
14,Sion,0.0,0,1,0,0,1
85,Kennen,0.0,0,1,0,0,1
350,Yuumi,1.0,0,0,0,0,1
39,Irelia,1.0,0,0,0,0,1
134,Syndra,1.0,0,0,0,0,1
145,Kaisa,1.0,0,0,0,0,1
517,Sylas,1.0,0,0,0,0,1
