summoner_name,played_with,won_with,played_against,lost_against,date,last_played
yvan i am,7.0,4,0,0,5-2-2024 13:38,Sylas
Jeeveezee,7.0,4,0,0,5-2-2024 13:38,Kaisa
BluezamX,3.0,1,0,0,5-2-2024 13:38,Morgana
OllietroIlie,2.0,1,0,0,5-2-2024 13:38,Karthus
peciTRON,1.0,1,0,0,5-2-2024 13:37,Katarina
pasky46,1.0,1,0,0,5-2-2024 13:37,Vex
nyquist8,1.0,1,0,0,5-2-2024 13:37,Riven
marteros,1.0,1,0,0,5-2-2024 13:37,AurelionSol
SenjougAhri,1.0,1,0,0,5-2-2024 13:37,Teemo
Pixel dog,1.0,1,0,0,5-2-2024 13:37,Tryndamere
NINO OMG SO CUTE,1.0,1,0,0,5-2-2024 13:37,Yone
MangeLesTesMorts,1.0,1,0,0,5-2-2024 13:37,Singed
Kandaime,1.0,1,0,0,5-2-2024 13:37,Samira
Gochika,1.0,1,0,0,5-2-2024 13:37,KogMaw
bobylosse,1.0,0,0,0,5-2-2024 13:38,Ezreal
WΘMP WΘMP ,1.0,0,0,0,5-2-2024 13:37,Lillia
Sergalius,1.0,0,0,0,5-2-2024 13:37,XinZhao
Kisma Pennys,1.0,0,0,0,5-2-2024 13:37,Sett
Frozty1,1.0,0,0,0,5-2-2024 13:38,Teemo
D13t3r,1.0,0,0,0,5-2-2024 13:38,Syndra
Βaby,0.0,0,1,0,5-2-2024 13:37,Morgana
useless gender,0.0,0,1,1,5-2-2024 13:37,Vayne
tw1stzzzz,0.0,0,1,0,5-2-2024 13:37,Katarina
thorhulk,0.0,0,1,0,5-2-2024 13:37,Sion
infinite PP,0.0,0,1,1,5-2-2024 13:38,Tryndamere
galudriel,0.0,0,1,0,5-2-2024 13:37,Hwei
Ziroxeurs ,0.0,0,1,1,5-2-2024 13:37,Ezreal
ThenewOne1290,0.0,0,1,1,5-2-2024 13:38,Taric
TheFKey,0.0,0,1,0,5-2-2024 13:37,Senna
Shibafu,0.0,0,1,0,5-2-2024 13:37,MissFortune
Sappy,0.0,0,1,0,5-2-2024 13:37,Pyke
PyrosXx,0.0,0,1,0,5-2-2024 13:37,Teemo
Plan B,0.0,0,1,0,5-2-2024 13:37,Azir
Pixfill,0.0,0,1,1,5-2-2024 13:37,Leblanc
OhLawdHesComin,0.0,0,1,0,5-2-2024 13:37,Blitzcrank
MoratoYopon,0.0,0,1,1,5-2-2024 13:38,Fiddlesticks
Mayaa The Bee,0.0,0,1,0,5-2-2024 13:37,Rakan
Maxfa,0.0,0,1,1,5-2-2024 13:37,Veigar
Matzeone,0.0,0,1,1,5-2-2024 13:37,Graves
MDR TNUL,0.0,0,1,0,5-2-2024 13:37,Gragas
LarryBarry96,0.0,0,1,1,5-2-2024 13:37,Karma
Kirriu,0.0,0,1,0,5-2-2024 13:37,Kennen
KeRzZiS,0.0,0,1,0,5-2-2024 13:37,Heimerdinger
KZ TheCoon88,0.0,0,1,1,5-2-2024 13:37,Akali
Jydaion,0.0,0,1,1,5-2-2024 13:38,Karthus
Jordn,0.0,0,1,1,5-2-2024 13:38,Kayn
JTzpuntKZM,0.0,0,1,1,5-2-2024 13:38,Twitch
ItsJustFay,0.0,0,1,0,5-2-2024 13:37,Vayne
Cpt Nick,0.0,0,1,1,5-2-2024 13:38,Viktor
CakeOrDeath,0.0,0,1,0,5-2-2024 13:37,Kindred
Brets Zel Curry,0.0,0,1,0,5-2-2024 13:37,Swain
Bigoso,0.0,0,1,0,5-2-2024 13:37,Diana
BiTheHwei,0.0,0,1,0,5-2-2024 13:37,Karma
BardholeFeaster,0.0,0,1,1,5-2-2024 13:37,Shen
Baene,0.0,0,1,0,5-2-2024 13:37,Hwei
